Date,Kandy,Dambulla
2016-01-02,125.0,120.0
2016-01-03,125.0,90.0
2016-01-04,45.0,65.0
2016-01-06,155.0,180.0
2016-01-07,125.0,125.0
2016-01-08,145.0,175.0
2016-01-09,115.0,135.0
2016-01-11,145.0,150.0
2016-01-12,205.0,185.0
2016-01-13,170.0,170.0
2016-01-14,185.0,175.0
2016-01-18,185.0,175.0
2016-01-19,180.0,190.0
2016-01-20,175.0,165.0
2016-01-21,175.0,130.0
2016-01-22,135.0,135.0
2016-01-25,110.0,110.0
2016-01-26,90.0,100.0
2016-01-27,90.0,87.5
2016-01-28,85.0,110.0
2016-01-29,125.0,105.0
2016-02-02,105.0,120.0
2016-02-03,105.0,92.5
2016-02-05,125.0,145.0
2016-02-06,140.0,155.0
2016-02-08,155.0,175.0
2016-02-09,125.0,135.0
2016-02-11,110.0,140.0
2016-02-12,215.0,210.0
2016-02-15,105.0,95.0
2016-02-16,105.0,95.0
2016-02-17,85.0,60.0
2016-02-18,85.0,57.5
2016-02-19,65.0,55.0
2016-02-23,105.0,110.0
2016-02-24,125.0,120.0
2016-02-25,125.0,120.0
2016-02-26,125.0,105.0
2016-02-29,105.0,92.5
2016-03-02,125.0,82.5
2016-03-03,115.0,95.0
2016-03-05,135.0,90.0
2016-03-06,155.0,140.0
2016-03-08,185.0,150.0
2016-03-10,115.0,120.0
2016-03-11,105.0,120.0
2016-03-14,95.0,90.0
2016-03-15,95.0,90.0
2016-03-16,135.0,110.0
2016-03-17,75.0,70.0
2016-03-18,75.0,77.5
2016-03-21,75.0,75.0
2016-03-23,95.0,92.5
2016-03-24,85.0,100.0
2016-03-28,95.0,90.0
2016-03-29,75.0,75.0
2016-03-30,45.0,77.5
2016-03-31,45.0,52.5
2016-04-01,215.0,185.0
2016-04-03,95.0,92.5
2016-04-04,65.0,55.0
2016-04-05,125.0,120.0
2016-04-07,145.0,135.0
2016-04-08,195.0,160.0
2016-04-10,115.0,110.0
2016-04-11,105.0,90.0
2016-04-18,55.0,85.0
2016-04-19,75.0,50.0
2016-04-20,115.0,100.0
2016-04-22,95.0,100.0
2016-04-25,125.0,135.0
2016-04-26,115.0,140.0
2016-04-27,125.0,110.0
2016-04-28,115.0,110.0
2016-04-29,115.0,110.0
2016-05-01,195.0,140.0
2016-05-02,115.0,95.0
2016-05-04,65.0,52.5
2016-05-05,115.0,130.0
2016-05-07,145.0,150.0
2016-05-08,165.0,167.5
2016-05-09,125.0,135.0
2016-05-10,125.0,120.0
2016-05-12,235.0,210.0
2016-05-13,105.0,120.0
2016-05-16,145.0,185.0
2016-05-17,145.0,130.0
2016-05-18,125.0,142.5
2016-05-19,115.0,140.0
2016-05-20,155.0,180.0
2016-05-23,190.0,165.0
2016-05-24,195.0,210.0
2016-05-25,195.0,210.0
2016-05-26,205.0,230.0
2016-05-27,210.0,240.0
2016-05-30,210.0,190.0
2016-05-31,190.0,190.0
2016-06-01,190.0,165.0
2016-06-04,55.0,52.5
2016-06-05,115.0,130.0
2016-06-06,135.0,140.0
2016-06-07,110.0,110.0
2016-06-09,125.0,135.0
2016-06-10,115.0,120.0
2016-06-12,155.0,205.0
2016-06-13,135.0,125.0
2016-06-14,125.0,140.0
2016-06-15,125.0,110.0
2016-06-16,145.0,130.0
2016-06-17,135.0,150.0
2016-06-20,145.0,135.0
2016-06-21,145.0,135.0
2016-06-22,125.0,85.0
2016-06-23,142.5,100.0
2016-06-24,115.0,135.0
2016-06-27,165.0,160.0
2016-06-28,175.0,160.0
2016-06-29,175.0,142.5
2016-06-30,145.0,142.5
2016-07-01,190.0,180.0
2016-07-04,45.0,57.5
2016-07-06,145.0,155.0
2016-07-07,110.0,110.0
2016-07-09,135.0,135.0
2016-07-10,125.0,92.5
2016-07-11,115.0,105.0
2016-07-12,175.0,190.0
2016-07-15,105.0,110.0
2016-07-18,105.0,110.0
2016-07-20,125.0,115.0
2016-07-21,125.0,125.0
2016-07-22,135.0,115.0
2016-07-25,145.0,145.0
2016-07-26,125.0,142.5
2016-07-27,115.0,105.0
2016-07-28,125.0,120.0
2016-08-01,190.0,185.0
2016-08-02,95.0,120.0
2016-08-03,80.0,85.0
2016-08-04,85.0,105.0
2016-08-06,135.0,145.0
2016-08-07,105.0,130.0
2016-08-08,145.0,155.0
2016-08-09,135.0,130.0
2016-08-11,135.0,120.0
2016-08-12,145.0,190.0
2016-08-15,125.0,135.0
2016-08-16,125.0,120.0
2016-08-18,125.0,120.0
2016-08-19,115.0,110.0
2016-08-22,115.0,125.0
2016-08-23,95.0,120.0
2016-08-24,95.0,100.0
2016-08-29,125.0,115.0
2016-08-30,135.0,117.5
2016-08-31,125.0,135.0
2016-09-02,95.0,90.0
2016-09-03,85.0,90.0
2016-09-05,105.0,120.0
2016-09-06,135.0,135.0
2016-09-08,145.0,155.0
2016-09-09,135.0,135.0
2016-09-11,145.0,125.0
2016-09-12,155.0,130.0
2016-09-13,135.0,130.0
2016-09-14,135.0,110.0
2016-09-15,110.0,115.0
2016-09-19,105.0,95.0
2016-09-20,85.0,90.0
2016-09-21,95.0,95.0
2016-09-22,95.0,77.5
2016-09-23,75.0,95.0
2016-09-26,105.0,100.0
2016-09-27,115.0,110.0
2016-09-28,135.0,105.0
2016-09-29,105.0,115.0
2016-09-30,105.0,115.0
2016-10-02,85.0,100.0
2016-10-03,55.0,60.0
2016-10-05,110.0,120.0
2016-10-06,125.0,110.0
2016-10-08,125.0,140.0
2016-10-10,145.0,125.0
2016-10-11,135.0,110.0
2016-10-13,135.0,120.0
2016-10-14,135.0,130.0
2016-10-17,115.0,110.0
2016-10-18,95.0,105.0
2016-10-19,115.0,110.0
2016-10-20,95.0,120.0
2016-10-21,115.0,110.0
2016-10-24,125.0,150.0
2016-10-25,135.0,145.0
2016-10-26,135.0,135.0
2016-10-27,125.0,140.0
2016-10-28,145.0,135.0
2016-10-31,155.0,140.0
2016-11-01,190.0,155.0
2016-11-02,85.0,97.5
2016-11-03,75.0,65.0
2016-11-04,135.0,110.0
2016-11-05,100.0,110.0
2016-11-08,135.0,130.0
2016-11-10,135.0,120.0
2016-11-11,135.0,140.0
2016-11-15,155.0,135.0
2016-11-16,135.0,145.0
2016-11-17,135.0,125.0
2016-11-18,145.0,140.0
2016-11-21,145.0,160.0
2016-11-22,145.0,165.0
2016-11-23,165.0,160.0
2016-11-24,165.0,155.0
2016-11-25,155.0,170.0
2016-11-28,215.0,205.0
2016-11-29,210.0,200.0
2016-11-30,185.0,195.0
2016-12-01,185.0,175.0
2016-12-02,95.0,90.0
2016-12-05,100.0,115.0
2016-12-08,125.0,125.0
2016-12-10,135.0,120.0
2016-12-14,115.0,120.0
2016-12-15,110.0,115.0
2016-12-16,95.0,110.0
2016-12-19,85.0,55.0
2016-12-20,55.0,62.5
2016-12-21,65.0,57.5
2016-12-22,65.0,60.0
2016-12-23,45.0,70.0
2016-12-26,115.0,100.0
2016-12-27,95.0,97.5
2016-12-28,75.0,80.0
2016-12-29,65.0,52.5
2016-12-30,55.0,65.0
2017-01-02,95.0,75.0
2017-01-03,75.0,80.0
2017-01-08,105.0,110.0
2017-01-11,105.0,80.0
2017-01-13,75.0,65.0
2017-01-16,55.0,67.5
2017-01-17,60.0,65.0
2017-01-18,55.0,55.0
2017-01-19,55.0,45.0
2017-01-20,50.0,55.0
2017-01-23,37.5,35.0
2017-01-24,37.5,35.0
2017-01-25,42.5,27.5
2017-01-26,45.0,52.5
2017-01-27,45.0,45.0
2017-01-30,65.0,55.0
2017-01-31,95.0,80.0
2017-02-01,55.0,65.0
2017-02-02,85.0,90.0
2017-02-03,95.0,75.0
2017-02-05,95.0,110.0
2017-02-06,135.0,130.0
2017-02-08,105.0,105.0
2017-02-10,135.0,150.0
2017-02-11,75.0,67.5
2017-02-13,195.0,175.0
2017-02-14,155.0,155.0
2017-02-15,125.0,110.0
