Date,Kandy,Dambulla
2016-01-02,185.0,195.0
2016-01-03,85.0,80.0
2016-01-04,95.0,82.5
2016-01-06,185.0,150.0
2016-01-07,170.0,180.0
2016-01-08,95.0,90.0
2016-01-09,65.0,57.5
2016-01-11,85.0,77.5
2016-01-12,85.0,70.0
2016-01-13,190.0,185.0
2016-01-14,235.0,215.0
2016-01-18,290.0,210.0
2016-01-19,280.0,205.0
2016-01-20,270.0,240.0
2016-01-21,275.0,260.0
2016-01-22,285.0,250.0
2016-01-25,270.0,215.0
2016-01-26,225.0,235.0
2016-01-27,225.0,185.0
2016-01-28,210.0,220.0
2016-01-29,210.0,220.0
2016-02-02,200.0,225.0
2016-02-03,85.0,100.0
2016-02-05,95.0,92.5
2016-02-06,150.0,155.0
2016-02-08,85.0,80.0
2016-02-09,67.5,57.5
2016-02-11,55.0,72.5
2016-02-12,85.0,85.0
2016-02-15,195.0,160.0
2016-02-16,195.0,160.0
2016-02-17,180.0,140.0
2016-02-18,180.0,130.0
2016-02-19,115.0,115.0
2016-02-23,115.0,92.5
2016-02-24,105.0,110.0
2016-02-25,105.0,110.0
2016-02-26,125.0,110.0
2016-02-29,95.0,90.0
2016-03-02,210.0,200.0
2016-03-03,85.0,82.5
2016-03-05,95.0,72.5
2016-03-06,155.0,165.0
2016-03-08,85.0,90.0
2016-03-10,65.0,62.5
2016-03-11,75.0,60.0
2016-03-14,95.0,80.0
2016-03-15,95.0,80.0
2016-03-16,125.0,115.0
2016-03-18,85.0,65.0
2016-03-21,75.0,62.5
2016-03-23,95.0,75.0
2016-03-24,95.0,82.5
2016-03-28,125.0,110.0
2016-03-29,95.0,90.0
2016-03-30,95.0,85.0
2016-03-31,95.0,82.5
2016-04-01,285.0,260.0
2016-04-03,85.0,80.0
2016-04-04,105.0,87.5
2016-04-05,95.0,80.0
2016-04-07,175.0,165.0
2016-04-08,85.0,75.0
2016-04-10,65.0,52.5
2016-04-11,65.0,60.0
2016-04-18,95.0,100.0
2016-04-19,85.0,70.0
2016-04-20,95.0,72.5
2016-04-22,85.0,77.5
2016-04-25,85.0,95.0
2016-04-26,85.0,82.5
2016-04-27,85.0,80.0
2016-04-28,85.0,82.5
2016-04-29,85.0,80.0
2016-05-01,245.0,180.0
2016-05-02,285.0,270.0
2016-05-04,95.0,87.5
2016-05-05,95.0,80.0
2016-05-07,145.0,155.0
2016-05-08,95.0,82.5
2016-05-09,65.0,65.0
2016-05-10,65.0,60.0
2016-05-12,90.0,72.5
2016-05-13,95.0,85.0
2016-05-16,125.0,115.0
2016-05-17,125.0,125.0
2016-05-18,95.0,110.0
2016-05-19,95.0,75.0
2016-05-20,110.0,100.0
2016-05-23,115.0,100.0
2016-05-24,125.0,110.0
2016-05-25,135.0,130.0
2016-05-26,125.0,125.0
2016-05-27,145.0,140.0
2016-05-30,185.0,155.0
2016-05-31,185.0,155.0
2016-06-01,235.0,160.0
2016-06-04,85.0,82.5
2016-06-05,85.0,82.5
2016-06-06,175.0,180.0
2016-06-07,145.0,135.0
2016-06-09,65.0,62.5
2016-06-10,67.5,55.0
2016-06-12,95.0,75.0
2016-06-13,195.0,210.0
2016-06-14,205.0,205.0
2016-06-15,185.0,205.0
2016-06-16,215.0,190.0
2016-06-17,190.0,190.0
2016-06-20,215.0,210.0
2016-06-21,235.0,235.0
2016-06-22,225.0,210.0
2016-06-23,255.0,205.0
2016-06-24,210.0,210.0
2016-06-27,190.0,190.0
2016-06-28,195.0,190.0
2016-06-29,195.0,180.0
2016-06-30,205.0,170.0
2016-07-01,255.0,185.0
2016-07-04,75.0,80.0
2016-07-06,195.0,185.0
2016-07-07,145.0,135.0
2016-07-09,57.5,65.0
2016-07-10,72.5,145.0
2016-07-11,75.0,70.0
2016-07-12,95.0,82.5
2016-07-15,125.0,120.0
2016-07-18,115.0,110.0
2016-07-20,115.0,110.0
2016-07-21,125.0,125.0
2016-07-22,115.0,125.0
2016-07-25,110.0,90.0
2016-07-26,95.0,100.0
2016-07-27,95.0,92.5
2016-07-28,85.0,85.0
2016-08-01,195.0,175.0
2016-08-02,205.0,230.0
2016-08-03,95.0,87.5
2016-08-04,95.0,102.5
2016-08-06,195.0,190.0
2016-08-07,145.0,145.0
2016-08-08,95.0,62.5
2016-08-09,62.5,60.0
2016-08-11,75.0,67.5
2016-08-12,80.0,87.5
2016-08-15,85.0,67.5
2016-08-16,85.0,77.5
2016-08-18,75.0,75.0
2016-08-19,85.0,80.0
2016-08-22,85.0,62.5
2016-08-23,65.0,50.0
2016-08-24,55.0,55.0
2016-08-29,70.0,65.0
2016-08-30,70.0,57.5
2016-08-31,65.0,60.0
2016-09-02,190.0,180.0
2016-09-03,95.0,80.0
2016-09-05,77.5,92.5
2016-09-06,195.0,195.0
2016-09-08,85.0,60.0
2016-09-09,62.5,65.0
2016-09-11,75.0,72.5
2016-09-12,75.0,72.5
2016-09-13,62.5,65.0
2016-09-14,65.0,70.0
2016-09-15,67.5,67.5
2016-09-19,77.5,70.0
2016-09-20,75.0,75.0
2016-09-21,80.0,77.5
2016-09-22,75.0,75.0
2016-09-23,65.0,65.0
2016-09-26,67.5,70.0
2016-09-27,67.5,65.0
2016-09-28,67.5,60.0
2016-09-29,62.5,57.5
2016-09-30,62.5,57.5
