Date,Kandy,Dambulla
2016-01-02,180.00-190.00,170.00-220.00
2016-01-03,80.00-90.00,70.00-90.00
2016-01-04,90.00-100.00,75.00-90.00
2016-01-06,180.00-190.00,140.00-160.00
2016-01-07,160.00-180.00,170.00-190.00
2016-01-08,90.00-100.00,80.00-100.00
2016-01-09,60.00-70.00,50.00-65.00
2016-01-11,80.00-90.00,70.00-85.00
2016-01-12,80.00-90.00,60.00-80.00
2016-01-13,180.00-200.00,170.00-200.00
2016-01-14,230.00-240.00,200.00-230.00
2016-01-18,280.00-300.00,190.00-230.00
2016-01-19,270.00-290.00,180.00-230.00
2016-01-20,260.00-280.00,230.00-250.00
2016-01-21,270.00-280.00,240.00-280.00
2016-01-22,280.00-290.00,240.00-260.00
2016-01-25,260.00-280.00,200.00-230.00
2016-01-26,220.00-230.00,220.00-250.00
2016-01-27,220.00-230.00,170.00-200.00
2016-01-28,200.00-220.00,200.00-240.00
2016-01-29,200.00-220.00,200.00-240.00
2016-02-02,190.00-210.00,200.00-250.00
2016-02-03,80.00-90.00,90.00-110.00
2016-02-05,90.00-100.00,85.00-100.00
2016-02-06,140.00-160.00,140.00-170.00
2016-02-08,80.00-90.00,70.00-90.00
2016-02-09,65.00-70.00,50.00-65.00
2016-02-11,50.00-60.00,65.00-80.00
2016-02-12,80.00-90.00,80.00-90.00
2016-02-15,190.00-200.00,140.00-180.00
2016-02-16,190.00-200.00,140.00-180.00
2016-02-17,170.00-190.00,130.00-150.00
2016-02-18,170.00-190.00,120.00-140.00
2016-02-19,110.00-120.00,100.00-130.00
2016-02-23,110.00-120.00,75.00-110.00
2016-02-24,100.00-110.00,100.00-120.00
2016-02-25,100.00-110.00,100.00-120.00
2016-02-26,120.00-130.00,100.00-120.00
2016-02-29,90.00-100.00,80.00-100.00
2016-03-02,200.00-220.00,180.00-220.00
2016-03-03,80.00-90.00,75.00-90.00
2016-03-05,90.00-100.00,60.00-85.00
2016-03-06,150.00-160.00,150.00-180.00
2016-03-08,80.00-90.00,80.00-100.00
2016-03-10,60.00-70.00,60.00-65.00
2016-03-11,70.00-80.00,50.00-70.00
2016-03-14,90.00-100.00,70.00-90.00
2016-03-15,90.00-100.00,70.00-90.00
2016-03-16,120.00-130.00,100.00-130.00
2016-03-18,80.00-90.00,60.00-70.00
2016-03-21,70.00-80.00,55.00-70.00
2016-03-23,90.00-100.00,65.00-85.00
2016-03-24,90.00-100.00,75.00-90.00
2016-03-28,120.00-130.00,100.00-120.00
2016-03-29,90.00-100.00,80.00-100.00
2016-03-30,90.00-100.00,80.00-90.00
2016-03-31,90.00-100.00,75.00-90.00
2016-04-01,280.00-290.00,240.00-280.00
