Date,Item,Pettah,Kandy,Dambulla,Meegoda,Norochchole,Thambuththegama,Keppetipola,Nuwaraeliya,Bandarawela,Peliyagoda,Veyangoda
1/2/2016,Beans,120.00-130.00,120.00-130.00,110.00-130.00,160.00-165.00,,,,,,,
1/3/2016,Beans,100.00-130.00,120.00-130.00,80.00-100.00,100.00-120.00,,100.00-120.00,,,,,
1/4/2016,Beans,50.00-60.00,40.00-50.00,60.00-70.00,80.00-85.00,,55.00-60.00,,,,,
1/6/2016,Beans,150.00-200.00,150.00-160.00,170.00-190.00,210.00-220.00,,180.00-200.00,,,,,
1/7/2016,Beans,140.00-150.00,120.00-130.00,120.00-130.00,170.00-175.00,,,,,,,
1/8/2016,Beans,140.00-160.00,140.00-150.00,170.00-180.00,170.00-180.00,,,,,,,
1/9/2016,Beans,110.00-140.00,110.00-120.00,130.00-140.00,150.00-160.00,,,,,,,
1/11/2016,Beans,180.00-220.00,140.00-150.00,140.00-160.00,170.00-180.00,,,,,,,
1/12/2016,Beans,200.00-220.00,200.00-210.00,170.00-200.00,230.00-270.00,,,,,,,
1/13/2016,Beans,150.00-160.00,160.00-180.00,160.00-180.00,200.00-210.00,,160.00-180.00,,,,,
1/14/2016,Beans,150.00-170.00,180.00-190.00,170.00-180.00,180.00-220.00,,160.00-180.00,,,,,
1/18/2016,Beans,180.00-200.00,180.00-190.00,170.00-180.00,210.00-240.00,,180.00-200.00,,,,,
1/19/2016,Beans,170.00-200.00,170.00-190.00,180.00-200.00,220.00-240.00,,180.00-200.00,,,,,
1/20/2016,Beans,150.00-160.00,170.00-180.00,150.00-180.00,180.00-220.00,,180.00-200.00,,,,,
1/21/2016,Beans,100.00-120.00,170.00-180.00,120.00-140.00,170.00-200.00,,180.00-200.00,,,,,
1/22/2016,Beans,100.00-120.00,130.00-140.00,120.00-150.00,160.00-180.00,,150.00-160.00,,,,,
1/25/2016,Beans,100.00-120.00,100.00-120.00,100.00-120.00,130.00-150.00,,140.00-150.00,,,,,
1/26/2016,Beans,80.00-100.00,80.00-100.00,90.00-110.00,100.00-120.00,,120.00-130.00,,,,,
1/27/2016,Beans,80.00-100.00,80.00-100.00,75.00-100.00,100.00-120.00,,120.00-130.00,,,,,
1/28/2016,Beans,80.00-100.00,80.00-90.00,100.00-120.00,100.00-110.00,,120.00-130.00,,,,,
1/29/2016,Beans,100.00-120.00,120.00-130.00,100.00-110.00,100.00-120.00,,120.00-130.00,,,,,
2/2/2016,Beans,100.00-120.00,100.00-110.00,110.00-130.00,130.00-170.00,,,,,,,
2/3/2016,Beans,100.00-120.00,100.00-110.00,85.00-100.00,100.00-120.00,,90.00-110.00,,,,,
2/5/2016,Beans,140.00-180.00,120.00-130.00,140.00-150.00,150.00-170.00,,130.00-135.00,,,,,
2/6/2016,Beans,130.00-150.00,130.00-150.00,150.00-160.00,190.00-200.00,,160.00-175.00,,,,,
2/8/2016,Beans,130.00-140.00,150.00-160.00,170.00-180.00,185.00-195.00,,,,,,,
2/9/2016,Beans,100.00-120.00,120.00-130.00,130.00-140.00,150.00-160.00,,,,,,,
2/11/2016,Beans,100.00-120.00,100.00-120.00,130.00-150.00,170.00-210.00,,,,,,,
2/12/2016,Beans,200.00-220.00,210.00-220.00,200.00-220.00,220.00-260.00,,,,,,,
2/15/2016,Beans,80.00-100.00,100.00-110.00,90.00-100.00,95.00-100.00,,90.00-110.00,,,,,
2/16/2016,Beans,80.00-90.00,100.00-110.00,90.00-100.00,105.00-110.00,,90.00-110.00,,,,,
2/17/2016,Beans,70.00-80.00,80.00-90.00,50.00-70.00,105.00-110.00,,80.00-90.00,,,,,
2/18/2016,Beans,50.00-60.00,80.00-90.00,50.00-65.00,90.00-95.00,,70.00-85.00,,,,,
2/19/2016,Beans,50.00-70.00,60.00-70.00,50.00-60.00,75.00-85.00,,60.00-70.00,,,,,
2/23/2016,Beans,90.00-120.00,100.00-110.00,100.00-120.00,,,100.00-120.00,,,,,
2/24/2016,Beans,120.00-130.00,120.00-130.00,110.00-130.00,120.00-140.00,,100.00-120.00,,,,,
2/25/2016,Beans,120.00-130.00,120.00-130.00,110.00-130.00,120.00-140.00,,100.00-120.00,,,,,
2/26/2016,Beans,100.00-130.00,120.00-130.00,100.00-110.00,130.00-140.00,,110.00-120.00,,,,,
2/29/2016,Beans,100.00-130.00,100.00-110.00,85.00-100.00,120.00-125.00,,100.00-110.00,,,,,
3/2/2016,Beans,80.00-100.00,120.00-130.00,75.00-90.00,120.00-145.00,,,,,,,
3/3/2016,Beans,100.00-120.00,110.00-120.00,90.00-100.00,100.00-120.00,,100.00-120.00,,,,,
3/5/2016,Beans,130.00-150.00,130.00-140.00,80.00-100.00,150.00-170.00,,130.00-140.00,,,,,
