Date,Kandy,Dambulla,Buy Rate
2020-01-01,145.0,110.0,179.4845
2020-01-02,145.0,108.33333333333333,179.245
2020-01-03,145.0,106.66666666666667,179.3145
2020-01-06,145.0,101.66666666666667,179.3748
2020-01-07,145.0,100.0,179.3846
2020-01-08,135.0,101.66666666666667,179.3748
2020-01-09,125.0,103.33333333333333,179.6836
2020-01-13,295.0,260.0,179.4148
2020-01-14,310.0,275.0,179.5642
2020-01-16,255.0,305.0,179.5942
2020-01-17,290.0,295.0,179.3749
2020-01-20,330.0,315.0,179.3749
2020-01-21,345.0,320.0,179.3948
2020-01-22,310.0,335.0,179.5071
2020-01-23,290.0,285.0,179.557
2020-01-24,355.0,310.0,179.6068
2020-01-27,375.0,340.0,179.6468
2020-01-28,370.0,345.0,179.6767
2020-01-29,370.0,340.0,179.6668
2020-01-30,390.0,360.0,179.637
2020-01-31,390.0,355.0,179.6369
2020-02-03,145.0,125.0,179.577
2020-02-05,130.0,115.0,179.597
2020-02-06,122.5,110.0,179.5471
2020-02-07,115.0,105.0,179.5272
2020-02-10,115.0,105.0,179.557
2020-02-11,45.0,32.5,179.5371
2020-02-12,45.0,37.5,179.557
2020-02-13,152.5,143.75,179.5771
2020-02-14,260.0,250.0,179.5671
2020-02-17,230.0,225.0,179.5969
2020-02-18,190.0,145.0,179.6568
2020-02-19,145.0,90.0,179.7266
2020-02-20,115.0,85.0,180.0159
2020-02-24,145.0,130.0,179.7367
2020-02-25,125.0,125.0,179.8264
2020-02-26,145.0,115.0,179.8165
2020-02-27,115.0,115.0,179.8266
2020-02-28,125.0,125.0,179.9662
2020-03-02,345.0,335.0,180.0062
2020-03-03,125.0,115.0,180.1558
2020-03-04,120.0,110.0,180.2057
2020-03-05,115.0,105.0,180.1759
2020-03-06,110.0,100.0,180.0161
2020-03-10,66.25,60.0,180.096
2020-03-11,37.5,40.0,180.6547
2020-03-12,40.0,35.0,180.6847
2020-03-13,85.0,55.0,181.2135
2020-03-17,92.61904761904762,64.52380952380952,182.5795
2020-03-18,94.52380952380952,66.9047619047619,183.149
2020-03-19,96.42857142857143,69.28571428571428,184.117
2020-03-20,98.33333333333333,71.66666666666667,185.385
2020-03-24,105.95238095238095,81.19047619047619,185.9354
2020-03-27,111.66666666666666,88.33333333333334,187.103
2020-03-30,117.38095238095238,95.47619047619048,187.4091
2020-03-31,119.28571428571428,97.85714285714286,187.3584
2020-04-01,121.19047619047619,100.23809523809524,187.5584
2020-04-02,123.0952380952381,102.61904761904762,187.7084
2020-04-03,125.0,105.0,188.5584
2020-04-06,72.5,60.599999999999994,193.3598
2020-04-08,37.5,31.0,193.9572
2020-04-09,105.0,90.0,194.2034
2020-04-15,97.75,73.125,188.5124
2020-04-16,112.0,85.0,189.3356
2020-04-17,126.25,96.875,188.4656
2020-04-20,169.0,132.5,189.6324
2020-04-21,183.25,144.375,190.1895
2020-04-22,197.5,156.25,190.78
2020-04-23,211.75,168.125,191.7
2020-04-24,226.0,180.0,190.6982
2020-04-27,268.75,215.625,189.69
2020-04-28,283.0,227.5,190.45
2020-04-29,297.25,239.375,189.81
2020-04-30,311.5,251.25,190.42
2020-05-04,117.85714285714286,100.71428571428571,188.3788
2020-05-05,120.71428571428571,101.42857142857143,185.81
2020-05-06,123.57142857142857,102.14285714285714,186.54
2020-05-11,55.0,65.0,184.36
2020-05-12,60.23809523809524,69.28571428571429,184.63
2020-05-13,65.47619047619048,73.57142857142857,184.54
2020-05-14,70.71428571428572,77.85714285714286,185.14
2020-05-15,75.95238095238095,82.14285714285714,184.89
2020-05-18,91.66666666666666,95.0,184.74
2020-05-19,96.9047619047619,99.28571428571428,184.63
2020-05-20,102.14285714285714,103.57142857142857,184.5
2020-05-21,107.38095238095238,107.85714285714286,184.15
2020-05-22,112.61904761904762,112.14285714285714,183.81
2020-05-26,133.57142857142856,129.28571428571428,183.16
2020-05-27,138.8095238095238,133.57142857142856,183.3
2020-05-28,144.04761904761904,137.85714285714286,183.51
2020-05-29,149.28571428571428,142.14285714285714,183.52
2020-06-01,165.0,155.0,183.51
2020-06-02,125.0,125.0,183.42
2020-06-03,85.0,95.0,183.37
2020-06-04,90.0,91.25,183.27
2020-06-08,105.0,45.0,182.86
2020-06-09,120.0,75.0,182.6
2020-06-10,135.0,105.0,182.5
2020-06-11,75.0,65.0,182.55
2020-06-12,95.0,85.0,182.64
2020-06-15,155.0,145.0,182.74
2020-06-16,145.0,145.0,183.32
2020-06-17,145.0,145.0,183.61
2020-06-18,145.0,150.0,184.02
2020-06-19,165.0,145.0,184.08
2020-06-22,155.0,145.0,184.2
2020-06-23,165.0,150.0,184.12
2020-06-24,145.0,150.0,184.1
2020-06-25,135.0,147.5,184.13
2020-06-26,145.0,145.0,183.76
2020-06-29,165.0,135.0,183.78
2020-06-30,145.0,105.0,183.81
2020-07-01,175.0,180.0,183.79
2020-07-02,158.33333333333334,161.66666666666666,183.71
2020-07-03,141.66666666666666,143.33333333333334,183.68
2020-07-06,91.66666666666666,88.33333333333334,183.58
2020-07-07,75.0,70.0,183.53
