Date,Item,Pettah,Kandy,Dambulla,Meegoda,Norochchole,Thambuththegama,Keppetipola,Nuwaraeliya,Bandarawela,Peliyagoda,Veyangoda
2016-01-02,Beans,120.00-130.00,120.00-130.00,110.00-130.00,160.00-165.00,,,,,,,
2016-01-03,Beans,100.00-130.00,120.00-130.00,80.00-100.00,100.00-120.00,,100.00-120.00,,,,,
2016-01-04,Beans,50.00-60.00,40.00-50.00,60.00-70.00,80.00-85.00,,55.00-60.00,,,,,
2016-01-06,Beans,150.00-200.00,150.00-160.00,170.00-190.00,210.00-220.00,,180.00-200.00,,,,,
2016-01-07,Beans,140.00-150.00,120.00-130.00,120.00-130.00,170.00-175.00,,,,,,,
2016-01-08,Beans,140.00-160.00,140.00-150.00,170.00-180.00,170.00-180.00,,,,,,,
2016-01-09,Beans,110.00-140.00,110.00-120.00,130.00-140.00,150.00-160.00,,,,,,,
2016-01-11,Beans,180.00-220.00,140.00-150.00,140.00-160.00,170.00-180.00,,,,,,,
2016-01-12,Beans,200.00-220.00,200.00-210.00,170.00-200.00,230.00-270.00,,,,,,,
2016-01-13,Beans,150.00-160.00,160.00-180.00,160.00-180.00,200.00-210.00,,160.00-180.00,,,,,
2016-01-14,Beans,150.00-170.00,180.00-190.00,170.00-180.00,180.00-220.00,,160.00-180.00,,,,,
2016-01-18,Beans,180.00-200.00,180.00-190.00,170.00-180.00,210.00-240.00,,180.00-200.00,,,,,
2016-01-19,Beans,170.00-200.00,170.00-190.00,180.00-200.00,220.00-240.00,,180.00-200.00,,,,,
2016-01-20,Beans,150.00-160.00,170.00-180.00,150.00-180.00,180.00-220.00,,180.00-200.00,,,,,
2016-01-21,Beans,100.00-120.00,170.00-180.00,120.00-140.00,170.00-200.00,,180.00-200.00,,,,,
2016-01-22,Beans,100.00-120.00,130.00-140.00,120.00-150.00,160.00-180.00,,150.00-160.00,,,,,
2016-01-25,Beans,100.00-120.00,100.00-120.00,100.00-120.00,130.00-150.00,,140.00-150.00,,,,,
2016-01-26,Beans,80.00-100.00,80.00-100.00,90.00-110.00,100.00-120.00,,120.00-130.00,,,,,
2016-01-27,Beans,80.00-100.00,80.00-100.00,75.00-100.00,100.00-120.00,,120.00-130.00,,,,,
2016-01-28,Beans,80.00-100.00,80.00-90.00,100.00-120.00,100.00-110.00,,120.00-130.00,,,,,
2016-01-29,Beans,100.00-120.00,120.00-130.00,100.00-110.00,100.00-120.00,,120.00-130.00,,,,,
2016-02-02,Beans,100.00-120.00,100.00-110.00,110.00-130.00,130.00-170.00,,,,,,,
2016-02-03,Beans,100.00-120.00,100.00-110.00,85.00-100.00,100.00-120.00,,90.00-110.00,,,,,
2016-02-05,Beans,140.00-180.00,120.00-130.00,140.00-150.00,150.00-170.00,,130.00-135.00,,,,,
2016-02-06,Beans,130.00-150.00,130.00-150.00,150.00-160.00,190.00-200.00,,160.00-175.00,,,,,
2016-02-08,Beans,130.00-140.00,150.00-160.00,170.00-180.00,185.00-195.00,,,,,,,
2016-02-09,Beans,100.00-120.00,120.00-130.00,130.00-140.00,150.00-160.00,,,,,,,
2016-02-11,Beans,100.00-120.00,100.00-120.00,130.00-150.00,170.00-210.00,,,,,,,
2016-02-12,Beans,200.00-220.00,210.00-220.00,200.00-220.00,220.00-260.00,,,,,,,
2016-02-15,Beans,80.00-100.00,100.00-110.00,90.00-100.00,95.00-100.00,,90.00-110.00,,,,,
2016-02-16,Beans,80.00-90.00,100.00-110.00,90.00-100.00,105.00-110.00,,90.00-110.00,,,,,
2016-02-17,Beans,70.00-80.00,80.00-90.00,50.00-70.00,105.00-110.00,,80.00-90.00,,,,,
2016-02-18,Beans,50.00-60.00,80.00-90.00,50.00-65.00,90.00-95.00,,70.00-85.00,,,,,
2016-02-19,Beans,50.00-70.00,60.00-70.00,50.00-60.00,75.00-85.00,,60.00-70.00,,,,,
2016-02-23,Beans,90.00-120.00,100.00-110.00,100.00-120.00,,,100.00-120.00,,,,,
2016-02-24,Beans,120.00-130.00,120.00-130.00,110.00-130.00,120.00-140.00,,100.00-120.00,,,,,
2016-02-25,Beans,120.00-130.00,120.00-130.00,110.00-130.00,120.00-140.00,,100.00-120.00,,,,,
2016-02-26,Beans,100.00-130.00,120.00-130.00,100.00-110.00,130.00-140.00,,110.00-120.00,,,,,
2016-02-29,Beans,100.00-130.00,100.00-110.00,85.00-100.00,120.00-125.00,,100.00-110.00,,,,,
2016-03-02,Beans,80.00-100.00,120.00-130.00,75.00-90.00,120.00-145.00,,,,,,,
2016-03-03,Beans,100.00-120.00,110.00-120.00,90.00-100.00,100.00-120.00,,100.00-120.00,,,,,
2016-03-05,Beans,130.00-150.00,130.00-140.00,80.00-100.00,150.00-170.00,,130.00-140.00,,,,,
2016-03-06,Beans,120.00-150.00,150.00-160.00,130.00-150.00,150.00-160.00,,110.00-140.00,,,,,
2016-03-08,Beans,140.00-150.00,180.00-190.00,140.00-160.00,180.00-190.00,,,,,,,
2016-03-10,Beans,100.00-140.00,110.00-120.00,110.00-130.00,120.00-140.00,,,,,,,
2016-03-11,Beans,110.00-140.00,100.00-110.00,110.00-130.00,160.00-200.00,,,,,,,
2016-03-14,Beans,90.00-100.00,90.00-100.00,80.00-100.00,100.00-110.00,,90.00-100.00,,,,,
2016-03-15,Beans,90.00-100.00,90.00-100.00,80.00-100.00,110.00-120.00,,80.00-100.00,,,,,
2016-03-16,Beans,130.00-140.00,130.00-140.00,100.00-120.00,120.00-140.00,,130.00-150.00,,,,,
2016-03-17,Beans,70.00-80.00,70.00-80.00,65.00-75.00,100.00-110.00,,80.00-100.00,,,,,
