Date,Item,Pettah,Kandy,Dambulla,Meegoda,Norochchole,Thambuththegama,Keppetipola,Nuwaraeliya,Bandarawela,Peliyagoda,Veyangoda
2016-01-02,Beans,220.00-250.00,180.00-190.00,170.00-220.00,150.00-210.00,,,,,,,
2016-01-03,Beans,80.00-90.00,80.00-90.00,70.00-90.00,95.00-110.00,,100.00-120.00,,,,,
2016-01-04,Carrot,80.00-90.00,90.00-100.00,75.00-90.00,85.00-95.00,,90.00-100.00,,,,,
2016-01-06,Carrot,130.00-140.00,180.00-190.00,140.00-160.00,180.00-190.00,,150.00-180.00,,,,,
2016-01-07,Carrot,130.00-150.00,160.00-180.00,170.00-190.00,170.00-190.00,,,,,,,
2016-01-08,Carrot,80.00-90.00,90.00-100.00,80.00-100.00,85.00-100.00,,,,,,,
2016-01-09,Carrot,60.00-80.00,60.00-70.00,50.00-65.00,75.00-80.00,,,,,,,
2016-01-11,Carrot,70.00-80.00,80.00-90.00,70.00-85.00,100.00-105.00,,,,,,,
2016-01-12,Carrot,80.00-100.00,80.00-90.00,60.00-80.00,110.00-120.00,,,,,,,
2016-01-13,Beans,170.00-180.00,180.00-200.00,170.00-200.00,180.00-230.00,,210.00-230.00,,,,,
2016-01-14,Beans,200.00-220.00,230.00-240.00,200.00-230.00,200.00-230.00,,200.00-220.00,,,,,
2016-01-18,Beans,280.00-300.00,280.00-300.00,190.00-230.00,230.00-280.00,,220.00-230.00,,,,,
2016-01-19,Beans,250.00-280.00,270.00-290.00,180.00-230.00,300.00-320.00,,300.00-320.00,,,,,
2016-01-20,Beans,270.00-280.00,260.00-280.00,230.00-250.00,220.00-300.00,,300.00-320.00,,,,,
2016-01-21,Beans,250.00-280.00,270.00-280.00,240.00-280.00,200.00-310.00,,310.00-330.00,,,,,
2016-01-22,Beans,280.00-300.00,280.00-290.00,240.00-260.00,180.00-300.00,,310.00-330.00,,,,,
2016-01-25,Beans,250.00-270.00,260.00-280.00,200.00-230.00,180.00-290.00,,250.00-280.00,,,,,
2016-01-26,Beans,180.00-200.00,220.00-230.00,220.00-250.00,170.00-250.00,,260.00-280.00,,,,,
