Date,Item,Peliyagoda,Kandy,Dambulla,Meegoda,Norochchole,Thambuththegama,Keppetipola,Nuwaraeliya,Bandarawela,Veyangoda
2020-01-01,Leeks,320.00--350.00,,280.00--330.00,380.00--385.00,,350.00--370.00,,315.00-320.00,,
2020-01-07,Leeks,50.00--70.00,70.00--80.00,50.00--80.00,100.00--110.00,,85.00--100.00,75.00-80.00,85.00-90.00,,
2020-01-10,Leeks,50.00--60.00,50.00--60.00,45.00--55.00,,,50.00--60.00,,50.00-55.00,,
2020-01-12,Leeks,,40.00--50.00,45.00--60.00,65.00--70.00,,55.00--60.00,42.00-47.00,45.00-50.00,,
2020-01-13,Leeks,320.00--340.00,300.00--320.00,300.00-340.00,300.00-350.00,,330.00-350.00,,300.00--310.00,,
2020-01-14,Leeks,280.00--300.00,300.00--310.00,260.00--300.00,320.00--350.00,,340.00--360.00,,300.00-310.00,,
2020-01-16,Leeks,280.00--300.00,300.00--320.00,260.00-330.00,310.00-320.00,,330.00-350.00,,300.00--310.00,,
2020-01-17,Leeks,300.00--330.00,320.00--330.00,280.00-330.00,330.00-350.00,,330.00-350.00,,300.00--310.00,,
2020-01-20,Leeks,220.00--240.00,290.00--300.00,260.00-320.00,320.00-330.00,,320.00-340.00,,300.00--310.00,,
2020-01-21,Leeks,220.00--250.00,280.00--290.00,260.00-320.00,300.00-340.00,,320.00-340.00,,270.00--280.00,,
2020-01-22,Leeks,220.00--250.00,280.00--290.00,260.00-310.00,290.00-310.00,,310.00-330.00,,255.00--260.00,,
2020-01-23,Leeks,230.00--250.00,290.00--300.00,280.00-310.00,290.00-300.00,,280.00-300.00,,245.00--250.00,,
2020-01-24,Leeks,220.00--250.00,200.00--220.00,230.00-275.00,270.00-280.00,,280.00-300.00,,225.00--230.00,,
2020-01-27,Leeks,180.00--200.00,180.00--200.00,180.00-220.00,200.00-220.00,,200.00-220.00,,150.00--160.00,,
2020-01-28,Leeks,180.00--200.00,190.00--200.00,170.00-220.00,200.00-220.00,,200.00-220.00,,180.00--190.00,,
2020-01-29,Leeks,220.00--250.00,200.00--220.00,280.00-350.00,220.00-240.00,,240.00-250.00,,210.00--220.00,,
2020-01-30,Leeks,220.00--250.00,230.00--250.00,240.00-280.00,280.00-285.00,,260.00-280.00,,270.00--280.00,,
2020-01-31,Leeks,220.00--240.00,250.00--260.00,180.00-220.00,310.00-320.00,,310.00-330.00,,280.00--290.00,,
2020-02-01,Leeks,320.00--350.00,330.00--350.00,280.00--330.00,380.00--385.00,,350.00--370.00,,315.00-320.00,,
2020-02-03,Leeks,80.00--100.00,110.00--120.00,90.00-120.00,110.00-120.00,,100.00-110.00,80.00-85.00,85.00-95.00,,
2020-02-07,Leeks,70.00--80.00,80.00--90.00,65.00--80.00,90.00--100.00,,85.00--100.00,75.00-80.00,80.00-85.00,,
2020-02-09,Leeks,40.00--50.00,50.00--60.00,50.00--60.00,,,55.00--65.00,,50.00-60.00,,
2020-02-10,Leeks,50.00--60.00,50.00--60.00,45.00--55.00,,,50.00--60.00,,50.00-55.00,,
2020-02-11,Leeks,,35.00--40.00,20.00--25.00,,,50.00--60.00,30.00-35.00,40.00-45.00,,
2020-02-12,Leeks,,45.00--50.00,50.00--60.00,70.00--80.00,,60.00--70.00,40.00-45.00,45.00-50.00,,
2020-02-14,Leeks,180.00--200.00,180.00--200.00,200.00-220.00,200.00-220.00,,200.00-220.00,165.00-170.00,165.00--170.00,,
2020-02-14,Leeks,180.00--200.00,180.00--200.00,200.00-220.00,200.00-220.00,,200.00-220.00,165.00-170.00,165.00--170.00,,
2020-02-17,Leeks,160.00--200.00,180.00--200.00,140.00-170.00,170.00-190.00,,180.00-200.00,150.00-160.00,155.00--165.00,,
2020-02-17,Leeks,160.00--200.00,180.00--200.00,140.00-170.00,170.00-190.00,,180.00-200.00,150.00-160.00,155.00--165.00,,
2020-02-18,Leeks,160.00--180.00,160.00--180.00,140.00-170.00,190.00-200.00,,180.00-190.00,150.00-155.00,155.00--165.00,,
2020-02-18,Leeks,160.00--180.00,160.00--180.00,140.00-170.00,190.00-200.00,,180.00-190.00,150.00-155.00,155.00--165.00,,
2020-02-19,Leeks,160.00--170.00,140.00--160.00,150.00-180.00,160.00-180.00,,170.00-180.00,140.00-150.00,155.00--165.00,,
2020-02-19,Leeks,160.00--170.00,140.00--160.00,150.00-180.00,160.00-180.00,,170.00-180.00,140.00-150.00,155.00--165.00,,
2020-02-20,Leeks,110.00--130.00,150.00--160.00,120.00-180.00,170.00-180.00,,165.00-180.00,140.00-150.00,145.00--150.00,,
2020-02-20,Leeks,110.00--130.00,150.00--160.00,120.00-180.00,170.00-180.00,,165.00-180.00,140.00-150.00,145.00--150.00,,
2020-02-24,Leeks,100.00--120.00,140.00--150.00,110.00-150.00,150.00-160.00,,150.00-170.00,120.00-130.00,125.00--130.00,,
2020-02-24,Leeks,100.00--120.00,140.00--150.00,110.00-150.00,150.00-160.00,,150.00-170.00,120.00-130.00,125.00--130.00,,
2020-02-25,Leeks,120.00--150.00,140.00--150.00,120.00-140.00,150.00-170.00,,140.00-160.00,110.00-120.00,125.00--130.00,,
2020-02-25,Leeks,120.00--150.00,140.00--150.00,120.00-140.00,150.00-170.00,,140.00-160.00,110.00-120.00,125.00--130.00,,
2020-02-26,Leeks,100.00--120.00,140.00--150.00,130.00-150.00,140.00-150.00,,140.00-150.00,100.00-110.00,125.00--130.00,,
2020-02-26,Leeks,100.00--120.00,140.00--150.00,130.00-150.00,140.00-150.00,,140.00-150.00,100.00-110.00,125.00--130.00,,
2020-02-27,Leeks,100.00--120.00,130.00--140.00,100.00-140.00,130.00-150.00,,130.00-150.00,100.00-110.00,115.00--120.00,,
2020-02-27,Leeks,100.00--120.00,130.00--140.00,100.00-140.00,130.00-150.00,,130.00-150.00,100.00-110.00,115.00--120.00,,
2020-02-28,Leeks,100.00--120.00,120.00--130.00,110.00-150.00,130.00-150.00,,140.00-150.00,100.00-110.00,115.00--120.00,,
2020-02-28,Leeks,100.00--120.00,120.00--130.00,110.00-150.00,130.00-150.00,,140.00-150.00,100.00-110.00,115.00--120.00,,
