Date,Item,Peliyagoda,Kandy,Dambulla,Meegoda,Norochchole,Thambuththegama,Keppetipola,Nuwaraeliya,Bandarawela,Veyangoda
2020-01-01,Tomato,80.00--100.00,,100.00--120.00,140.00--150.00,,110.00--130.00,,,,
2020-01-07,Tomato,120.00--150.00,140.00--150.00,90.00--110.00,150.00--160.00,,120.00--130.00,100.00-110.00,,,
2020-01-10,Tomato,100.00--120.00,110.00--120.00,100.00--110.00,,,100.00--120.00,,,,
2020-01-12,Tomato,,50.00--60.00,40.00--50.00,65.00--70.00,,60.00--70.00,45.00-55.00,,,
2020-01-13,Tomato,200.00--230.00,290.00--300.00,250.00-270.00,230.00-240.00,,230.00-250.00,,,,
2020-01-14,Tomato,250.00--280.00,300.00--320.00,260.00--290.00,240.00--270.00,,240.00--260.00,,,,
2020-01-16,Tomato,320.00--350.00,250.00--260.00,280.00-330.00,300.00-320.00,,260.00-280.00,,,,
2020-01-17,Tomato,330.00--350.00,280.00--300.00,280.00-310.00,280.00-310.00,,290.00-310.00,,,,
2020-01-20,Tomato,300.00--320.00,320.00--340.00,300.00-330.00,320.00-350.00,,300.00-330.00,,,,
2020-01-21,Tomato,300.00--320.00,340.00--350.00,300.00-340.00,320.00-350.00,,250.00-280.00,,,,
2020-01-22,Tomato,300.00--350.00,300.00--320.00,320.00-350.00,310.00-340.00,,250.00-280.00,,,,
2020-01-23,Tomato,330.00--350.00,280.00--300.00,270.00-300.00,330.00-350.00,,280.00-300.00,,,,
2020-01-24,Tomato,360.00--380.00,350.00--360.00,300.00-320.00,330.00-335.00,,290.00-320.00,,,,
2020-01-27,Tomato,380.00--400.00,370.00--380.00,330.00-350.00,340.00-350.00,,300.00-320.00,,,,
2020-01-28,Tomato,380.00--400.00,360.00--380.00,340.00-350.00,360.00-380.00,,310.00-330.00,,,,
2020-01-29,Tomato,370.00--400.00,360.00--380.00,330.00-350.00,350.00-370.00,,320.00-340.00,,,,
2020-01-30,Tomato,370.00--400.00,380.00--400.00,350.00-370.00,370.00-375.00,,340.00-360.00,,,,
2020-01-31,Tomato,370.00--390.00,380.00--400.00,350.00-360.00,370.00-375.00,,340.00-360.00,,,,
2020-02-01,Tomato,80.00--100.00,100.00--120.00,100.00--120.00,120.00--130.00,,110.00--130.00,,,,
2020-02-03,Tomato,120.00--130.00,140.00--150.00,120.00-130.00,130.00-140.00,,100.00-110.00,130.00-140.00,,,
2020-02-07,Tomato,100.00--120.00,110.00--120.00,100.00--110.00,120.00--140.00,,100.00--120.00,80.00-90.00,,,
2020-02-09,Tomato,70.00--80.00,80.00--90.00,60.00--70.00,,,50.00--60.00,,,,
2020-02-10,Tomato,100.00--120.00,110.00--120.00,100.00--110.00,,,100.00--120.00,,,,
2020-02-11,Tomato,,40.00--50.00,25.00--40.00,,,50.00--60.00,34.00-37.00,,,
2020-02-12,Tomato,,40.00--50.00,35.00--40.00,65.00--70.00,,50.00--70.00,50.00-55.00,,,
2020-02-14,Tomato,280.00--300.00,250.00--270.00,240.00-260.00,280.00-290.00,,240.00-260.00,250.00-270.00,,,
2020-02-17,Tomato,200.00--250.00,220.00--240.00,220.00-230.00,260.00-280.00,,230.00-250.00,220.00-240.00,,,
2020-02-18,Tomato,150.00--180.00,180.00--200.00,140.00-150.00,240.00-260.00,,150.00-170.00,150.00-160.00,,,
2020-02-19,Tomato,100.00--150.00,140.00--150.00,80.00-100.00,170.00-180.00,,80.00-100.00,120.00-130.00,,,
2020-02-20,Tomato,100.00--120.00,110.00--120.00,80.00-90.00,110.00-130.00,,80.00-100.00,100.00-120.00,,,
2020-02-24,Tomato,120.00--140.00,140.00--150.00,120.00-140.00,110.00-120.00,,100.00-120.00,130.00-140.00,,,
2020-02-25,Tomato,130.00--150.00,120.00--130.00,120.00-130.00,120.00-130.00,,100.00-120.00,140.00-150.00,,,
2020-02-26,Tomato,100.00--130.00,140.00--150.00,110.00-120.00,140.00-150.00,,100.00-120.00,120.00-140.00,,,
2020-02-27,Tomato,100.00--120.00,110.00--120.00,110.00-120.00,130.00-140.00,,100.00-120.00,120.00-140.00,,,
2020-02-28,Tomato,110.00--130.00,120.00--130.00,120.00-130.00,130.00-140.00,,100.00-120.00,140.00-150.00,,,
2020-03-01,Tomato,150.00--160.00,90.00--100.00,100.00--120.00,120.00--140.00,,100.00--120.00,,,,
2020-03-02,Tomato,380.00--400.00,340.00--350.00,320.00-350.00,380.00-390.00,,320.00-340.00,,,,
2020-03-03,Tomato,110.00--130.00,120.00--130.00,110.00-120.00,130.00-140.00,,100.00-110.00,130.00-140.00,,,
2020-03-07,Tomato,80.00--100.00,100.00--110.00,90.00--100.00,100.00--120.00,,100.00--120.00,,,,
2020-03-09,Tomato,70.00--80.00,90.00--100.00,70.00--90.00,85.00--90.00,,50.00--70.00,,,,
2020-03-11,Tomato,,35.00--40.00,35.00--45.00,,,40.00--50.00,35.00-40.00,,,
2020-03-12,Tomato,,35.00--45.00,30.00--40.00,55.00--60.00,,50.00--60.00,45.00-50.00,,,
2020-03-13,Tomato,70.00--80.00,80.00--90.00,50.00--60.00,70.00--80.00,,40.00--50.00,60.00-70.00,,,
2020-04-03,Tomato,100.00--120.00,120.00--130.00,100.00--110.00,130.00--140.00,,80.00--100.00,100.00-110.00,,,
2020-04-08,Tomato,30.00--40.00,35.00--40.00,27.00--35.00,,,20.00--30.00,20.00-25.00,,,
2020-04-09,Tomato,100.00--110.00,100.00--110.00,80.00--100.00,90.00--100.00,,60.00--70.00,,,,
2020-04-11,Tomato,,40.00--50.00,60.00--80.00,,,50.00--70.00,70.00-80.00,,,
2020-04-12,Tomato,,50.00--60.00,35.00--40.00,50.00--60.00,,50.00--60.00,30.00-35.00,,,
2020-05-02,Tomato,330.00--360.00,330.00--350.00,250.00-300.00,,,260.00-280.00,,,,
2020-05-03,Tomato,80.00--100.00,110.00--120.00,90.00-110.00,,,80.00-90.00,100.00-110.00,,,
2020-05-10,Tomato,120.00--140.00,130.00--140.00,100.00--110.00,120.00--130.00,,100.00--120.00,,,,
2020-05-11,Tomato,,50.00--60.00,60.00--70.00,,,70.00--80.00,70.00-80.00,,,
2020-06-01,Tomato,150.00--170.00,160.00--170.00,150.00--160.00,160.00--180.00,,160.00--180.00,,,,
2020-06-03,Tomato,70.00--80.00,80.00--90.00,90.00-100.00,90.00-110.00,,80.00-100.00,100.00-120.00,,,
2020-06-07,Tomato,80.00--100.00,100.00--110.00,70.00--90.00,100.00--110.00,,70.00--85.00,65.00-70.00,,,
2020-06-08,Tomato,30.00--40.00,,40.00--50.00,,,25.00--35.00,25.00-30.00,,,
2020-06-10,Tomato,150.00--170.00,130.00--140.00,100.00--110.00,120.00--130.00,,100.00--120.00,,,,
2020-06-11,Tomato,,70.00--80.00,60.00--70.00,,,60.00--70.00,50.00-60.00,,,
2020-06-15,Tomato,150.00--160.00,150.00--160.00,140.00-150.00,150.00-170.00,,160.00-170.00,140.00-150.00,,,
2020-06-16,Tomato,170.00--180.00,140.00--150.00,140.00-150.00,170.00-175.00,,160.00-180.00,120.00-130.00,,,
2020-06-17,Tomato,160.00--180.00,140.00--150.00,140.00-150.00,150.00-170.00,,150.00-160.00,130.00-135.00,,,
2020-06-18,Tomato,160.00--170.00,140.00--150.00,140.00-160.00,160.00-170.00,,160.00-170.00,125.00-130.00,,,
2020-06-19,Tomato,150.00--160.00,160.00--170.00,140.00-150.00,150.00-160.00,,150.00-160.00,130.00-135.00,,,
2020-06-22,Tomato,160.00--180.00,150.00--160.00,140.00-150.00,160.00-180.00,,160.00-170.00,140.00-150.00,,,
2020-06-23,Tomato,170.00--190.00,160.00--170.00,140.00-160.00,170.00-180.00,,160.00-170.00,130.00-140.00,,,
2020-06-24,Tomato,160.00--180.00,140.00--150.00,140.00-160.00,160.00-170.00,,140.00-160.00,130.00-140.00,,,
2020-06-25,Tomato,150.00--170.00,130.00--140.00,140.00--155.00,160.00--170.00,,150.00--160.00,135.00-140.00,,,
2020-06-26,Tomato,160.00--180.00,140.00--150.00,140.00--150.00,150.00--160.00,,150.00--170.00,140.00-145.00,,,
2020-06-29,Tomato,160.00--180.00,160.00--170.00,130.00-140.00,160.00-170.00,,150.00-160.00,140.00-150.00,,,
2020-06-30,Tomato,150.00--170.00,140.00--150.00,100.00-110.00,160.00-170.00,,150.00-160.00,110.00-120.00,,,
2020-07-01,Tomato,220.00--250.00,170.00--180.00,170.00--190.00,170.00--180.00,,170.00--200.00,,,,
2020-07-07,Tomato,100.00--120.00,70.00--80.00,60.00--80.00,90.00--100.00,,80.00--100.00,60.00-65.00,,,
2020-07-08,Tomato,40.00--50.00,40.00--45.00,25.00--35.00,70.00--80.00,,25.00--35.00,30.00-35.00,,,
2020-07-09,Tomato,80.00--100.00,100.00--110.00,100.00--120.00,120.00--130.00,,80.00--100.00,,,,
2020-07-10,Tomato,150.00--170.00,120.00--130.00,120.00--135.00,130.00--140.00,,110.00--130.00,,,,
2020-07-12,Tomato,,40.00--50.00,40.00--55.00,55.00--60.00,,50.00--60.00,35.00-45.00,,,
2020-07-13,Tomato,80.00--100.00,90.00--100.00,70.00--80.00,80.00--90.00,,80.00--100.00,70.00-75.00,,,
2020-07-14,Tomato,70.00--80.00,80.00--90.00,65.00--80.00,80.00--90.00,,60.00--80.00,70.00-75.00,,,
2020-07-15,Tomato,60.00--80.00,60.00--70.00,55.00--65.00,80.00--90.00,,60.00--70.00,55.00-65.00,,,
2020-07-16,Tomato,50.00--60.00,60.00--70.00,45.00--55.00,75.00--80.00,,40.00--60.00,45.00-50.00,,,
2020-07-17,Tomato,50.00--70.00,60.00--70.00,40.00--50.00,75.00--80.00,,40.00--60.00,45.00-50.00,,,
2020-07-20,Tomato,40.00--60.00,40.00--50.00,25.00--35.00,50.00--60.00,,40.00--50.00,30.00-35.00,,,
2020-07-21,Tomato,40.00--50.00,40.00--50.00,30.00--35.00,50.00--55.00,,35.00--45.00,25.00-30.00,,,
2020-07-22,Tomato,35.00--50.00,40.00--50.00,25.00--30.00,40.00--50.00,,30.00--40.00,25.00-30.00,,,
2020-07-23,Tomato,30.00--45.00,35.00--45.00,20.00--30.00,40.00--45.00,,30.00--40.00,25.00-30.00,,,
2020-07-24,Tomato,30.00--40.00,25.00--35.00,25.00--30.00,40.00--45.00,,30.00--40.00,23.00-25.00,,,
2020-07-27,Tomato,30.00--50.00,30.00--40.00,25.00--30.00,30.00--40.00,,35.00--50.00,20.00-25.00,,,
