Date,Bandarawela,Dambulla,Kandy,Keppetipola,Meegoda,Norochchole,Nuwaraeliya,Peliyagoda,Thambuththegama,Veyangoda
2020-01-01,325.0,175.0,418.33,315.0,125.0,210.0,110.0,565.0,325.0,335.0
2020-01-02,118.33,125.0,135.0,241.25,80.0,110.0,201.67,151.43,118.33,310.0
2020-01-03,322.0,125.0,105.0,255.0,257.0,96.11,85.0,113.1,315.0,241.5
2020-01-04,215.0,210.0,260.0,135.0,125.0,131.67,125.0,141.67,233.33,115.0
2020-01-05,275.0,151.67,265.0,75.0,360.0,123.33,145.0,120.0,75.0,225.0
2020-01-06,282.0,333.18,155.0,265.0,135.0,325.0,325.0,110.0,290.0,140.0
2020-01-07,80.0,81.67,320.0,415.0,255.0,235.0,195.0,190.0,140.0,170.0
2020-01-08,215.0,125.0,146.67,235.0,285.0,76.67,325.0,550.0,285.0,477.5
2020-01-09,102.5,145.0,115.0,415.0,130.0,385.0,105.0,490.0,290.0,96.67
2020-01-10,220.0,305.0,240.0,103.33,167.5,80.0,171.43,138.33,120.0,310.0
2020-01-11,365.0,110.0,340.0,205.0,135.0,155.0,348.33,425.0,112.5,160.0
2020-01-12,155.0,218.33,170.0,130.0,88.33,135.0,216.67,148.75,219.29,175.0
2020-01-13,104.0,265.0,237.14,115.0,315.0,208.33,255.0,135.0,128.75,105.0
2020-01-14,475.0,158.33,275.0,267.5,462.5,130.0,475.0,120.0,157.5,305.0
2020-01-15,161.67,150.24,134.52,370.0,125.0,265.0,390.0,116.67,180.0,75.0
2020-01-16,365.0,115.0,115.0,290.0,225.0,238.33,375.0,237.5,270.0,365.0
2020-01-17,390.0,110.0,145.0,215.0,85.0,110.0,266.67,271.19,242.5,327.5
2020-01-18,105.0,230.0,290.0,330.0,121.67,85.0,194.0,386.67,125.0,305.0
2020-01-19,200.0,125.0,525.0,298.33,463.18,85.0,145.0,290.0,238.33,280.0
2020-01-20,270.0,590.0,128.33,190.0,135.0,415.0,185.0,290.0,95.0,275.0
2020-01-21,107.5,135.0,171.67,190.0,255.0,325.0,265.0,240.0,220.0,223.75
2020-01-22,340.0,110.0,210.0,355.0,287.5,120.0,270.0,125.0,240.0,122.5
2020-01-23,100.0,245.0,85.0,240.0,135.0,315.0,108.33,179.0,330.0,124.0
2020-01-24,315.0,202.5,319.0,105.0,95.0,85.0,410.0,170.0,140.0,202.5
2020-01-25,325.0,175.0,226.67,400.0,55.0,290.0,105.0,325.0,192.86,330.0
2020-01-26,155.0,150.0,143.0,150.0,275.0,130.0,125.0,85.0,125.0,445.91
2020-01-27,415.0,281.67,251.0,345.0,200.0,155.0,255.0,130.0,192.5,225.0
2020-01-28,190.0,322.73,150.0,262.5,105.0,145.0,115.0,565.0,265.0,155.0
2020-01-29,200.0,80.0,295.0,390.0,251.67,170.0,135.0,130.0,118.33,151.19
2020-01-30,95.0,150.0,130.0,154.05,360.0,416.67,240.0,125.0,370.0,325.0
