Date,Bandarawela,Dambulla,Kandy,Keppetipola,Meegoda,Norochchole,Nuwaraeliya,Peliyagoda,Thambuththegama,Veyangoda
2020-01-01,360.0,281.67,360.0,330.0,263.33,80.0,240.0,240.0,360.0,325.0
2020-01-02,162.5,260.0,321.67,133.33,320.0,170.0,290.0,287.5,150.0,222.5
2020-01-03,140.0,565.0,425.0,270.0,105.0,170.0,290.0,550.0,270.0,167.5
2020-01-04,185.0,137.5,135.0,185.0,170.0,165.0,185.0,165.0,400.0,265.0
2020-01-05,312.5,260.0,85.0,360.0,125.0,95.0,375.0,275.0,340.0,290.0
2020-01-06,105.0,120.0,175.0,300.0,358.33,120.0,110.0,483.0,131.67,335.0
2020-01-07,227.5,218.33,145.0,270.0,375.0,140.0,220.0,135.0,320.0,135.0
2020-01-08,125.0,310.0,255.0,215.0,348.33,390.0,440.0,370.0,193.33,370.0
2020-01-09,135.0,400.0,135.0,300.0,273.0,425.0,290.0,255.0,110.0,105.0
2020-01-10,115.0,280.0,175.0,285.0,310.0,200.0,340.0,125.0,325.25,210.0
2020-01-11,126.67,220.0,430.0,85.0,375.0,103.33,210.0,290.0,290.0,337.5
2020-01-12,130.0,350.0,105.0,418.33,155.0,110.0,250.0,310.0,305.0,325.0
2020-01-13,218.33,252.5,327.5,375.0,315.0,155.0,250.0,160.0,291.67,515.0
2020-01-14,430.0,300.0,256.88,185.0,126.67,265.0,435.0,208.33,140.71,320.0
2020-01-15,151.67,190.0,325.0,231.67,210.0,370.0,105.0,213.33,157.5,577.5
2020-01-16,135.0,240.0,290.0,320.0,255.0,298.33,152.5,110.0,260.0,82.5
2020-01-17,166.67,261.67,160.0,255.0,335.0,243.64,95.0,88.75,150.0,202.5
2020-01-18,223.33,161.67,325.0,184.5,235.0,140.0,260.0,95.0,260.0,550.0
2020-01-19,291.67,375.0,393.33,180.0,215.0,296.67,435.0,290.0,320.0,325.0
2020-01-20,125.0,78.33,110.0,330.0,95.0,329.0,368.33,245.0,165.0,166.67
2020-01-21,119.55,110.0,365.0,385.0,227.5,375.0,150.0,223.33,190.0,280.0
2020-01-22,132.5,275.0,115.0,129.0,110.0,90.0,115.0,95.0,232.5,260.0
2020-01-23,165.0,141.67,140.0,327.5,270.0,155.95,205.0,334.09,185.0,228.33
2020-01-24,135.0,231.0,340.0,170.0,86.67,95.0,265.0,162.5,165.0,365.0
2020-01-25,525.0,320.0,125.0,305.0,262.5,224.0,225.0,220.0,371.67,290.0
2020-01-26,160.0,180.0,205.0,400.0,355.0,415.0,261.25,160.0,105.0,302.5
2020-01-27,110.0,200.0,77.38,161.67,110.0,425.0,400.0,185.0,85.0,215.0
2020-01-28,213.75,220.0,366.88,260.0,314.55,105.95,158.33,155.0,115.0,240.0
2020-01-29,235.0,154.05,390.0,106.82,128.33,270.0,150.0,340.0,325.0,329.0
2020-01-30,135.0,165.0,115.91,151.67,102.5,175.0,115.0,155.0,208.33,390.0
2020-01-31,158.33,95.0,435.0,357.5,145.0,265.0,290.0,211.67,330.0,275.0
