Date,Bandarawela,Dambulla,Kandy,Keppetipola,Meegoda,Norochchole,Nuwaraeliya,Peliyagoda,Thambuththegama,Veyangoda
2020-01-01,102.5,204.09,290.0,150.0,157.5,145.0,275.0,225.0,225.0,425.0
2020-01-02,170.0,290.0,310.0,375.0,105.0,360.0,335.0,225.0,315.0,167.5
2020-01-03,335.0,175.0,308.33,207.5,228.33,115.0,335.0,235.0,310.0,120.0
2020-01-04,160.0,125.0,325.0,435.0,87.5,135.95,120.0,175.0,310.83,160.0
2020-01-05,155.0,307.38,144.17,300.0,246.67,158.33,135.0,95.0,110.0,310.0
2020-01-06,310.0,265.0,305.0,104.0,310.0,145.0,155.0,368.33,237.5,260.0
2020-01-07,290.0,151.67,110.0,375.0,145.0,210.0,115.0,415.0,365.0,275.0
2020-01-08,140.0,125.0,185.0,205.0,125.0,330.0,305.0,140.0,331.67,255.0
2020-01-09,233.33,335.0,132.5,225.0,95.0,115.0,223.33,130.0,130.0,145.0
2020-01-10,298.57,135.0,80.0,210.0,278.33,105.0,125.0,125.0,290.0,131.67
2020-01-11,343.33,90.0,79.17,95.0,363.33,146.67,125.0,535.0,290.0,325.0
2020-01-12,241.25,190.0,265.0,111.67,135.0,290.0,270.0,190.0,356.67,97.22
2020-01-13,155.0,125.62,302.5,153.33,86.67,107.5,253.0,111.25,310.0,131.0
2020-01-14,101.67,249.29,158.33,265.0,119.38,286.67,435.0,115.0,141.67,380.0
2020-01-15,335.0,130.0,110.0,272.5,315.0,190.0,81.11,110.0,250.0,85.0
2020-01-16,105.0,323.75,346.67,387.5,575.0,95.0,242.5,410.0,124.0,235.0
2020-01-17,325.0,200.0,175.0,72.5,123.75,140.0,145.0,145.0,390.0,223.33
2020-01-18,165.0,155.0,85.0,105.0,142.22,172.5,285.0,125.0,245.0,212.5
2020-01-19,136.67,154.05,135.0,377.5,138.33,152.5,252.5,100.0,115.0,153.1
2020-01-20,125.0,415.0,90.0,135.0,85.0,138.81,140.0,115.0,230.0,200.0
2020-01-21,125.0,162.5,295.0,245.0,210.0,285.0,213.0,325.0,290.0,92.5
2020-01-22,135.0,250.0,145.0,103.57,356.67,135.0,240.0,210.0,225.0,125.0
2020-01-23,128.33,90.0,115.0,285.0,375.0,345.0,130.45,175.0,185.0,115.0
2020-01-24,125.0,270.0,287.5,265.0,125.0,185.0,152.5,322.5,370.0,177.0
2020-01-25,310.0,255.0,110.0,85.0,140.0,345.0,166.67,303.75,135.0,90.0
2020-01-26,207.38,175.0,135.0,325.0,182.5,590.0,155.0,137.5,185.0,340.0
2020-01-27,240.0,262.5,97.5,290.0,360.0,161.67,130.0,305.0,98.33,145.0
2020-01-28,105.0,261.67,85.0,255.0,141.25,144.05,75.0,240.0,243.33,365.0
2020-01-29,125.0,115.0,310.0,211.67,135.0,210.0,386.67,207.5,285.0,131.0
2020-01-30,210.0,290.0,270.0,296.67,210.0,415.0,400.0,145.0,175.0,250.0
2020-01-31,220.0,365.0,225.0,270.0,125.0,160.0,167.5,271.19,119.09,348.33
2020-02-01,225.0,325.0,175.0,100.0,155.0,110.0,308.0,267.5,305.0,75.0
2020-02-02,370.0,85.0,115.0,95.0,290.0,291.25,81.0,130.56,330.0,317.0
2020-02-03,475.0,120.0,270.0,270.83,350.0,300.0,110.0,262.5,95.0,265.0
2020-02-04,110.0,355.0,325.0,385.0,255.0,286.67,410.0,143.33,165.0,365.0
2020-02-05,260.0,110.0,255.0,403.33,175.0,290.0,190.0,125.0,125.0,145.0
2020-02-06,190.0,250.0,210.0,130.0,415.0,101.67,95.0,268.75,110.0,127.5
2020-02-07,150.0,95.0,130.0,184.0,300.0,190.0,170.0,300.0,385.0,335.0
2020-02-08,230.0,262.5,145.0,348.75,275.0,329.0,125.0,315.0,250.0,410.0
2020-02-09,214.29,115.0,130.95,140.0,265.0,135.0,315.0,190.0,217.5,95.0
2020-02-10,85.0,130.0,220.0,310.0,195.0,257.5,150.0,135.0,295.0,435.0
2020-02-11,165.0,94.0,273.33,125.0,105.0,143.33,310.83,125.0,260.0,375.0
2020-02-12,125.0,311.0,175.0,225.0,143.33,275.0,250.0,225.0,135.0,212.5
2020-02-13,255.0,95.0,265.0,525.0,319.38,210.0,135.0,250.0,140.0,325.0
2020-02-14,247.86,425.0,146.67,132.5,310.0,201.67,145.0,125.0,183.33,215.0
2020-02-15,314.0,275.0,285.0,79.76,77.38,156.67,440.0,256.67,262.5,325.0
2020-02-16,125.0,155.0,120.0,135.0,390.0,77.5,110.0,210.0,185.0,330.0
2020-02-17,85.0,355.0,170.0,375.0,340.0,160.62,315.0,124.0,116.67,155.0
2020-02-18,255.0,155.0,330.0,107.5,260.0,127.0,75.0,400.0,135.0,120.0
2020-02-19,171.0,149.0,142.5,135.0,225.0,165.0,135.0,265.0,351.67,145.0
2020-02-20,150.0,45.0,95.0,275.0,290.0,240.0,415.0,575.0,265.0,164.55
2020-02-21,170.0,102.5,190.0,77.5,310.0,225.0,166.88,155.0,380.0,118.33
2020-02-22,157.5,165.0,310.0,135.0,325.0,210.0,115.0,220.0,138.33,165.0
2020-02-23,150.0,253.33,238.33,80.0,325.0,100.0,341.67,102.22,167.5,130.0
2020-02-24,112.5,290.0,176.25,202.5,145.0,286.67,210.0,415.0,195.0,295.0
2020-02-25,125.0,91.67,155.0,449.0,155.0,394.09,245.0,265.0,95.0,90.0
2020-02-26,310.0,140.0,110.0,348.33,220.83,360.0,267.5,105.0,410.0,118.33
2020-02-27,90.0,105.0,140.0,360.0,290.0,85.0,425.0,135.0,323.33,260.0
2020-02-28,273.33,330.0,65.0,275.0,233.25,122.5,307.5,135.0,270.0,215.0
2020-02-29,230.0,181.0,222.5,195.0,200.0,155.0,135.0,135.0,114.44,225.0
2020-03-01,105.0,215.0,115.0,273.33,175.0,325.0,165.0,105.0,226.67,170.0
2020-03-02,360.0,267.5,335.0,125.0,320.0,145.0,265.0,215.0,410.0,247.5
2020-03-03,265.0,375.0,168.33,260.0,105.0,145.0,103.75,102.5,225.0,325.0
2020-03-04,80.0,145.0,283.33,96.67,125.62,272.5,205.0,95.0,147.5,325.0
2020-03-05,225.0,111.67,255.0,290.0,97.0,155.0,375.0,196.67,223.33,135.0
2020-03-06,110.0,245.0,215.0,117.22,360.0,170.0,235.0,90.0,260.0,140.0
2020-03-07,260.0,115.0,235.0,110.0,107.5,135.0,335.0,295.0,306.67,85.0
2020-03-08,135.0,143.0,142.5,390.0,225.0,220.0,135.0,86.67,145.0,328.75
2020-03-09,240.0,265.0,295.0,138.0,119.38,325.0,95.0,125.0,240.0,265.0
2020-03-10,160.0,125.0,161.67,193.33,135.0,125.0,325.0,135.0,118.75,165.0
2020-03-11,95.0,163.75,280.0,275.0,260.0,486.67,75.0,206.25,198.33,225.0
2020-03-12,316.19,210.0,355.0,97.0,375.0,235.0,550.0,375.0,126.67,183.33
2020-03-13,317.5,125.0,530.0,340.0,250.0,95.0,375.0,290.0,296.67,440.0
2020-03-14,305.0,310.0,475.0,277.5,160.0,469.0,249.05,110.0,315.0,151.19
2020-03-15,77.5,270.0,390.0,145.0,81.67,95.0,131.67,135.0,290.0,270.0
2020-03-16,295.0,95.0,315.0,165.0,195.0,175.0,100.0,145.0,425.0,325.0
2020-03-17,110.0,130.0,465.0,390.0,230.0,100.0,320.0,165.0,390.0,202.5
2020-03-18,105.0,170.0,130.45,141.67,193.25,210.0,142.86,185.0,175.0,105.0
2020-03-19,170.0,345.0,150.0,155.0,211.67,92.5,362.5,140.0,170.0,150.0
2020-03-20,301.67,82.5,115.0,130.0,155.0,220.0,340.5,290.0,175.0,135.95
2020-03-21,130.0,110.0,315.0,475.0,262.14,142.5,225.0,125.0,145.0,140.0
2020-03-22,231.67,165.0,170.0,197.5,241.25,145.0,125.0,477.5,230.45,145.0
2020-03-23,155.0,435.0,290.0,110.0,115.0,460.0,305.0,105.0,250.0,112.5
2020-03-24,345.0,130.0,194.0,117.5,365.0,125.0,380.0,215.0,95.0,130.0
2020-03-25,175.0,125.0,160.0,340.0,215.0,163.75,112.5,150.0,316.67,245.0
2020-03-26,223.33,235.0,138.18,195.0,130.95,215.0,256.82,265.0,115.0,292.5
2020-03-27,180.0,277.5,155.0,285.0,175.0,135.0,360.0,175.0,310.0,205.0
2020-03-28,135.0,190.0,344.52,115.0,103.12,355.0,270.0,360.0,135.0,285.0
2020-03-29,375.0,160.0,266.67,177.73,137.5,310.0,376.67,110.0,345.0,85.0
2020-03-30,181.43,199.5,260.0,190.0,230.0,270.0,320.0,210.0,146.67,335.0
2020-03-31,90.0,135.0,250.0,135.0,116.67,81.67,275.0,95.0,280.0,246.67
2020-04-01,143.33,285.0,300.0,175.0,75.0,250.0,115.0,145.0,83.89,155.0
2020-04-02,115.0,210.0,210.0,400.0,140.0,240.0,133.33,231.67,125.0,205.0
2020-04-03,146.43,153.18,135.0,390.0,105.0,223.33,390.0,120.0,335.0,115.0
