Date,Bandarawela,Dambulla,Kandy,Keppetipola,Meegoda,Norochchole,Nuwaraeliya,Peliyagoda,Thambuththegama,Veyangoda
2020-01-01,103.75,171.67,103.33,280.0,322.5,110.0,129.44,280.0,210.0,170.0
2020-01-02,145.0,280.0,315.0,275.0,140.0,125.0,420.0,260.0,525.0,225.0
2020-01-03,110.0,360.0,180.0,325.0,475.0,325.0,190.0,128.57,325.0,201.67
2020-01-04,110.0,172.5,95.0,233.1,340.0,105.0,287.5,340.0,121.67,160.0
2020-01-05,165.0,217.5,328.64,160.0,204.09,290.0,135.0,165.0,311.67,85.0
2020-01-06,170.0,280.0,215.0,135.0,135.0,272.5,275.0,115.0,95.0,365.0
2020-01-07,115.0,400.0,316.67,233.25,270.0,150.0,95.0,200.0,333.18,220.0
2020-01-08,85.0,115.0,115.0,270.0,470.0,275.0,145.0,125.0,100.0,250.0
2020-01-09,175.0,125.0,360.0,356.67,335.0,140.0,107.5,85.0,190.0,325.0
2020-01-10,303.33,105.0,110.0,111.67,215.0,235.0,120.0,75.0,180.0,160.0
2020-01-11,135.0,275.0,305.0,125.0,240.0,155.0,290.0,293.33,223.33,270.0
2020-01-12,315.0,160.0,163.33,250.0,155.0,365.0,335.0,225.0,363.33,365.0
2020-01-13,232.5,125.0,202.5,284.0,285.0,165.0,170.0,165.0,115.0,242.5
2020-01-14,271.67,183.0,310.0,115.0,201.43,225.0,110.0,265.0,515.0,145.0
2020-01-15,475.0,400.0,300.0,365.0,190.0,305.0,125.0,175.0,175.0,290.0
2020-01-16,240.0,75.83,120.0,77.5,226.67,105.0,93.33,125.0,100.0,145.0
2020-01-17,130.95,158.75,365.0,415.0,115.0,91.67,107.5,120.0,125.0,151.25
2020-01-18,308.33,85.0,235.0,121.67,137.0,110.0,110.0,342.5,135.0,360.0
2020-01-19,165.0,201.67,135.0,170.0,171.67,125.0,135.0,425.0,138.0,85.0
2020-01-20,135.0,475.0,230.0,190.0,228.33,170.0,130.0,425.0,303.33,332.5
2020-01-21,187.27,170.0,265.0,141.67,125.0,127.5,490.0,225.0,175.0,410.0
2020-01-22,340.0,353.33,155.0,425.0,171.67,351.67,185.0,175.0,255.0,353.33
2020-01-23,85.0,275.0,390.0,130.0,253.33,115.0,190.0,363.33,133.75,120.0
2020-01-24,203.33,310.0,450.0,130.0,115.0,250.0,330.0,196.67,360.0,149.29
2020-01-25,76.67,503.33,115.0,340.0,300.0,112.5,325.0,135.0,145.0,236.67
