Date,Bandarawela,Dambulla,Kandy,Keppetipola,Meegoda,Norochchole,Nuwaraeliya,Peliyagoda,Thambuththegama,Veyangoda
2020-01-01,230.0,120.0,458.33,175.91,155.0,290.0,265.0,375.0,160.0,415.0
2020-01-02,85.0,110.0,365.0,430.0,370.0,240.0,135.0,135.0,170.0,105.0
2020-01-03,260.0,265.0,300.0,165.0,140.0,125.0,235.0,81.67,163.75,135.0
2020-01-04,275.0,265.0,335.0,267.5,290.0,95.0,125.0,100.0,460.0,363.33
2020-01-05,410.0,235.0,75.0,121.67,240.0,390.0,100.0,330.0,140.0,135.0
2020-01-06,155.0,210.0,115.0,125.0,185.0,227.5,215.0,221.67,101.67,185.0
2020-01-07,275.0,183.0,365.0,90.0,307.38,350.0,190.0,265.0,210.0,280.0
2020-01-08,190.0,100.0,315.0,75.83,120.0,210.0,195.0,188.33,435.0,390.0
2020-01-09,380.0,145.0,110.0,565.0,250.0,210.0,275.0,360.0,165.0,131.67
2020-01-10,154.09,308.33,125.0,125.0,154.05,375.0,340.0,230.0,240.0,311.67
2020-01-11,575.0,290.0,135.0,341.75,360.0,200.0,280.0,310.0,125.0,110.0
2020-01-12,265.0,260.0,270.0,221.67,128.75,115.0,540.0,130.0,410.0,129.76
2020-01-13,215.0,135.71,195.0,110.0,225.0,130.0,336.67,325.0,233.25,440.0
2020-01-14,288.33,325.0,232.0,515.0,350.0,105.0,185.0,125.0,240.48,155.0
2020-01-15,130.0,225.0,138.33,260.0,290.0,201.25,125.0,210.0,105.0,190.0
2020-01-16,110.0,116.67,320.0,285.0,400.0,175.0,140.0,105.0,210.0,131.88
2020-01-17,265.0,325.0,200.0,155.0,240.0,120.0,285.0,175.0,143.57,540.0
2020-01-18,178.33,145.0,288.33,475.0,280.0,125.0,390.0,265.0,102.5,101.67
2020-01-19,270.0,295.0,225.0,275.0,292.5,376.67,135.0,195.0,395.0,128.33
2020-01-20,225.0,200.0,45.0,255.0,275.0,335.0,110.0,140.0,140.0,100.0
2020-01-21,215.0,220.0,90.0,475.0,132.86,155.0,140.0,135.0,225.0,175.0
2020-01-22,125.0,190.0,116.67,103.33,385.0,255.0,109.0,253.33,310.0,300.0
2020-01-23,120.0,270.0,310.0,128.75,155.0,290.0,135.0,105.0,111.67,240.0
2020-01-24,90.0,156.67,223.33,310.0,135.71,238.33,135.0,120.0,132.5,130.0
2020-01-25,241.67,260.0,112.5,225.0,165.0,100.0,140.0,290.0,240.0,110.0
2020-01-26,365.0,270.0,155.0,250.0,310.0,274.17,197.5,336.67,150.0,230.0
2020-01-27,375.0,138.0,120.0,205.0,135.0,220.0,135.0,120.0,390.0,390.0
2020-01-28,90.0,95.0,270.0,225.0,100.0,128.33,180.0,250.0,190.0,113.33
2020-01-29,175.0,330.0,140.0,325.0,210.0,340.0,161.67,440.0,315.0,150.0
2020-01-30,135.0,142.62,110.0,146.67,238.33,265.0,270.0,311.67,205.0,91.0
2020-01-31,146.67,300.0,235.0,110.0,232.5,155.0,290.0,115.0,275.0,135.0
2020-02-01,280.0,145.0,262.5,170.0,95.0,440.0,235.0,102.5,317.5,180.0
2020-02-02,390.0,327.0,311.25,205.0,125.0,558.33,425.0,145.0,125.0,165.0
2020-02-03,248.0,291.67,190.0,115.0,115.0,228.33,155.0,190.0,135.0,220.83
2020-02-04,115.0,135.0,255.0,300.0,45.0,326.82,235.0,145.0,350.0,230.0
2020-02-05,360.0,335.0,130.0,325.0,218.33,125.0,161.67,365.0,265.0,135.0
2020-02-06,410.0,425.0,140.0,132.5,260.0,143.33,210.0,101.67,270.0,340.0
2020-02-07,90.0,120.0,275.0,350.0,275.0,295.0,265.0,565.0,128.75,114.17
2020-02-08,177.5,210.0,261.67,425.0,225.0,115.0,115.0,125.0,81.11,220.83
2020-02-09,160.0,230.0,237.5,155.0,380.0,257.5,290.0,143.33,95.83,410.0
2020-02-10,90.0,105.0,118.33,335.0,125.0,540.0,290.0,189.52,215.0,435.0
2020-02-11,155.0,230.0,125.0,315.0,310.0,145.0,125.0,80.0,158.0,215.0
2020-02-12,340.0,105.0,385.0,105.0,105.0,325.0,136.0,390.0,125.0,235.0
2020-02-13,435.0,265.0,225.0,165.0,275.0,288.33,120.0,142.5,120.0,125.0
2020-02-14,90.0,155.0,135.0,160.0,95.0,130.0,115.0,390.0,125.0,132.5
2020-02-15,102.5,287.5,227.5,162.5,110.0,315.0,390.0,130.0,323.75,112.5
2020-02-16,225.0,125.0,90.0,253.75,72.5,191.0,138.33,78.33,360.0,290.0
2020-02-17,155.0,120.0,195.48,115.0,240.0,125.0,110.0,105.0,210.0,366.67
2020-02-18,165.0,110.0,337.5,315.0,170.0,252.75,335.0,255.0,260.0,223.33
2020-02-19,385.0,290.0,152.5,105.95,135.0,77.5,140.0,425.0,288.12,100.0
