Date,Bandarawela,Dambulla,Kandy,Keppetipola,Meegoda,Norochchole,Nuwaraeliya,Peliyagoda,Thambuththegama,Veyangoda
2020-01-01,174.0,430.0,280.0,190.0,115.0,160.0,262.5,105.0,282.5,325.0
2020-01-02,90.0,197.5,160.0,125.0,105.0,155.0,340.0,140.0,125.0,125.0
2020-01-03,275.0,348.33,113.33,300.0,170.0,425.0,325.0,125.0,190.0,425.0
2020-01-04,170.0,95.0,190.0,138.33,125.0,200.0,127.0,310.0,300.0,240.0
2020-01-05,116.67,294.09,302.08,45.0,100.0,95.0,163.57,365.0,150.0,375.0
2020-01-06,270.0,165.0,110.0,291.67,215.0,375.0,368.33,300.0,165.0,135.0
2020-01-07,210.0,475.0,135.0,185.0,112.5,230.0,190.0,140.0,197.5,122.0
2020-01-08,307.38,205.0,360.0,100.0,85.0,138.33,105.0,390.0,118.33,201.67
2020-01-09,155.0,140.0,210.0,176.0,125.0,125.0,330.0,210.0,240.0,270.0
2020-01-10,170.0,285.0,218.75,235.0,508.33,80.0,95.0,115.0,235.0,230.0
2020-01-11,465.0,210.0,86.67,325.0,540.0,325.0,145.0,72.5,298.33,230.0
2020-01-12,590.0,259.17,95.0,325.0,215.0,260.0,170.0,260.0,365.0,192.5
2020-01-13,105.0,325.0,85.0,170.0,340.0,285.0,72.5,225.0,95.0,200.0
2020-01-14,250.0,230.0,115.0,176.67,275.0,190.0,215.0,375.0,142.5,132.5
2020-01-15,220.0,360.0,375.0,166.67,150.0,148.12,525.0,280.0,210.0,415.0
2020-01-16,220.0,138.33,135.0,531.67,262.5,140.0,95.0,415.0,196.67,130.0
2020-01-17,135.0,135.0,103.33,145.0,210.0,140.0,170.0,145.0,335.0,325.0
2020-01-18,300.0,425.0,180.0,125.0,95.0,360.0,290.0,371.0,95.0,210.0
2020-01-19,375.0,310.0,188.0,265.0,500.0,76.67,290.0,213.33,210.0,252.5
2020-01-20,410.0,316.67,228.33,125.0,118.33,263.33,141.67,151.67,197.5,82.5
2020-01-21,375.0,175.0,125.0,225.0,355.0,90.0,105.0,148.33,183.33,185.0
2020-01-22,95.0,246.67,315.0,274.17,135.0,95.0,80.0,177.0,240.0,410.0
2020-01-23,310.0,235.0,590.0,290.0,135.0,147.86,280.0,125.0,320.0,300.0
