Date,Bandarawela,Dambulla,Kandy,Keppetipola,Meegoda,Norochchole,Nuwaraeliya,Peliyagoda,Thambuththegama,Veyangoda
2020-01-01,310.0,105.0,360.0,141.67,575.0,290.0,290.0,98.81,410.0,460.0
2020-01-02,100.0,135.0,140.0,85.0,180.0,350.0,253.33,316.67,110.0,306.67
2020-01-03,103.75,218.75,125.0,196.67,302.5,375.0,215.0,160.0,90.0,185.0
2020-01-04,165.0,135.0,265.0,125.0,325.0,183.0,190.0,425.0,85.0,130.0
2020-01-05,130.0,109.0,462.5,161.67,174.0,390.0,370.0,375.0,220.0,125.0
2020-01-06,310.0,525.0,300.0,170.0,230.0,166.43,236.43,290.0,190.0,236.9
2020-01-07,210.0,337.5,223.33,110.0,315.0,115.0,90.0,365.0,125.0,290.0
2020-01-08,415.0,428.64,425.0,327.5,291.25,140.0,390.0,247.5,132.5,425.0
2020-01-09,155.0,145.0,265.0,190.0,135.0,120.0,310.0,215.0,135.0,160.0
2020-01-10,282.5,365.0,160.0,515.0,371.67,170.0,375.0,135.0,105.0,295.0
2020-01-11,246.25,125.0,170.0,141.25,195.0,165.0,262.5,124.0,100.0,210.0
2020-01-12,155.83,330.0,165.0,119.09,310.0,116.67,375.0,125.0,323.33,135.0
2020-01-13,135.0,365.0,260.0,233.33,375.0,270.0,210.0,340.0,310.0,135.0
2020-01-14,287.5,110.0,91.67,215.0,215.0,325.0,530.0,340.0,305.0,230.0
2020-01-15,111.25,172.5,230.0,121.67,185.0,125.0,285.0,180.0,260.0,340.0
2020-01-16,323.75,151.67,250.0,165.0,280.0,245.0,135.0,300.0,235.0,380.0
2020-01-17,165.71,135.0,161.67,95.0,365.0,150.0,165.0,155.0,393.33,240.0
2020-01-18,175.0,125.0,110.0,346.67,155.0,240.0,130.0,458.33,145.0,113.33
2020-01-19,138.81,145.0,165.0,142.5,325.0,260.0,285.0,213.5,210.0,190.0
2020-01-20,200.0,390.0,175.0,200.0,207.5,300.0,96.36,142.5,180.0,165.0
2020-01-21,105.0,133.33,490.0,205.0,80.0,265.0,122.38,120.0,265.0,323.33
2020-01-22,105.0,275.0,250.0,145.0,458.33,155.0,95.0,284.0,135.0,112.5
2020-01-23,210.48,348.33,210.0,415.0,132.5,125.0,270.0,130.0,327.5,225.0
2020-01-24,385.0,425.0,235.0,125.0,410.0,340.0,107.5,245.0,146.25,100.0
2020-01-25,267.5,330.0,125.0,75.0,310.0,282.5,110.0,110.0,205.0,331.67
2020-01-26,240.0,130.0,145.0,136.25,155.0,121.67,155.0,310.0,85.0,75.83
2020-01-27,158.33,208.33,275.0,200.0,273.33,45.0,307.38,340.0,290.0,170.0
2020-01-28,465.0,318.0,164.55,87.0,110.0,121.25,190.0,380.0,113.33,140.71
2020-01-29,145.0,160.0,171.67,246.25,105.0,110.0,265.0,340.0,365.0,135.0
2020-01-30,138.0,265.0,305.0,290.0,101.67,135.0,427.5,130.0,225.0,186.67
2020-01-31,115.0,110.0,125.0,327.5,145.0,410.0,412.5,150.0,280.0,340.0
2020-02-01,260.0,275.0,190.0,325.0,115.0,253.33,131.67,180.0,233.33,145.48
2020-02-02,300.83,150.0,415.0,125.0,530.0,133.33,288.12,118.33,262.62,327.5
2020-02-03,441.67,157.5,136.0,183.33,199.5,96.11,225.0,342.5,226.25,140.0
2020-02-04,225.0,125.0,165.0,275.0,350.0,120.0,233.33,195.0,120.0,308.33
2020-02-05,115.0,310.0,356.67,355.0,395.0,375.0,105.0,160.0,95.0,305.0
2020-02-06,203.33,290.0,155.71,195.0,142.22,315.0,500.0,118.33,175.0,215.0
2020-02-07,141.67,210.0,115.0,115.0,85.0,275.0,465.0,356.67,325.0,365.0
2020-02-08,145.0,175.0,105.0,365.0,150.0,222.0,145.0,100.0,146.67,325.0
2020-02-09,365.0,110.0,282.5,150.0,83.33,271.67,105.0,275.0,575.0,392.5
2020-02-10,305.0,105.0,85.0,421.67,260.0,315.0,125.0,130.0,128.33,327.0
2020-02-11,105.0,253.75,230.0,250.24,136.0,290.0,334.58,110.0,305.0,290.0
2020-02-12,172.5,190.0,256.67,240.0,370.0,475.0,160.0,185.0,120.0,100.0
2020-02-13,310.0,155.0,101.19,425.0,128.33,171.67,272.14,146.67,376.82,115.0
2020-02-14,300.0,155.0,385.0,155.0,140.0,335.0,245.0,95.0,133.33,368.33
2020-02-15,275.0,400.0,165.0,175.0,213.33,165.0,105.0,215.0,75.0,373.33
2020-02-16,130.0,210.0,496.0,210.0,308.33,130.83,325.0,155.0,375.0,200.0
2020-02-17,265.0,145.56,375.0,125.0,245.0,125.0,260.0,105.0,302.5,295.0
2020-02-18,105.0,183.33,85.0,160.0,113.0,253.33,270.0,130.0,365.0,167.5
2020-02-19,495.0,294.17,165.0,285.0,140.0,210.0,200.0,120.0,115.0,205.0
2020-02-20,115.0,145.0,255.0,575.0,143.33,421.67,306.67,190.0,365.0,125.0
2020-02-21,125.0,130.0,135.0,167.5,110.0,142.5,217.27,340.0,210.0,190.0
2020-02-22,250.0,116.67,210.0,85.0,148.33,260.0,101.0,140.0,250.0,330.0
2020-02-23,375.0,135.0,565.0,240.0,170.0,175.0,150.0,235.0,235.0,197.86
2020-02-24,290.0,227.5,375.0,130.0,375.0,142.5,110.0,135.0,325.0,292.5
2020-02-25,140.0,210.0,100.0,115.0,230.45,345.0,165.0,105.0,435.0,265.0
2020-02-26,321.0,75.0,125.0,406.25,150.0,275.0,75.0,375.0,295.0,95.0
