Date,Bandarawela,Dambulla,Kandy,Keppetipola,Meegoda,Norochchole,Nuwaraeliya,Peliyagoda,Thambuththegama,Veyangoda
2020-01-01,110.0,110.0,205.0,145.0,233.33,155.0,132.5,150.0,525.0,190.0
2020-01-02,256.88,110.0,275.0,300.0,82.5,287.5,348.33,150.0,475.0,200.0
2020-01-03,240.0,265.0,275.0,129.76,335.0,142.5,270.0,155.0,323.33,300.0
2020-01-04,240.0,158.75,170.0,159.29,315.0,130.0,93.33,363.33,155.0,290.0
2020-01-05,167.0,171.67,165.0,460.0,260.0,165.0,125.0,328.33,370.0,405.0
2020-01-06,143.33,120.0,130.0,145.0,290.0,215.0,390.0,218.75,100.0,135.0
2020-01-07,200.0,85.0,210.0,360.0,265.0,276.67,120.0,240.0,240.0,105.0
2020-01-08,550.0,210.0,315.0,255.0,187.27,245.0,118.33,125.0,469.0,115.0
2020-01-09,167.5,260.0,320.0,275.0,155.0,197.86,410.0,171.43,270.0,127.5
2020-01-10,100.0,115.0,220.0,305.0,475.0,613.33,135.0,85.0,130.0,115.0
2020-01-11,145.0,246.67,77.5,310.0,135.0,205.0,96.67,125.0,321.67,115.0
2020-01-12,125.0,161.67,425.0,102.5,157.5,136.67,340.0,145.0,190.0,105.0
2020-01-13,212.5,165.0,440.0,291.67,85.0,110.0,390.0,246.67,77.5,180.0
2020-01-14,125.0,165.0,316.19,190.0,125.0,160.0,145.0,410.0,158.33,145.0
2020-01-15,177.78,132.14,365.0,375.0,110.0,335.0,100.0,81.67,250.0,235.0
2020-01-16,290.0,365.0,290.0,575.0,255.0,315.0,115.0,145.0,390.0,90.0
2020-01-17,295.0,135.0,210.0,140.0,170.0,198.64,291.67,325.0,340.5,123.33
2020-01-18,130.45,415.0,193.33,105.0,155.0,314.55,197.5,305.0,205.0,102.5
2020-01-19,290.0,295.0,165.0,465.0,110.0,145.0,262.5,205.0,110.0,421.67
2020-01-20,135.0,260.0,280.0,121.67,375.0,425.0,250.0,335.0,175.0,335.0
