Date,Bandarawela,Dambulla,Kandy,Keppetipola,Meegoda,Norochchole,Nuwaraeliya,Peliyagoda,Thambuththegama,Veyangoda
2020-01-01,115.0,558.33,125.0,440.0,290.0,165.0,412.5,225.0,204.09,312.5
2020-01-02,85.0,145.0,240.0,352.5,155.0,230.0,210.48,263.33,314.55,550.0
2020-01-03,92.5,171.67,280.0,290.0,390.0,130.0,239.76,348.33,135.0,160.0
2020-01-04,396.67,525.0,240.0,143.75,325.0,245.0,148.18,105.0,305.0,160.0
2020-01-05,280.0,230.0,85.0,170.0,155.0,252.5,165.0,245.0,160.0,105.0
2020-01-06,310.0,125.0,239.76,118.33,355.0,290.0,120.0,305.0,302.5,185.0
2020-01-07,145.0,165.0,170.0,465.0,270.0,255.0,265.0,315.0,175.0,210.0
2020-01-08,135.0,62.5,210.0,300.0,291.25,260.0,90.0,83.33,290.0,375.0
2020-01-09,315.0,475.0,340.0,415.0,323.33,176.25,233.33,155.0,130.0,275.0
2020-01-10,328.33,340.0,260.0,245.0,173.33,185.0,321.67,438.33,296.67,125.0
2020-01-11,210.0,128.33,300.0,240.0,190.0,310.0,275.0,115.62,185.0,125.0
2020-01-12,375.0,225.0,230.0,135.0,131.67,220.0,122.38,160.0,170.0,393.33
2020-01-13,195.0,125.0,265.83,240.0,260.0,325.0,135.0,175.0,126.67,495.0
2020-01-14,190.0,138.33,135.0,140.0,255.0,260.0,160.0,120.0,150.0,375.0
2020-01-15,317.0,125.0,321.67,105.95,315.0,148.33,425.0,320.0,165.0,360.0
2020-01-16,175.0,197.86,170.0,380.62,355.0,550.0,230.0,281.67,260.0,359.55
2020-01-17,165.0,110.0,115.0,150.0,535.0,93.33,300.0,550.0,420.0,285.0
2020-01-18,135.0,300.0,365.0,181.67,160.0,118.33,240.0,142.5,140.0,215.0
2020-01-19,131.67,210.71,198.33,170.71,537.5,85.0,475.0,136.67,515.0,107.5
2020-01-20,295.0,115.0,260.0,360.0,125.0,105.0,240.0,130.0,137.73,288.33
2020-01-21,125.0,575.0,210.0,275.0,166.43,120.0,265.0,325.0,423.33,265.0
2020-01-22,200.0,185.0,285.0,305.0,250.0,410.0,281.67,375.0,155.0,375.0
2020-01-23,270.0,375.0,296.67,107.5,135.83,85.0,144.29,145.0,138.81,218.33
2020-01-24,375.0,115.0,265.0,322.5,177.62,440.0,243.64,245.0,290.0,135.0
2020-01-25,260.0,136.9,285.0,135.0,265.0,285.0,246.67,135.0,350.0,125.0
2020-01-26,461.67,135.0,390.0,315.0,300.0,175.0,145.0,135.0,240.0,275.0
2020-01-27,140.0,95.0,223.33,370.0,410.0,265.0,203.33,130.0,210.0,190.0
2020-01-28,325.0,136.9,145.0,142.5,310.0,115.0,110.0,85.0,110.0,140.0
2020-01-29,155.0,290.0,325.0,175.0,200.0,150.0,175.0,190.0,226.67,240.0
2020-01-30,130.0,425.0,85.0,250.0,155.0,114.0,590.0,65.0,300.0,259.17
2020-01-31,110.0,115.0,380.62,330.0,217.5,130.0,235.0,305.0,180.0,310.0
2020-02-01,155.0,466.0,135.0,150.0,125.0,170.0,192.5,331.0,115.0,227.5
2020-02-02,323.75,225.71,216.67,90.0,250.0,130.0,105.0,155.0,193.25,105.0
2020-02-03,276.67,202.5,250.0,165.0,435.0,322.5,190.0,345.0,245.0,135.0
2020-02-04,365.0,280.0,155.0,167.0,238.33,210.0,290.0,365.0,125.0,290.0
2020-02-05,120.0,105.0,268.33,475.0,285.0,115.0,205.0,110.0,179.0,110.0
2020-02-06,115.0,525.0,120.0,102.22,390.0,82.5,325.0,100.0,415.0,360.0
2020-02-07,285.0,238.33,110.0,365.0,145.0,221.67,143.0,210.0,125.0,170.0
2020-02-08,95.0,130.0,215.0,86.25,205.0,150.0,135.0,190.0,480.0,285.0
2020-02-09,165.0,135.0,135.0,135.0,170.0,380.0,210.0,115.0,161.67,77.5
2020-02-10,270.0,245.0,170.0,110.0,110.0,90.0,458.33,260.0,393.33,265.0
2020-02-11,201.67,125.0,110.0,480.45,325.0,85.0,121.67,425.0,141.67,210.0
2020-02-12,265.0,280.42,275.0,370.0,187.38,335.0,115.91,205.0,96.67,560.0
2020-02-13,275.0,183.0,160.0,475.0,155.0,88.33,305.0,320.0,200.0,245.0
2020-02-14,115.0,465.0,350.0,210.0,135.0,201.67,105.0,125.0,105.0,260.0
2020-02-15,110.0,475.0,315.0,465.0,360.0,360.0,145.0,100.0,190.0,275.0
2020-02-16,345.0,163.33,102.5,163.75,435.0,125.0,95.0,287.5,85.0,310.0
2020-02-17,140.0,340.0,125.0,245.0,170.0,327.5,155.0,285.0,115.0,270.0
2020-02-18,200.0,190.0,177.0,131.67,250.0,103.75,165.0,223.5,365.0,131.67
2020-02-19,260.0,138.33,415.0,205.0,475.0,475.0,270.0,188.81,130.0,103.33
2020-02-20,140.0,230.0,257.5,180.0,135.0,325.0,265.0,140.0,110.0,155.0
2020-02-21,266.67,370.0,230.0,300.0,95.0,75.0,291.67,455.0,240.0,190.0
2020-02-22,320.0,125.0,200.0,115.0,165.0,155.0,228.1,118.33,85.0,102.5
