Date,Bandarawela,Dambulla,Kandy,Keppetipola,Meegoda,Norochchole,Nuwaraeliya,Peliyagoda,Thambuththegama,Veyangoda
2020-01-01,105.0,120.0,185.0,193.89,425.0,95.0,135.0,290.0,155.0,225.0
2020-01-02,138.1,250.0,110.0,95.0,125.0,104.0,441.67,246.67,231.67,150.0
2020-01-03,325.0,290.0,321.67,275.0,105.0,135.0,125.0,170.0,255.0,300.0
2020-01-04,176.67,185.0,105.0,360.0,181.43,107.73,290.0,145.0,296.67,300.5
2020-01-05,132.78,220.83,218.81,360.0,210.0,335.0,425.0,271.67,230.0,240.0
2020-01-06,275.0,95.0,220.0,98.33,125.0,125.0,155.0,100.0,235.0,170.0
2020-01-07,401.0,410.0,355.0,115.0,535.0,285.0,101.19,125.0,135.0,257.5
2020-01-08,91.67,183.33,210.71,325.0,231.19,110.0,305.0,210.0,175.0,410.0
2020-01-09,175.0,125.0,463.18,340.0,300.5,565.0,350.0,240.0,315.0,245.0
2020-01-10,150.0,321.67,160.0,290.0,175.91,290.0,110.0,95.0,390.0,265.0
2020-01-11,228.33,95.0,200.0,325.0,88.33,160.0,365.0,155.0,175.0,160.0
2020-01-12,292.5,122.5,87.5,115.0,435.0,105.0,290.0,410.0,95.0,135.0
2020-01-13,85.0,255.0,155.0,115.0,95.0,203.0,120.56,145.0,475.0,240.0
2020-01-14,167.5,182.0,463.33,225.0,230.0,340.0,233.33,135.71,135.0,466.0
2020-01-15,340.0,290.0,130.0,305.0,343.33,477.5,292.5,125.0,85.0,135.0
2020-01-16,360.0,128.33,95.0,285.0,260.0,290.0,110.0,292.5,100.0,90.0
2020-01-17,438.33,130.0,135.0,275.0,205.0,296.67,160.0,370.0,234.5,140.0
2020-01-18,185.0,151.67,190.0,290.0,185.0,205.0,210.0,210.0,370.0,325.0
2020-01-19,532.0,160.0,376.67,505.0,110.0,275.0,81.67,129.17,152.5,175.0
2020-01-20,481.67,140.0,575.0,95.0,146.67,140.0,110.0,110.0,390.0,225.0
2020-01-21,240.0,95.0,170.0,310.0,195.0,415.0,236.67,138.33,110.0,310.0
2020-01-22,200.56,425.0,155.0,577.5,260.0,210.0,205.0,250.0,160.0,160.0
2020-01-23,200.0,155.0,131.67,240.0,280.0,130.0,185.0,190.0,120.0,210.48
2020-01-24,110.0,111.67,163.33,135.0,130.0,147.86,125.0,160.62,165.0,225.0
2020-01-25,106.67,125.0,295.0,105.0,115.0,245.0,242.5,365.0,270.0,125.0
2020-01-26,145.0,115.0,200.0,365.0,155.0,335.0,115.0,275.0,268.33,81.67
2020-01-27,95.0,125.0,115.0,340.0,285.83,250.0,125.0,120.0,95.0,215.0
2020-01-28,242.5,280.0,300.0,190.0,475.0,190.0,148.75,305.0,410.0,331.36
2020-01-29,350.0,110.0,185.0,243.33,145.0,195.71,300.0,198.33,75.0,314.55
2020-01-30,340.0,130.0,315.0,134.0,110.0,193.33,102.5,305.0,116.67,230.0
2020-01-31,225.0,151.67,160.0,499.0,190.0,360.0,125.0,95.0,145.0,270.0
2020-02-01,129.17,85.0,165.0,235.0,85.0,155.0,365.0,250.0,272.5,310.0
2020-02-02,475.0,170.0,155.0,155.0,147.5,135.0,173.33,125.0,270.0,370.0
2020-02-03,375.0,215.0,335.0,225.0,180.0,100.0,135.0,345.0,220.0,135.0
2020-02-04,335.0,160.0,155.0,98.33,243.1,190.0,132.86,120.0,285.0,130.0
2020-02-05,310.0,110.0,220.0,365.0,255.0,105.0,158.75,101.67,210.0,95.0
2020-02-06,310.45,165.0,160.0,499.0,95.0,291.67,222.5,150.0,160.0,311.67
2020-02-07,365.0,161.67,146.67,290.0,129.76,325.0,455.0,325.0,272.5,160.0
2020-02-08,300.0,275.0,121.67,386.67,170.0,144.17,275.0,290.0,350.0,360.0
2020-02-09,130.95,390.0,275.0,332.5,125.0,360.0,95.0,360.0,205.0,291.25
2020-02-10,290.0,200.0,273.33,340.0,285.0,175.0,281.67,265.0,145.0,111.67
2020-02-11,255.0,225.0,75.0,340.0,95.0,275.0,120.0,275.0,249.29,110.0
2020-02-12,325.0,315.0,182.0,400.0,149.38,135.0,310.0,110.0,155.0,466.0
2020-02-13,315.0,232.5,246.67,75.0,143.57,105.0,190.0,135.0,285.0,245.0
2020-02-14,265.0,175.0,105.0,375.0,310.0,270.0,220.0,135.0,145.0,101.67
2020-02-15,183.33,165.0,190.0,231.67,338.33,180.0,200.0,490.0,65.0,257.5
2020-02-16,110.0,307.5,475.0,365.0,150.0,330.0,175.0,90.0,375.0,323.33
2020-02-17,275.0,118.33,315.0,300.0,175.0,225.0,371.67,175.91,119.09,140.0
2020-02-18,425.0,375.0,272.5,233.33,325.0,300.0,131.67,370.0,240.0,325.0
2020-02-19,408.12,385.0,140.71,190.0,265.0,425.0,145.0,225.0,135.0,105.0
2020-02-20,130.0,330.0,360.0,320.0,290.0,100.0,125.0,302.5,262.5,83.0
2020-02-21,138.33,120.0,132.5,100.0,275.0,325.0,265.0,125.0,425.0,75.0
2020-02-22,95.0,250.0,146.43,230.0,91.67,201.67,130.0,300.0,135.0,377.5
2020-02-23,323.0,335.0,115.62,105.0,100.0,155.0,377.5,230.0,363.33,250.0
2020-02-24,91.67,575.0,315.0,165.0,170.0,165.0,148.33,228.33,310.0,327.5
2020-02-25,230.0,120.0,102.5,80.0,100.0,90.0,291.25,170.0,327.5,240.0
2020-02-26,402.5,280.0,242.86,144.52,334.05,146.67,380.0,290.0,105.0,115.0
2020-02-27,141.67,110.0,310.0,125.0,365.0,111.25,98.33,135.83,195.0,301.67
