Date,Kandy,Dambulla,Buy Rate
2020-01-01,310.0,315.0,181.5
2020-01-02,274.17,279.17,181.03
2020-01-03,238.33,243.33,181.37
2020-01-04,202.5,207.5,181.35
2020-01-05,166.67,171.67,181.34
2020-01-06,130.83,135.83,181.32
2020-01-07,95.0,100.0,181.45
2020-01-08,126.67,121.67,181.31
2020-01-09,158.33,143.33,181.42
2020-01-10,190.0,165.0,181.42
2020-01-11,207.5,170.0,181.41
2020-01-12,225.0,175.0,181.41
2020-01-13,255.0,260.0,181.41
2020-01-14,255.0,260.0,181.3
2020-01-15,245.0,262.5,181.41
2020-01-16,235.0,265.0,181.53
2020-01-17,310.0,255.0,181.38
2020-01-18,286.67,255.0,181.36
2020-01-19,263.33,255.0,181.33
2020-01-20,240.0,255.0,181.31
2020-01-21,245.0,190.0,181.34
2020-01-22,210.0,185.0,181.33
2020-01-23,190.0,172.5,181.47
2020-01-24,210.0,210.0,181.42
2020-01-25,226.67,225.0,181.42
2020-01-26,243.33,240.0,181.43
2020-01-27,260.0,255.0,181.44
2020-01-28,290.0,300.0,181.53
2020-01-29,290.0,310.0,181.53
2020-01-30,290.0,285.0,181.5
2020-01-31,310.0,275.0,181.59
2020-02-01,340.0,315.0,181.52
2020-02-02,247.5,212.5,181.46
2020-02-03,155.0,110.0,181.4
2020-02-04,140.0,107.5,181.44
2020-02-05,125.0,105.0,181.48
2020-02-06,110.0,102.5,181.4
2020-02-07,95.0,100.0,181.34
2020-02-08,140.0,132.5,181.35
2020-02-09,185.0,165.0,181.36
2020-02-10,190.0,165.0,181.37
2020-02-11,95.0,85.0,181.42
2020-02-12,210.0,235.0,181.42
2020-02-13,185.0,200.0,181.45
2020-02-14,160.0,165.0,181.46
2020-02-15,158.33,148.33,181.46
2020-02-16,156.67,131.67,181.47
2020-02-17,155.0,115.0,181.48
2020-02-18,155.0,135.0,181.53
2020-02-19,155.0,150.0,181.62
2020-02-20,155.0,155.0,181.9
2020-02-21,152.5,148.75,181.88
