Date,Kandy,Dambulla,Buy Rate
2020-01-01,75.0,305.0,179.48
2020-01-02,75.0,265.0,179.24
2020-01-03,75.0,225.0,179.31
2020-01-04,75.0,185.0,179.33
2020-01-05,75.0,145.0,179.35
2020-01-06,75.0,105.0,179.37
2020-01-07,75.0,65.0,179.38
2020-01-08,68.33,60.0,179.37
2020-01-09,61.67,55.0,179.68
2020-01-10,123.75,121.25,179.62
2020-01-11,185.83,187.5,179.55
2020-01-12,247.92,253.75,179.48
2020-01-13,310.0,320.0,179.41
2020-01-14,305.0,280.0,179.56
2020-01-15,307.5,287.5,179.58
2020-01-16,310.0,295.0,179.59
2020-01-17,325.0,305.0,179.37
2020-01-18,315.0,300.0,179.37
2020-01-19,305.0,295.0,179.37
2020-01-20,295.0,290.0,179.37
2020-01-21,285.0,290.0,179.39
2020-01-22,285.0,285.0,179.51
2020-01-23,295.0,295.0,179.56
2020-01-24,210.0,252.5,179.61
2020-01-25,203.33,235.0,179.62
2020-01-26,196.67,217.5,179.63
2020-01-27,190.0,200.0,179.65
2020-01-28,195.0,195.0,179.68
2020-01-29,210.0,315.0,179.67
2020-01-30,240.0,260.0,179.64
2020-01-31,255.0,200.0,179.64
2020-02-01,208.33,168.33,179.62
2020-02-02,161.67,136.67,179.6
2020-02-03,115.0,105.0,179.58
2020-02-04,107.5,96.88,179.59
2020-02-05,100.0,88.75,179.6
2020-02-06,92.5,80.62,179.55
2020-02-07,85.0,72.5,179.53
2020-02-08,75.0,65.0,179.54
2020-02-09,65.0,57.5,179.55
2020-02-10,55.0,50.0,179.56
2020-02-11,37.5,22.5,179.54
2020-02-12,47.5,55.0,179.56
2020-02-13,118.75,132.5,179.58
2020-02-14,190.0,210.0,179.57
2020-02-15,190.0,191.67,179.58
2020-02-16,190.0,173.33,179.59
2020-02-17,190.0,155.0,179.6
2020-02-18,170.0,155.0,179.66
2020-02-19,150.0,165.0,179.73
2020-02-20,155.0,150.0,180.02
2020-02-21,152.5,145.0,179.95
2020-02-22,150.0,140.0,179.88
2020-02-23,147.5,135.0,179.81
2020-02-24,145.0,130.0,179.74
2020-02-25,145.0,130.0,179.83
2020-02-26,145.0,140.0,179.82
2020-02-27,135.0,120.0,179.83
2020-02-28,125.0,130.0,179.97
2020-02-29,168.33,158.33,179.98
2020-03-01,211.67,186.67,179.99
2020-03-02,255.0,215.0,180.01
2020-03-03,115.0,105.0,180.16
2020-03-04,107.5,96.88,180.21
2020-03-05,100.0,88.75,180.18
2020-03-06,92.5,80.62,180.02
2020-03-07,82.81,77.34,180.04
2020-03-08,73.12,74.06,180.06
2020-03-09,63.44,70.78,180.08
2020-03-10,53.75,67.5,180.1
2020-03-11,52.5,80.0,180.65
2020-03-12,40.0,30.0,180.68
2020-03-13,125.0,130.0,181.21
2020-03-14,125.0,128.93,181.56
2020-03-15,125.0,127.86,181.9
2020-03-16,125.0,126.79,182.24
2020-03-17,125.0,125.71,182.58
2020-03-18,125.0,124.64,183.15
2020-03-19,125.0,123.57,184.12
2020-03-20,125.0,122.5,185.38
2020-03-21,125.0,121.43,185.52
2020-03-22,125.0,120.36,185.66
2020-03-23,125.0,119.29,185.8
2020-03-24,125.0,118.21,185.94
2020-03-25,125.0,117.14,186.32
2020-03-26,125.0,116.07,186.71
2020-03-27,125.0,115.0,187.1
2020-03-28,125.0,113.93,187.21
2020-03-29,125.0,112.86,187.31
2020-03-30,125.0,111.79,187.41
2020-03-31,125.0,110.71,187.36
2020-04-01,125.0,109.64,187.56
2020-04-02,125.0,108.57,187.71
2020-04-03,125.0,107.5,188.56
2020-04-04,111.0,97.5,190.16
2020-04-05,97.0,87.5,191.76
2020-04-06,83.0,77.5,193.36
