Date,Kandy_Beans,Dambulla_Beans,Exchange Rate_Beans,Kandy_Carrot,Dambulla_Carrot,Exchange Rate_Carrot,Kandy_Leaks,Dambulla_Leaks,Buy Rate_Leaks
2023-01-01,613.33,525.0,363.11,138.33,130.0,363.11,206.67,203.33,360.41
2023-01-02,645.0,550.0,363.11,95.0,95.0,363.11,155.0,165.0,360.41
2023-01-03,635.0,575.0,363.11,105.0,100.0,363.11,175.0,160.0,360.22
2023-01-04,525.0,565.0,363.11,183.33,168.33,363.11,198.33,193.33,359.97
2023-01-05,500.0,525.0,363.11,261.67,236.67,363.11,221.67,226.67,359.97
2023-01-06,430.0,462.5,363.11,340.0,305.0,363.11,187.5,193.75,359.97
2023-01-07,360.0,400.0,363.1,313.33,290.0,363.1,153.33,160.83,359.96
2023-01-08,290.0,337.5,363.1,286.67,275.0,363.1,119.17,127.92,359.95
2023-01-09,220.0,275.0,363.09,260.0,260.0,363.09,85.0,95.0,359.95
2023-01-10,325.0,315.0,362.24,255.0,250.0,362.24,97.5,102.5,360.06
2023-01-11,425.0,325.0,362.24,250.0,240.0,362.24,110.0,110.0,360.47
2023-01-12,515.0,400.0,362.24,300.0,270.0,362.24,210.0,200.0,360.39
2023-01-13,495.0,406.25,362.24,268.75,230.0,362.24,225.0,200.0,360.4
2023-01-14,475.0,412.5,362.24,237.5,190.0,362.24,232.5,205.0,360.4
2023-01-15,455.0,418.75,362.24,206.25,150.0,362.24,240.0,210.0,360.4
2023-01-16,435.0,425.0,362.24,175.0,110.0,362.24,247.5,215.0,360.41
2023-01-17,375.0,375.0,362.24,155.0,135.0,362.24,255.0,220.0,360.41
2023-01-18,275.0,290.0,362.24,150.0,160.0,362.24,235.0,315.0,360.41
2023-01-19,275.0,275.0,362.27,150.0,120.0,362.27,235.0,210.0,360.56
2023-01-20,275.0,275.0,362.17,110.0,115.0,362.17,215.0,215.0,360.55
2023-01-21,308.33,311.67,362.17,111.67,115.0,362.17,223.33,210.0,360.55
2023-01-22,341.67,348.33,362.16,113.33,115.0,362.16,231.67,205.0,360.55
2023-01-23,375.0,385.0,362.16,115.0,115.0,362.16,240.0,200.0,360.55
2023-01-24,410.0,275.0,362.16,115.0,115.0,362.16,235.0,185.0,360.49
2023-01-25,375.0,270.0,362.16,140.0,115.0,362.16,225.0,195.0,360.49
2023-01-26,360.0,335.0,362.14,130.0,130.0,362.14,230.0,225.0,360.49
2023-01-27,375.0,405.0,362.14,110.0,115.0,362.14,210.0,200.0,360.49
2023-01-28,395.0,390.0,362.14,106.67,111.67,362.14,200.0,181.67,360.48
2023-01-29,415.0,375.0,362.14,103.33,108.33,362.14,190.0,163.33,360.46
2023-01-30,435.0,360.0,362.14,100.0,105.0,362.14,180.0,145.0,360.45
2023-01-31,405.0,350.0,362.14,167.5,152.5,362.14,235.0,230.0,360.49
2023-02-01,375.0,340.0,362.14,235.0,200.0,362.14,290.0,315.0,360.49
2023-02-02,375.0,300.0,362.14,110.0,115.0,362.14,180.0,165.0,360.41
2023-02-03,390.0,340.0,361.97,110.0,105.0,361.97,185.0,150.0,360.29
2023-02-04,390.0,348.33,361.97,120.0,120.0,361.97,215.0,186.67,360.19
2023-02-05,390.0,356.67,361.96,130.0,135.0,361.96,245.0,223.33,360.09
2023-02-06,390.0,365.0,361.96,325.0,305.0,361.96,275.0,260.0,360.0
2023-02-07,375.0,325.0,361.96,380.0,365.0,361.96,195.0,197.5,360.09
2023-02-08,365.0,325.0,361.96,435.0,425.0,361.96,115.0,135.0,359.48
2023-02-09,390.0,355.0,361.92,325.0,315.0,361.92,95.0,108.75,359.4
2023-02-10,390.0,425.0,361.92,215.0,205.0,361.92,75.0,82.5,359.07
2023-02-11,240.0,325.0,361.92,250.0,260.0,361.92,113.33,108.33,359.21
2023-02-12,302.5,355.0,361.92,180.0,182.5,361.92,151.67,134.17,359.34
2023-02-13,365.0,385.0,361.92,110.0,105.0,361.92,190.0,160.0,359.47
2023-02-14,375.0,365.0,361.92,105.0,105.0,361.92,170.0,200.0,359.65
2023-02-15,325.0,375.0,361.92,110.0,110.0,361.92,185.0,180.0,359.61
2023-02-16,350.0,375.0,361.92,110.0,110.0,361.92,195.0,180.0,359.58
2023-02-17,365.0,375.0,361.92,140.0,130.0,361.92,190.0,190.0,359.48
2023-02-18,348.33,348.33,361.92,143.33,128.33,361.92,183.33,190.0,359.47
2023-02-19,331.67,321.67,361.92,146.67,126.67,361.92,176.67,190.0,359.46
2023-02-20,315.0,295.0,361.92,150.0,125.0,361.92,170.0,190.0,359.45
2023-02-21,290.0,325.0,361.92,120.0,140.0,361.92,170.0,195.0,359.97
2023-02-22,240.0,200.0,361.66,130.0,120.0,361.66,165.0,185.0,359.36
2023-02-23,190.0,225.0,361.66,110.0,110.0,361.66,160.0,180.0,359.01
2023-02-24,210.0,230.0,362.67,100.0,105.0,362.67,160.0,180.0,358.72
