Date,Bandarawela,Dambulla,Kandy,Keppetipola,Meegoda,Norochchole,Nuwaraeliya,Peliyagoda,Thambuththegama,Veyangoda
2020-01-01,327.5,110.0,125.0,123.33,85.0,125.0,200.0,155.0,155.0,390.0
2020-01-02,290.0,157.5,230.0,340.0,335.0,254.52,223.33,323.75,290.0,140.0
2020-01-03,270.0,135.0,121.67,225.0,335.0,215.0,110.0,305.0,100.0,390.0
2020-01-04,130.0,235.0,257.5,225.0,348.33,255.0,330.0,285.0,110.0,225.0
2020-01-05,140.0,120.0,215.0,255.0,115.0,315.0,100.0,115.0,279.17,125.0
2020-01-06,203.33,173.33,360.0,325.0,115.0,340.0,190.0,475.0,365.0,390.0
2020-01-07,154.38,160.0,233.33,210.0,86.67,95.0,190.0,355.0,320.0,145.0
2020-01-08,390.0,160.0,95.0,275.75,140.0,255.0,205.0,160.0,75.83,165.0
2020-01-09,275.0,100.0,83.33,330.0,315.0,222.5,130.0,210.0,138.33,368.33
2020-01-10,218.0,226.67,135.0,305.0,273.33,141.36,365.0,96.67,240.0,323.0
2020-01-11,175.0,165.0,238.33,145.0,325.0,150.0,255.0,100.0,150.0,165.0
2020-01-12,270.0,325.0,348.33,240.0,270.0,135.0,200.0,310.0,110.0,86.67
2020-01-13,325.0,165.0,147.86,115.0,440.0,155.0,278.57,275.0,80.0,177.62
2020-01-14,270.0,149.0,350.0,342.5,231.19,125.0,120.0,277.5,125.0,77.5
2020-01-15,165.0,200.0,128.33,64.44,245.0,117.5,190.0,138.81,165.0,221.67
2020-01-16,115.0,265.0,140.0,316.67,325.0,280.0,177.0,121.25,105.0,210.48
2020-01-17,255.0,95.0,285.0,115.0,140.0,325.0,252.5,195.0,153.81,77.5
2020-01-18,290.0,110.0,135.0,85.0,190.0,398.33,355.0,145.0,155.0,255.0
2020-01-19,440.0,307.5,124.0,280.0,360.0,96.11,167.5,370.0,202.5,239.76
2020-01-20,178.0,155.0,155.0,167.5,285.0,105.0,150.0,300.0,130.0,62.5
2020-01-21,129.0,280.0,328.33,138.33,367.5,355.0,95.0,380.0,252.5,153.33
2020-01-22,248.33,210.0,155.0,430.0,362.5,250.24,210.0,396.67,190.0,242.5
