Date,Bandarawela,Dambulla,Kandy,Keppetipola,Meegoda,Norochchole,Nuwaraeliya,Peliyagoda,Thambuththegama,Veyangoda
2020-01-01,135.0,276.67,365.0,223.33,125.0,138.33,233.33,448.33,266.43,425.0
2020-01-02,325.0,106.25,375.0,310.0,136.67,195.0,365.0,140.0,240.0,130.0
2020-01-03,214.29,165.0,198.64,195.0,330.0,390.0,365.0,150.0,346.67,147.5
2020-01-04,310.0,310.0,135.0,150.0,575.0,210.0,220.0,182.0,162.5,225.0
2020-01-05,135.0,321.0,315.0,95.0,465.0,264.29,260.0,125.0,95.0,175.0
2020-01-06,235.0,197.5,102.5,285.0,340.0,240.0,210.0,170.0,315.0,145.0
2020-01-07,125.0,125.0,145.0,205.0,75.0,260.0,135.0,415.0,335.0,252.5
2020-01-08,191.67,290.0,151.67,260.0,240.0,310.0,170.0,240.0,300.0,45.0
2020-01-09,79.76,248.33,190.0,475.0,286.67,110.0,77.5,270.0,115.0,126.67
2020-01-10,119.09,585.0,140.0,155.0,280.0,88.33,147.62,175.0,132.5,115.0
2020-01-11,262.5,145.0,260.0,240.0,375.0,130.0,75.0,368.33,322.5,120.0
2020-01-12,128.33,145.0,325.0,85.0,351.67,390.0,175.0,130.0,95.0,310.0
2020-01-13,175.0,500.0,170.0,135.0,275.0,145.0,282.5,255.0,213.33,265.83
2020-01-14,190.0,165.0,170.0,330.0,365.0,325.0,210.0,357.5,105.0,267.5
2020-01-15,171.67,150.0,115.0,125.0,231.67,140.0,110.0,120.0,131.67,240.0
2020-01-16,315.0,252.75,125.0,95.0,145.0,125.0,340.0,325.0,131.67,390.0
2020-01-17,265.0,240.0,205.0,291.67,102.5,330.0,160.0,308.33,275.0,125.0
2020-01-18,271.67,280.0,125.0,143.75,100.0,290.0,160.0,240.0,190.0,125.0
2020-01-19,138.33,190.0,195.0,205.0,290.0,165.0,95.0,170.0,130.0,180.0
2020-01-20,335.0,225.0,255.0,129.0,275.0,165.0,145.0,305.0,290.0,132.5
2020-01-21,85.0,131.67,65.0,205.0,290.0,365.0,105.0,140.0,225.0,400.0
2020-01-22,135.0,445.0,292.5,153.18,130.0,130.0,195.0,368.33,240.0,165.0
2020-01-23,88.33,375.0,110.0,390.0,105.0,190.0,130.0,110.0,335.0,135.0
2020-01-24,163.33,85.0,275.0,210.0,145.0,305.0,390.0,265.0,430.0,85.0
2020-01-25,248.33,135.0,125.0,282.5,78.33,110.0,203.0,240.0,110.0,167.5
2020-01-26,125.0,305.0,460.0,80.0,95.0,132.5,230.0,316.67,160.0,90.0
2020-01-27,135.0,81.67,110.0,345.0,111.67,230.0,210.0,235.0,202.5,321.0
2020-01-28,135.0,223.33,170.0,245.0,135.0,190.0,390.0,206.67,225.0,105.0
2020-01-29,152.5,250.0,273.33,143.0,322.0,240.0,350.0,375.0,270.0,231.19
2020-01-30,95.0,266.67,110.0,102.5,185.0,415.0,368.33,310.0,270.0,140.0
2020-01-31,85.0,330.45,113.0,280.0,289.76,221.67,190.0,178.0,85.0,105.0
2020-02-01,393.33,135.0,116.67,390.0,115.0,130.0,385.0,210.0,145.0,306.67
2020-02-02,340.0,172.5,140.48,116.67,275.0,272.5,155.0,335.0,360.0,122.5
2020-02-03,95.0,85.0,290.0,335.0,120.0,142.86,215.0,185.0,95.0,85.0
2020-02-04,142.5,190.0,230.0,115.0,160.0,135.0,140.0,234.5,105.0,145.0
2020-02-05,95.0,210.0,314.55,107.5,115.0,126.67,365.0,92.5,250.0,240.48
2020-02-06,280.0,130.95,290.0,340.0,125.0,207.5,125.0,435.0,200.0,113.1
2020-02-07,105.0,171.25,90.0,335.0,120.0,160.0,195.0,125.0,180.0,450.0
2020-02-08,430.0,315.0,135.0,210.0,125.0,125.0,175.0,250.0,350.0,130.0
