Date,Kandy,Dambulla,Buy Rate
2020-01-01,145.0,110.0,179.48
2020-01-02,145.0,108.33,179.24
2020-01-03,145.0,106.67,179.31
2020-01-04,145.0,105.0,179.33
2020-01-05,145.0,103.33,179.35
2020-01-06,145.0,101.67,179.37
2020-01-07,145.0,100.0,179.38
2020-01-08,135.0,101.67,179.37
2020-01-09,125.0,103.33,179.68
2020-01-10,167.5,142.5,179.62
2020-01-11,210.0,181.67,179.55
2020-01-12,252.5,220.83,179.48
2020-01-13,295.0,260.0,179.41
2020-01-14,310.0,275.0,179.56
2020-01-15,282.5,290.0,179.58
2020-01-16,255.0,305.0,179.59
2020-01-17,290.0,295.0,179.37
2020-01-18,303.33,301.67,179.37
2020-01-19,316.67,308.33,179.37
2020-01-20,330.0,315.0,179.37
2020-01-21,345.0,320.0,179.39
2020-01-22,310.0,335.0,179.51
2020-01-23,290.0,285.0,179.56
2020-01-24,355.0,310.0,179.61
2020-01-25,361.67,320.0,179.62
2020-01-26,368.33,330.0,179.63
2020-01-27,375.0,340.0,179.65
2020-01-28,370.0,345.0,179.68
2020-01-29,370.0,340.0,179.67
2020-01-30,390.0,360.0,179.64
2020-01-31,390.0,355.0,179.64
2020-02-01,308.33,278.33,179.62
2020-02-02,226.67,201.67,179.6
2020-02-03,145.0,125.0,179.58
2020-02-04,137.5,120.0,179.59
2020-02-05,130.0,115.0,179.6
2020-02-06,122.5,110.0,179.55
2020-02-07,115.0,105.0,179.53
2020-02-08,115.0,105.0,179.54
2020-02-09,115.0,105.0,179.55
2020-02-10,115.0,105.0,179.56
2020-02-11,45.0,32.5,179.54
2020-02-12,45.0,37.5,179.56
2020-02-13,152.5,143.75,179.58
2020-02-14,260.0,250.0,179.57
2020-02-15,250.0,241.67,179.58
2020-02-16,240.0,233.33,179.59
2020-02-17,230.0,225.0,179.6
2020-02-18,190.0,145.0,179.66
2020-02-19,145.0,90.0,179.73
2020-02-20,115.0,85.0,180.02
2020-02-21,122.5,96.25,179.95
2020-02-22,130.0,107.5,179.88
2020-02-23,137.5,118.75,179.81
2020-02-24,145.0,130.0,179.74
2020-02-25,125.0,125.0,179.83
2020-02-26,145.0,115.0,179.82
2020-02-27,115.0,115.0,179.83
2020-02-28,125.0,125.0,179.97
2020-02-29,198.33,195.0,179.98
2020-03-01,271.67,265.0,179.99
2020-03-02,345.0,335.0,180.01
2020-03-03,125.0,115.0,180.16
2020-03-04,120.0,110.0,180.21
2020-03-05,115.0,105.0,180.18
2020-03-06,110.0,100.0,180.02
2020-03-07,99.06,90.0,180.04
2020-03-08,88.12,80.0,180.06
2020-03-09,77.19,70.0,180.08
2020-03-10,66.25,60.0,180.1
2020-03-11,37.5,40.0,180.65
2020-03-12,40.0,35.0,180.68
2020-03-13,85.0,55.0,181.21
2020-03-14,86.9,57.38,181.56
2020-03-15,88.81,59.76,181.9
2020-03-16,90.71,62.14,182.24
2020-03-17,92.62,64.52,182.58
2020-03-18,94.52,66.9,183.15
2020-03-19,96.43,69.29,184.12
2020-03-20,98.33,71.67,185.38
2020-03-21,100.24,74.05,185.52
2020-03-22,102.14,76.43,185.66
2020-03-23,104.05,78.81,185.8
2020-03-24,105.95,81.19,185.94
2020-03-25,107.86,83.57,186.32
2020-03-26,109.76,85.95,186.71
2020-03-27,111.67,88.33,187.1
2020-03-28,113.57,90.71,187.21
2020-03-29,115.48,93.1,187.31
2020-03-30,117.38,95.48,187.41
2020-03-31,119.29,97.86,187.36
2020-04-01,121.19,100.24,187.56
2020-04-02,123.1,102.62,187.71
2020-04-03,125.0,105.0,188.56
2020-04-04,107.5,90.2,190.16
2020-04-05,90.0,75.4,191.76
2020-04-06,72.5,60.6,193.36
2020-04-07,55.0,45.8,193.66
2020-04-08,37.5,31.0,193.96
2020-04-09,105.0,90.0,194.2
2020-04-10,103.79,87.19,193.25
2020-04-11,102.58,84.38,192.31
2020-04-12,101.38,81.56,191.36
2020-04-13,100.17,78.75,190.41
2020-04-14,98.96,75.94,189.46
2020-04-15,97.75,73.12,188.51
2020-04-16,112.0,85.0,189.34
2020-04-17,126.25,96.88,188.47
2020-04-18,140.5,108.75,188.85
2020-04-19,154.75,120.62,189.24
2020-04-20,169.0,132.5,189.63
2020-04-21,183.25,144.38,190.19
2020-04-22,197.5,156.25,190.78
2020-04-23,211.75,168.12,191.7
2020-04-24,226.0,180.0,190.7
2020-04-25,240.25,191.88,190.36
2020-04-26,254.5,203.75,190.03
2020-04-27,268.75,215.62,189.69
2020-04-28,283.0,227.5,190.45
2020-04-29,297.25,239.38,189.81
2020-04-30,311.5,251.25,190.42
2020-05-01,263.09,213.62,189.91
2020-05-02,214.68,175.98,189.4
2020-05-03,166.27,138.35,188.89
2020-05-04,117.86,100.71,188.38
2020-05-05,120.71,101.43,185.81
2020-05-06,123.57,102.14,186.54
2020-05-07,109.86,94.71,186.1
2020-05-08,96.14,87.29,185.67
2020-05-09,82.43,79.86,185.23
2020-05-10,68.71,72.43,184.8
2020-05-11,55.0,65.0,184.36
2020-05-12,60.24,69.29,184.63
2020-05-13,65.48,73.57,184.54
2020-05-14,70.71,77.86,185.14
2020-05-15,75.95,82.14,184.89
2020-05-16,81.19,86.43,184.84
2020-05-17,86.43,90.71,184.79
2020-05-18,91.67,95.0,184.74
2020-05-19,96.9,99.29,184.63
2020-05-20,102.14,103.57,184.5
2020-05-21,107.38,107.86,184.15
2020-05-22,112.62,112.14,183.81
2020-05-23,117.86,116.43,183.65
2020-05-24,123.1,120.71,183.48
2020-05-25,128.33,125.0,183.32
2020-05-26,133.57,129.29,183.16
2020-05-27,138.81,133.57,183.3
2020-05-28,144.05,137.86,183.51
2020-05-29,149.29,142.14,183.52
2020-05-30,154.52,146.43,183.52
2020-05-31,159.76,150.71,183.51
2020-06-01,165.0,155.0,183.51
2020-06-02,125.0,125.0,183.42
2020-06-03,85.0,95.0,183.37
2020-06-04,90.0,91.25,183.27
2020-06-05,93.75,79.69,183.17
2020-06-06,97.5,68.12,183.06
2020-06-07,101.25,56.56,182.96
2020-06-08,105.0,45.0,182.86
2020-06-09,120.0,75.0,182.6
2020-06-10,135.0,105.0,182.5
2020-06-11,75.0,65.0,182.55
2020-06-12,95.0,85.0,182.64
2020-06-13,115.0,105.0,182.67
2020-06-14,135.0,125.0,182.71
2020-06-15,155.0,145.0,182.74
2020-06-16,145.0,145.0,183.32
2020-06-17,145.0,145.0,183.61
2020-06-18,145.0,150.0,184.02
2020-06-19,165.0,145.0,184.08
2020-06-20,161.67,145.0,184.12
2020-06-21,158.33,145.0,184.16
2020-06-22,155.0,145.0,184.2
2020-06-23,165.0,150.0,184.12
2020-06-24,145.0,150.0,184.1
2020-06-25,135.0,147.5,184.13
2020-06-26,145.0,145.0,183.76
2020-06-27,151.67,141.67,183.77
2020-06-28,158.33,138.33,183.77
2020-06-29,165.0,135.0,183.78
2020-06-30,145.0,105.0,183.81
2020-07-01,175.0,180.0,183.79
2020-07-02,158.33,161.67,183.71
2020-07-03,141.67,143.33,183.68
2020-07-04,125.0,125.0,183.65
2020-07-05,108.33,106.67,183.61
2020-07-06,91.67,88.33,183.58
2020-07-07,75.0,70.0,183.53
2020-07-08,42.5,30.0,183.55
2020-07-09,105.0,110.0,183.48
2020-07-10,125.0,127.5,183.5
2020-07-11,115.0,110.0,183.5
2020-07-12,105.0,92.5,183.5
2020-07-13,95.0,75.0,183.5
2020-07-14,85.0,72.5,183.52
2020-07-15,65.0,60.0,183.53
2020-07-16,65.0,50.0,183.54
2020-07-17,65.0,45.0,183.49
2020-07-18,58.33,40.0,183.49
2020-07-19,51.67,35.0,183.48
2020-07-20,45.0,30.0,183.48
2020-07-21,45.0,32.5,183.53
2020-07-22,45.0,27.5,183.54
2020-07-23,40.0,25.0,183.54
2020-07-24,30.0,27.5,183.52
2020-07-25,31.67,27.5,183.52
2020-07-26,33.33,27.5,183.52
2020-07-27,35.0,27.5,183.52
2020-07-28,30.0,20.0,183.51
2020-07-29,27.5,30.0,183.5
2020-07-30,37.5,42.5,183.45
2020-07-31,37.5,37.5,183.36
2020-08-01,60.62,57.5,183.36
2020-08-02,83.75,77.5,183.37
2020-08-03,106.88,97.5,183.38
2020-08-04,130.0,117.5,183.38
2020-08-05,115.0,98.33,183.26
2020-08-06,100.0,79.17,183.23
2020-08-07,85.0,60.0,183.13
2020-08-08,101.67,73.33,183.08
2020-08-09,118.33,86.67,183.03
2020-08-10,135.0,100.0,182.98
2020-08-11,90.0,68.75,182.36
2020-08-12,45.0,37.5,181.84
2020-08-13,45.0,35.0,180.84
2020-08-14,45.0,45.0,180.77
2020-08-15,43.33,45.0,180.86
2020-08-16,41.67,45.0,180.96
2020-08-17,40.0,45.0,181.05
2020-08-18,55.0,42.5,181.49
2020-08-19,45.0,45.0,182.14
2020-08-20,55.0,42.5,183.68
2020-08-21,45.0,45.0,182.39
2020-08-22,48.33,51.67,182.37
2020-08-23,51.67,58.33,182.34
2020-08-24,55.0,65.0,182.32
2020-08-25,65.0,62.5,182.65
2020-08-26,55.0,62.5,184.23
2020-08-27,55.0,55.0,184.08
2020-08-28,65.0,60.0,183.78
2020-08-29,96.25,91.25,183.88
2020-08-30,127.5,122.5,183.99
2020-08-31,158.75,153.75,184.09
2020-09-01,164.79,158.75,183.96
2020-09-02,170.83,163.75,183.83
2020-09-03,151.67,142.5,183.07
2020-09-04,132.5,121.25,183.04
2020-09-05,113.33,100.0,183.03
2020-09-06,94.17,78.75,183.01
2020-09-07,75.0,57.5,183.0
2020-09-08,90.0,83.75,182.44
2020-09-09,105.0,110.0,182.1
2020-09-10,125.0,97.5,182.16
2020-09-11,75.0,32.5,182.42
2020-09-12,91.67,65.0,182.35
2020-09-13,108.33,97.5,182.28
2020-09-14,125.0,130.0,182.21
2020-09-15,165.0,140.0,182.14
2020-09-16,155.0,140.0,182.21
2020-09-17,145.0,145.0,182.72
2020-09-18,145.0,135.0,182.82
2020-09-19,145.0,134.17,182.95
2020-09-20,145.0,133.33,183.09
2020-09-21,145.0,132.5,183.22
2020-09-22,155.0,130.0,183.18
2020-09-23,145.0,127.5,182.97
2020-09-24,115.0,105.0,182.83
2020-09-25,110.0,105.0,182.94
2020-09-26,118.33,103.33,182.99
2020-09-27,126.67,101.67,183.03
2020-09-28,135.0,100.0,183.08
2020-09-29,145.0,110.0,183.18
2020-09-30,125.0,110.0,183.0
2020-10-01,108.33,94.17,182.94
2020-10-02,91.67,78.33,182.89
2020-10-03,86.11,73.89,182.74
2020-10-04,80.56,69.44,182.58
2020-10-05,75.0,65.0,182.43
2020-10-06,75.0,66.25,182.51
2020-10-07,75.0,67.5,182.43
2020-10-08,32.5,17.5,182.17
2020-10-09,115.0,112.5,182.02
2020-10-10,105.0,97.08,182.02
2020-10-11,95.0,81.67,182.03
2020-10-12,85.0,66.25,182.03
2020-10-13,85.0,80.0,182.03
2020-10-14,75.0,72.5,182.14
2020-10-15,55.0,50.0,182.58
2020-10-16,55.0,52.5,182.38
2020-10-17,58.33,53.33,182.29
2020-10-18,61.67,54.17,182.19
2020-10-19,65.0,55.0,182.1
2020-10-20,65.0,55.0,182.16
2020-10-21,55.0,55.0,182.34
2020-10-22,45.0,42.5,182.14
2020-10-23,42.5,42.5,182.19
2020-10-24,43.33,50.0,182.16
2020-10-25,44.17,57.5,182.13
2020-10-26,45.0,65.0,182.1
2020-10-27,45.0,50.0,182.16
2020-10-28,45.0,47.5,182.14
2020-10-29,45.0,45.0,182.13
2020-10-30,51.0,47.5,182.13
2020-10-31,57.0,50.0,182.12
2020-11-01,63.0,52.5,182.12
2020-11-02,69.0,55.0,182.12
2020-11-03,75.0,57.5,182.29
2020-11-04,69.0,51.0,182.25
2020-11-05,63.0,44.5,182.25
2020-11-06,57.0,38.0,182.33
2020-11-07,73.0,62.0,182.33
2020-11-08,89.0,86.0,182.32
2020-11-09,105.0,110.0,182.32
2020-11-10,80.0,87.5,182.34
2020-11-11,55.0,65.0,182.35
2020-11-12,65.0,45.0,182.4
2020-11-13,75.0,47.5,182.4
2020-11-14,71.67,47.5,182.43
2020-11-15,68.33,47.5,182.47
2020-11-16,65.0,47.5,182.5
2020-11-17,55.0,55.0,183.01
2020-11-18,55.0,40.0,183.0
2020-11-19,55.0,50.0,182.51
2020-11-20,65.0,40.0,182.91
2020-11-21,61.67,47.5,183.05
2020-11-22,58.33,55.0,183.19
2020-11-23,55.0,62.5,183.33
2020-11-24,55.0,65.0,183.17
2020-11-25,45.0,60.0,183.54
2020-11-26,55.0,47.5,183.58
2020-11-27,45.0,47.5,183.02
2020-11-28,48.33,49.17,183.12
2020-11-29,51.67,50.83,183.23
2020-11-30,55.0,52.5,183.33
2020-12-01,61.67,54.17,183.66
2020-12-02,68.33,55.83,183.79
2020-12-03,75.0,57.5,184.26
2020-12-04,69.0,53.0,183.9
2020-12-05,63.0,48.5,183.86
2020-12-06,57.0,44.0,183.81
2020-12-07,51.0,39.5,183.77
2020-12-08,45.0,35.0,184.1
2020-12-09,70.0,60.0,184.14
2020-12-10,95.0,85.0,183.64
2020-12-11,65.0,55.0,183.72
2020-12-12,61.67,53.33,184.0
2020-12-13,58.33,51.67,184.29
2020-12-14,55.0,50.0,184.57
2020-12-15,55.0,37.5,185.1
2020-12-16,55.0,47.5,185.23
2020-12-17,45.0,42.5,186.13
2020-12-18,55.0,40.0,185.41
2020-12-19,55.0,45.0,185.59
2020-12-20,55.0,50.0,185.77
2020-12-21,55.0,55.0,185.95
2020-12-22,85.0,90.0,186.8
2020-12-23,85.0,92.5,188.01
2020-12-24,85.0,100.0,189.08
2020-12-25,91.25,93.75,188.48
2020-12-26,97.5,87.5,187.89
2020-12-27,103.75,81.25,187.3
2020-12-28,110.0,75.0,186.7
2020-12-29,110.0,82.5,185.95
2020-12-30,110.0,90.0,185.2
2020-12-31,125.0,85.0,184.12
2021-01-01,125.0,105.0,184.98
2021-01-02,118.33,98.33,184.93
2021-01-03,111.67,91.67,184.87
2021-01-04,105.0,85.0,184.82
2021-01-05,91.67,84.17,187.6
2021-01-06,78.33,83.33,187.54
2021-01-07,65.0,82.5,187.1
2021-01-08,80.0,98.75,186.28
2021-01-09,125.0,135.83,186.87
2021-01-10,170.0,172.92,187.46
2021-01-11,215.0,210.0,188.05
2021-01-12,340.0,300.0,188.49
2021-01-13,95.0,100.0,190.33
2021-01-14,95.0,92.5,190.55
2021-01-15,95.0,85.0,190.77
2021-01-16,95.0,88.33,191.06
2021-01-17,95.0,91.67,191.36
2021-01-18,95.0,95.0,191.65
2021-01-19,95.0,90.0,190.89
2021-01-20,85.0,90.0,192.85
2021-01-21,85.0,75.0,193.16
2021-01-22,77.5,75.0,194.31
2021-01-23,86.67,80.83,194.27
2021-01-24,95.83,86.67,194.23
2021-01-25,105.0,92.5,194.19
2021-01-26,95.0,90.0,192.4
2021-01-27,115.0,100.0,193.19
2021-01-28,110.0,112.5,191.43
2021-01-29,105.0,125.0,189.66
2021-01-30,117.5,128.75,189.32
2021-01-31,130.0,132.5,188.97
2021-02-01,142.5,136.25,188.63
2021-02-02,155.0,140.0,190.4
2021-02-03,225.0,155.0,192.32
2021-02-04,185.0,133.75,191.96
2021-02-05,145.0,112.5,191.59
2021-02-06,126.67,99.17,191.72
2021-02-07,108.33,85.83,191.84
2021-02-08,90.0,72.5,191.97
2021-02-09,115.0,75.0,192.57
2021-02-10,170.0,137.5,192.23
2021-02-11,225.0,200.0,193.54
2021-02-12,335.0,340.0,191.24
2021-02-13,291.67,291.67,191.76
2021-02-14,248.33,243.33,192.27
2021-02-15,205.0,195.0,192.79
2021-02-16,195.0,200.0,193.26
2021-02-17,195.0,200.0,193.66
2021-02-18,210.0,210.0,193.39
2021-02-19,210.0,215.0,193.58
2021-02-20,211.67,213.33,193.43
2021-02-21,213.33,211.67,193.28
2021-02-22,215.0,210.0,193.13
2021-02-23,205.0,205.0,191.19
2021-02-24,205.0,185.0,192.0
2021-02-25,205.0,190.0,192.88
2021-02-26,195.0,174.0,192.66
2021-02-27,185.0,158.0,192.44
2021-02-28,175.0,142.0,192.23
2021-03-01,165.0,126.0,192.01
2021-03-02,155.0,110.0,192.49
2021-03-03,205.0,180.0,193.99
2021-03-04,140.0,180.0,193.94
