Date,Exchange Rate
1/1/2020,181.5
1/2/2020,181.03
1/3/2020,181.37
1/4/2020,181.35
1/5/2020,181.34
1/6/2020,181.32
1/7/2020,181.45
1/8/2020,181.31
1/9/2020,181.42
1/10/2020,181.42
1/11/2020,181.41
1/12/2020,181.41
1/13/2020,181.41
1/14/2020,181.3
1/15/2020,181.41
1/16/2020,181.53
1/17/2020,181.38
1/18/2020,181.36
1/19/2020,181.33
1/20/2020,181.31
1/21/2020,181.34
1/22/2020,181.33
1/23/2020,181.47
1/24/2020,181.42
1/25/2020,181.42
1/26/2020,181.43
1/27/2020,181.44
1/28/2020,181.53
1/29/2020,181.53
1/30/2020,181.5
1/31/2020,181.59
2/1/2020,181.52
2/2/2020,181.46
2/3/2020,181.4
2/4/2020,181.44
2/5/2020,181.48
2/6/2020,181.4
2/7/2020,181.34
2/8/2020,181.35
2/9/2020,181.36
2/10/2020,181.37
2/11/2020,181.42
2/12/2020,181.42
2/13/2020,181.45
2/14/2020,181.46
2/15/2020,181.46
2/16/2020,181.47
2/17/2020,181.48
2/18/2020,181.53
2/19/2020,181.62
2/20/2020,181.9
2/21/2020,181.88
2/22/2020,181.87
2/23/2020,181.86
2/24/2020,181.84
2/25/2020,181.78
2/26/2020,181.75
2/27/2020,181.69
2/28/2020,181.81
2/29/2020,181.85
3/1/2020,181.89
3/2/2020,181.93
3/3/2020,182.08
3/4/2020,182.11
3/5/2020,182.03
3/6/2020,181.92
3/7/2020,181.9
3/8/2020,181.88
3/9/2020,181.85
3/10/2020,181.83
3/11/2020,182.45
3/12/2020,182.43
3/13/2020,182.82
3/14/2020,183.04
3/15/2020,183.26
3/16/2020,183.48
3/17/2020,183.7
3/18/2020,185.09
3/19/2020,184.93
3/20/2020,186.94
3/21/2020,186.96
3/22/2020,186.98
3/23/2020,187
3/24/2020,187
3/25/2020,189.25
3/26/2020,189.25
3/27/2020,189.25
3/28/2020,189.67
3/29/2020,190.08
3/30/2020,190.5
3/31/2020,188.62
4/1/2020,190.16
4/2/2020,190
4/3/2020,191
4/4/2020,192.27
4/5/2020,193.53
4/6/2020,194.8
4/7/2020,196.61
4/8/2020,198.42
4/9/2020,199.75
4/10/2020,198.62
4/11/2020,197.48
4/12/2020,196.35
4/13/2020,195.21
4/14/2020,194.07
4/15/2020,192.94
4/16/2020,191.69
4/17/2020,192.68
4/18/2020,192.36
4/19/2020,192.04
4/20/2020,191.72
4/21/2020,194.85
4/22/2020,192.69
4/23/2020,192.72
4/24/2020,192
4/25/2020,192
4/26/2020,192
4/27/2020,192
4/28/2020,192.5
4/29/2020,192.77
4/30/2020,192.85
5/1/2020,192.63
5/2/2020,192.41
5/3/2020,192.19
5/4/2020,191.97
5/5/2020,190.13
