,Date,Kandy,Dambulla,Buy Rate
0,2020-01-01,75.0,305.0,179.4845
1,2020-01-02,75.0,265.0,179.245
2,2020-01-03,75.0,225.0,179.3145
3,2020-01-06,75.0,105.0,179.3748
4,2020-01-07,75.0,65.0,179.3846
5,2020-01-08,68.33333333333333,60.0,179.3748
6,2020-01-09,61.666666666666664,55.0,179.6836
7,2020-01-13,310.0,320.0,179.4148
8,2020-01-14,305.0,280.0,179.5642
9,2020-01-16,310.0,295.0,179.5942
10,2020-01-17,325.0,305.0,179.3749
11,2020-01-20,295.0,290.0,179.3749
12,2020-01-21,285.0,290.0,179.3948
13,2020-01-22,285.0,285.0,179.5071
14,2020-01-23,295.0,295.0,179.557
15,2020-01-24,210.0,252.5,179.6068
16,2020-01-27,190.0,200.0,179.6468
17,2020-01-28,195.0,195.0,179.6767
18,2020-01-29,210.0,315.0,179.6668
19,2020-01-30,240.0,260.0,179.637
20,2020-01-31,255.0,200.0,179.6369
21,2020-02-03,115.0,105.0,179.577
22,2020-02-05,100.0,88.75,179.597
23,2020-02-06,92.5,80.625,179.5471
24,2020-02-07,85.0,72.5,179.5272
25,2020-02-10,55.0,50.0,179.557
26,2020-02-11,37.5,22.5,179.5371
27,2020-02-12,47.5,55.0,179.557
28,2020-02-13,118.75,132.5,179.5771
29,2020-02-14,190.0,210.0,179.5671
30,2020-02-17,190.0,155.0,179.5969
31,2020-02-18,170.0,155.0,179.6568
32,2020-02-19,150.0,165.0,179.7266
33,2020-02-20,155.0,150.0,180.0159
34,2020-02-24,145.0,130.0,179.7367
35,2020-02-25,145.0,130.0,179.8264
36,2020-02-26,145.0,140.0,179.8165
37,2020-02-27,135.0,120.0,179.8266
38,2020-02-28,125.0,130.0,179.9662
39,2020-03-02,255.0,215.0,180.0062
40,2020-03-03,115.0,105.0,180.1558
41,2020-03-04,107.5,96.875,180.2057
42,2020-03-05,100.0,88.75,180.1759
43,2020-03-06,92.5,80.625,180.0161
44,2020-03-10,53.75,67.5,180.096
45,2020-03-11,52.5,80.0,180.6547
46,2020-03-12,40.0,30.0,180.6847
47,2020-03-13,125.0,130.0,181.2135
