Date,rain_sum
1/1/2010,0
1/2/2010,0
1/3/2010,0.1
1/4/2010,0.6
1/5/2010,0
1/6/2010,0
1/7/2010,0.3
1/8/2010,0.8
1/9/2010,10
1/10/2010,9.6
1/11/2010,1
1/12/2010,4
1/13/2010,2.5
1/14/2010,0.2
1/15/2010,0
1/16/2010,0.4
1/17/2010,4
1/18/2010,0.7
1/19/2010,0.4
1/20/2010,0
1/21/2010,0
1/22/2010,0
1/23/2010,0
1/24/2010,0
1/25/2010,0
1/26/2010,0
1/27/2010,0.6
1/28/2010,0.1
1/29/2010,0
1/30/2010,10.4
1/31/2010,4.2
2/1/2010,1.1
2/2/2010,2
2/3/2010,0
2/4/2010,0
2/5/2010,0
2/6/2010,0
2/7/2010,0
2/8/2010,0
2/9/2010,0.7
2/10/2010,5.5
2/11/2010,0
2/12/2010,1.4
2/13/2010,0.2
2/14/2010,0
2/15/2010,0
2/16/2010,9.4
2/17/2010,0.7
2/18/2010,0
2/19/2010,0.9
2/20/2010,2.1
2/21/2010,0
2/22/2010,0
2/23/2010,0
2/24/2010,0
2/25/2010,0
2/26/2010,0
2/27/2010,0
2/28/2010,0
3/1/2010,0
3/2/2010,0
3/3/2010,0
3/4/2010,0.3
3/5/2010,0
3/6/2010,0
3/7/2010,0
3/8/2010,0
3/9/2010,0
3/10/2010,0
3/11/2010,0
3/12/2010,2.1
3/13/2010,1.8
3/14/2010,0
3/15/2010,0
3/16/2010,0
3/17/2010,0
3/18/2010,0.9
3/19/2010,0
3/20/2010,0
3/21/2010,0
3/22/2010,0.1
3/23/2010,1.8
3/24/2010,29.5
3/25/2010,4.7
3/26/2010,10.4
3/27/2010,26.3
3/28/2010,4.7
3/29/2010,12.7
3/30/2010,11.6
3/31/2010,6.1
4/1/2010,1.3
4/2/2010,0
4/3/2010,0.4
4/4/2010,18.1
4/5/2010,26.8
4/6/2010,5.6
4/7/2010,17.7
4/8/2010,5.3
4/9/2010,17.2
4/10/2010,3
4/11/2010,4.6
4/12/2010,2.1
4/13/2010,3.2
4/14/2010,3.7
4/15/2010,1.8
4/16/2010,26.7
4/17/2010,35.1
4/18/2010,17.9
4/19/2010,2.8
4/20/2010,2.6
4/21/2010,2.3
4/22/2010,0.8
4/23/2010,14.6
4/24/2010,23
4/25/2010,5.5
4/26/2010,18.5
4/27/2010,18.3
4/28/2010,7
4/29/2010,10.2
4/30/2010,76.4
5/1/2010,3.6
5/2/2010,3.3
5/3/2010,5.7
5/4/2010,2.1
5/5/2010,1.9
5/6/2010,2.6
5/7/2010,5.1
5/8/2010,7.6
5/9/2010,15.3
5/10/2010,5.6
5/11/2010,4.4
5/12/2010,2.3
5/13/2010,2.3
5/14/2010,3.3
5/15/2010,3
5/16/2010,2.9
5/17/2010,3.6
5/18/2010,2.6
5/19/2010,1.7
5/20/2010,32.7
5/21/2010,2.2
5/22/2010,3.3
5/23/2010,6.1
5/24/2010,3.7
5/25/2010,2.1
5/26/2010,3.4
5/27/2010,0.6
5/28/2010,2.2
5/29/2010,1.2
5/30/2010,1.9
5/31/2010,2
6/1/2010,0
6/2/2010,1.7
6/3/2010,3.6
6/4/2010,2.1
6/5/2010,3.1
6/6/2010,3.8
6/7/2010,10.8
6/8/2010,1.9
6/9/2010,7.9
6/10/2010,39.4
6/11/2010,19.1
6/12/2010,10.2
6/13/2010,1.5
6/14/2010,6.4
6/15/2010,3.4
6/16/2010,1.5
6/17/2010,1.1
6/18/2010,1.1
6/19/2010,2.7
6/20/2010,6.5
6/21/2010,5.9
6/22/2010,2.2
6/23/2010,4.4
6/24/2010,10.3
6/25/2010,5.5
6/26/2010,4.4
6/27/2010,2.9
6/28/2010,4.6
6/29/2010,2.4
6/30/2010,5.8
7/1/2010,9.2
7/2/2010,2.9
7/3/2010,3.6
7/4/2010,1.9
7/5/2010,18.8
7/6/2010,1.5
7/7/2010,13.2
7/8/2010,17.5
7/9/2010,21.6
7/10/2010,26
7/11/2010,2.2
7/12/2010,1
7/13/2010,0.5
7/14/2010,4.1
7/15/2010,3
7/16/2010,22.8
7/17/2010,4.6
7/18/2010,6.4
7/19/2010,10.2
7/20/2010,2.8
7/21/2010,0.6
7/22/2010,1.4
7/23/2010,1.5
7/24/2010,2.6
7/25/2010,1.2
7/26/2010,1.5
7/27/2010,3.3
7/28/2010,5.9
7/29/2010,2.9
7/30/2010,5.9
7/31/2010,0.7
8/1/2010,0.6
8/2/2010,0.7
8/3/2010,2.7
8/4/2010,2
8/5/2010,2
8/6/2010,2.7
8/7/2010,2.2
8/8/2010,2
8/9/2010,6.4
8/10/2010,0.2
8/11/2010,2.5
8/12/2010,3.4
8/13/2010,13.5
8/14/2010,7.2
8/15/2010,12
8/16/2010,7.3
8/17/2010,9.9
8/18/2010,3.1
8/19/2010,3.8
8/20/2010,15.6
8/21/2010,10.8
8/22/2010,2.2
8/23/2010,7.6
8/24/2010,16.2
8/25/2010,4.5
8/26/2010,4.8
8/27/2010,0.3
8/28/2010,1.9
8/29/2010,17.5
8/30/2010,17.8
8/31/2010,0
9/1/2010,0
9/2/2010,0.2
9/3/2010,1.3
9/4/2010,2.5
9/5/2010,0
9/6/2010,1.5
9/7/2010,3.1
9/8/2010,2.8
9/9/2010,1.7
9/10/2010,2
9/11/2010,3.1
9/12/2010,1.7
9/13/2010,2.9
9/14/2010,2.6
9/15/2010,4.3
9/16/2010,3.1
9/17/2010,2.8
9/18/2010,10.5
9/19/2010,2.6
9/20/2010,5.9
9/21/2010,5.7
9/22/2010,16.6
9/23/2010,13.7
9/24/2010,17.8
9/25/2010,3
9/26/2010,14.1
9/27/2010,28.4
9/28/2010,27.2
9/29/2010,6.3
9/30/2010,7.9
10/1/2010,66.1
10/2/2010,73.9
10/3/2010,11.4
10/4/2010,3.1
10/5/2010,11
10/6/2010,14.3
10/7/2010,8.2
10/8/2010,3.6
10/9/2010,4.1
10/10/2010,0.3
10/11/2010,2.3
10/12/2010,0.6
10/13/2010,0
10/14/2010,0.3
10/15/2010,1.2
10/16/2010,3.3
10/17/2010,2.3
10/18/2010,2.9
10/19/2010,3.6
10/20/2010,0.2
10/21/2010,0.3
10/22/2010,1.2
10/23/2010,0
10/24/2010,0.5
10/25/2010,3.3
10/26/2010,1
10/27/2010,6.7
10/28/2010,18.4
10/29/2010,30.4
10/30/2010,12.5
10/31/2010,13.4
11/1/2010,2.6
11/2/2010,0
11/3/2010,0.4
11/4/2010,16
11/5/2010,30.6
11/6/2010,12.9
11/7/2010,12
11/8/2010,0
11/9/2010,9.1
11/10/2010,37.1
11/11/2010,8.7
11/12/2010,1.2
11/13/2010,4.8
11/14/2010,3.5
11/15/2010,5.9
11/16/2010,2.8
11/17/2010,31
11/18/2010,14.5
11/19/2010,13.4
11/20/2010,25.6
11/21/2010,25.7
11/22/2010,29.9
11/23/2010,21.7
11/24/2010,13.2
11/25/2010,32.9
11/26/2010,45.8
11/27/2010,4.8
11/28/2010,10.2
11/29/2010,4.6
11/30/2010,28.9
12/1/2010,63
12/2/2010,24.4
12/3/2010,48.8
12/4/2010,45.7
12/5/2010,9.9
12/6/2010,4.5
12/7/2010,8.7
12/8/2010,13.4
12/9/2010,18.2
12/10/2010,3.2
12/11/2010,1.9
12/12/2010,1.3
12/13/2010,0
12/14/2010,0.4
12/15/2010,5.2
12/16/2010,6.3
12/17/2010,1.9
12/18/2010,0.9
12/19/2010,0
12/20/2010,17.8
12/21/2010,3.4
12/22/2010,22.2
12/23/2010,56.9
12/24/2010,21.5
12/25/2010,60.3
12/26/2010,1.8
12/27/2010,2
12/28/2010,13.5
12/29/2010,2.6
12/30/2010,3.7
12/31/2010,9
1/1/2011,26.3
1/2/2011,19.8
1/3/2011,6.1
1/4/2011,13.5
1/5/2011,7.4
1/6/2011,6.1
1/7/2011,20.7
1/8/2011,72.1
1/9/2011,124.1
1/10/2011,29.1
1/11/2011,2.4
1/12/2011,10
1/13/2011,80.3
1/14/2011,5.9
1/15/2011,2.1
1/16/2011,1.1
1/17/2011,1.8
1/18/2011,1.5
1/19/2011,0
1/20/2011,0
1/21/2011,0
1/22/2011,0
1/23/2011,0
1/24/2011,0
1/25/2011,0.2
1/26/2011,1.6
1/27/2011,2.5
1/28/2011,2.2
1/29/2011,0.3
1/30/2011,0.8
1/31/2011,5.2
2/1/2011,48.7
2/2/2011,51.9
2/3/2011,89.3
2/4/2011,36.1
2/5/2011,28.5
2/6/2011,2.2
2/7/2011,9.1
2/8/2011,1.7
2/9/2011,1.2
2/10/2011,2.1
2/11/2011,0
2/12/2011,0
2/13/2011,0
2/14/2011,3
2/15/2011,0.4
2/16/2011,0
2/17/2011,0.2
2/18/2011,0.8
2/19/2011,2.4
2/20/2011,2
2/21/2011,5.9
2/22/2011,0
2/23/2011,0
2/24/2011,0
2/25/2011,0
2/26/2011,0
2/27/2011,0
2/28/2011,1.2
3/1/2011,2.9
3/2/2011,0.3
3/3/2011,4.1
3/4/2011,26
3/5/2011,6.6
3/6/2011,0
3/7/2011,0
3/8/2011,0
3/9/2011,0
3/10/2011,0
3/11/2011,0
3/12/2011,2.1
3/13/2011,2.8
3/14/2011,2.8
3/15/2011,1.7
3/16/2011,0.2
3/17/2011,0
3/18/2011,0
3/19/2011,0.7
3/20/2011,5.7
3/21/2011,3.7
3/22/2011,0
3/23/2011,2.8
3/24/2011,3
3/25/2011,1.7
3/26/2011,3.2
3/27/2011,3.2
3/28/2011,4.4
3/29/2011,1.6
3/30/2011,0
3/31/2011,0
4/1/2011,0
4/2/2011,0.1
4/3/2011,1.4
4/4/2011,0
4/5/2011,0.3
4/6/2011,0
4/7/2011,7.5
4/8/2011,16.4
4/9/2011,4.8
4/10/2011,2.9
4/11/2011,16.6
4/12/2011,27.3
4/13/2011,11
4/14/2011,3.3
4/15/2011,4.3
4/16/2011,13.8
4/17/2011,14.9
4/18/2011,16.5
4/19/2011,24.4
4/20/2011,23.2
4/21/2011,10.6
4/22/2011,19.8
4/23/2011,4.7
4/24/2011,9.3
4/25/2011,3.5
4/26/2011,5.5
4/27/2011,6.8
4/28/2011,3.2
4/29/2011,2.8
4/30/2011,2.9
5/1/2011,1.9
5/2/2011,2.4
5/3/2011,2.2
5/4/2011,1.9
5/5/2011,2.5
5/6/2011,1.2
5/7/2011,2.1
5/8/2011,0.4
5/9/2011,0
5/10/2011,0.2
5/11/2011,1.9
5/12/2011,4.2
5/13/2011,2.1
5/14/2011,0
5/15/2011,1.7
5/16/2011,30.2
5/17/2011,7.4
5/18/2011,1.4
5/19/2011,2.1
5/20/2011,0
5/21/2011,0.2
5/22/2011,1.3
5/23/2011,2.9
5/24/2011,3.3
5/25/2011,5.7
5/26/2011,5.1
5/27/2011,4
5/28/2011,5.2
5/29/2011,3.7
5/30/2011,3.6
5/31/2011,3.3
6/1/2011,5.7
6/2/2011,0.1
6/3/2011,0.4
6/4/2011,3.1
6/5/2011,0.5
6/6/2011,1.9
6/7/2011,0.9
6/8/2011,1.3
6/9/2011,1.4
6/10/2011,0.4
6/11/2011,0.5
6/12/2011,0.9
6/13/2011,2.4
6/14/2011,3.3
6/15/2011,1.1
6/16/2011,4.1
6/17/2011,4.9
6/18/2011,2.9
6/19/2011,0.1
6/20/2011,1.3
6/21/2011,0
6/22/2011,0.8
6/23/2011,2.5
6/24/2011,3
6/25/2011,5.1
6/26/2011,1.5
6/27/2011,5.2
6/28/2011,0.7
6/29/2011,1.2
6/30/2011,0
7/1/2011,3.4
7/2/2011,2.2
7/3/2011,0
7/4/2011,0.5
7/5/2011,5.1
7/6/2011,4.6
7/7/2011,1.1
7/8/2011,5.3
7/9/2011,4.9
7/10/2011,3.8
7/11/2011,3.8
7/12/2011,15
7/13/2011,4.5
7/14/2011,4.6
7/15/2011,1.2
7/16/2011,6.2
7/17/2011,2.6
7/18/2011,0.6
7/19/2011,1.1
7/20/2011,3.8
7/21/2011,1.9
7/22/2011,1.9
7/23/2011,3.4
7/24/2011,5
7/25/2011,6
7/26/2011,4.2
7/27/2011,2.9
7/28/2011,3.5
7/29/2011,2.4
7/30/2011,3.1
7/31/2011,0.1
8/1/2011,2.4
8/2/2011,1.9
8/3/2011,0.8
8/4/2011,0.2
8/5/2011,3.6
8/6/2011,3.4
8/7/2011,2.4
8/8/2011,2.9
8/9/2011,3.6
8/10/2011,3.1
8/11/2011,2.6
8/12/2011,4.3
8/13/2011,5.3
8/14/2011,0
8/15/2011,4.4
8/16/2011,6.4
8/17/2011,7.7
8/18/2011,2
8/19/2011,2.9
8/20/2011,5.8
8/21/2011,1
8/22/2011,2.6
8/23/2011,2.9
8/24/2011,2.2
8/25/2011,3.1
8/26/2011,1.2
8/27/2011,3
8/28/2011,1.9
8/29/2011,1.2
8/30/2011,3
8/31/2011,1.2
9/1/2011,4
9/2/2011,4.3
9/3/2011,0.7
9/4/2011,0.7
9/5/2011,4
9/6/2011,3.5
9/7/2011,3.7
9/8/2011,2.7
9/9/2011,5.9
9/10/2011,6.9
9/11/2011,12.9
9/12/2011,6
9/13/2011,23.7
9/14/2011,10.2
9/15/2011,4
9/16/2011,2.3
9/17/2011,0.8
9/18/2011,0.1
9/19/2011,0
9/20/2011,0
9/21/2011,4.5
9/22/2011,3.8
9/23/2011,0
9/24/2011,0
9/25/2011,0
9/26/2011,0.5
9/27/2011,0
9/28/2011,0.4
9/29/2011,0.3
9/30/2011,7.3
10/1/2011,1.9
10/2/2011,0
10/3/2011,1.5
10/4/2011,4.2
10/5/2011,0.6
10/6/2011,0.3
10/7/2011,0.3
10/8/2011,0.6
10/9/2011,2
10/10/2011,0.4
10/11/2011,3.6
10/12/2011,2.8
10/13/2011,1.9
10/14/2011,4.2
10/15/2011,10.2
10/16/2011,0.3
10/17/2011,3.8
10/18/2011,2.3
10/19/2011,9.7
10/20/2011,13.4
10/21/2011,27.1
10/22/2011,44.6
10/23/2011,54.4
10/24/2011,26.4
10/25/2011,66.9
10/26/2011,53.6
10/27/2011,37.2
10/28/2011,5.4
10/29/2011,33.4
10/30/2011,54.4
10/31/2011,6
11/1/2011,16.2
11/2/2011,6.6
11/3/2011,2.5
11/4/2011,1
11/5/2011,2.2
11/6/2011,3.1
11/7/2011,5.7
11/8/2011,2.5
11/9/2011,0
11/10/2011,0
11/11/2011,0
11/12/2011,0
11/13/2011,0
11/14/2011,0
11/15/2011,0
11/16/2011,0.7
11/17/2011,17.7
11/18/2011,5.6
11/19/2011,0.3
11/20/2011,1.4
11/21/2011,6.7
11/22/2011,0.2
11/23/2011,2.9
11/24/2011,14.8
11/25/2011,12.7
11/26/2011,21.3
11/27/2011,12.2
11/28/2011,0.4
11/29/2011,10.5
11/30/2011,3.2
12/1/2011,3.6
12/2/2011,2.3
12/3/2011,0
12/4/2011,0
12/5/2011,0
12/6/2011,0
12/7/2011,0
12/8/2011,0.1
12/9/2011,2.9
12/10/2011,4.2
12/11/2011,6.6
12/12/2011,25.6
12/13/2011,9.1
12/14/2011,6.3
12/15/2011,12
12/16/2011,0
12/17/2011,24.3
12/18/2011,17.8
12/19/2011,43.3
12/20/2011,22.1
12/21/2011,2.7
12/22/2011,7.3
12/23/2011,29.9
12/24/2011,0.8
12/25/2011,0
12/26/2011,0
12/27/2011,0
12/28/2011,0
12/29/2011,0
12/30/2011,4.8
12/31/2011,0.8
1/1/2012,0
1/2/2012,0
1/3/2012,0
1/4/2012,2
1/5/2012,1.3
1/6/2012,2.5
1/7/2012,14.8
1/8/2012,8.6
1/9/2012,0.2
1/10/2012,0
1/11/2012,0
1/12/2012,0
1/13/2012,0
1/14/2012,0
1/15/2012,0
1/16/2012,0
1/17/2012,0
1/18/2012,0
1/19/2012,0
1/20/2012,0
1/21/2012,0
1/22/2012,1
1/23/2012,0
1/24/2012,0
1/25/2012,0
1/26/2012,0
1/27/2012,0
1/28/2012,0
1/29/2012,0
1/30/2012,0
1/31/2012,0
2/1/2012,0
2/2/2012,0.2
2/3/2012,0.5
2/4/2012,0.7
2/5/2012,2.7
2/6/2012,1.1
2/7/2012,7.8
2/8/2012,11.8
2/9/2012,16.7
2/10/2012,0.9
2/11/2012,0
2/12/2012,0
2/13/2012,0
2/14/2012,18.8
2/15/2012,19.7
