Date,price
1/2/2016,120
1/3/2016,100
1/4/2016,50
1/6/2016,150
1/7/2016,140
1/8/2016,140
1/9/2016,110
1/11/2016,180
1/12/2016,200
1/13/2016,150
1/14/2016,150
1/18/2016,180
1/19/2016,170
1/20/2016,150
1/21/2016,100
1/22/2016,100
1/25/2016,100
1/26/2016,80
1/27/2016,80
1/28/2016,80
1/29/2016,100
2/2/2016,100
2/3/2016,100
2/5/2016,140
2/6/2016,130
2/8/2016,130
2/9/2016,100
2/11/2016,100
2/12/2016,200
2/15/2016,80
2/16/2016,80
2/17/2016,70
2/18/2016,50
2/19/2016,50
2/23/2016,90
2/24/2016,120
2/25/2016,120
2/26/2016,100
2/29/2016,100
3/2/2016,80
3/3/2016,100
3/5/2016,130
3/6/2016,120
3/8/2016,140
3/10/2016,100
3/11/2016,110
3/14/2016,90
3/15/2016,90
3/16/2016,130
3/17/2016,70
3/18/2016,70
3/21/2016,80
3/23/2016,80
3/24/2016,100
3/28/2016,90
3/29/2016,70
3/30/2016,50
3/31/2016,50
4/1/2016,160
4/3/2016,100
4/4/2016,60
4/5/2016,130
4/7/2016,160
4/8/2016,130
4/10/2016,140
4/11/2016,120
4/18/2016,80
4/19/2016,70
4/20/2016,80
4/22/2016,120
4/25/2016,130
4/26/2016,150
4/27/2016,100
4/28/2016,120
4/29/2016,120
5/1/2016,180
5/2/2016,100
5/4/2016,70
5/5/2016,140
5/7/2016,170
5/8/2016,120
5/9/2016,110
5/10/2016,120
5/12/2016,180
5/13/2016,120
5/16/2016,200
5/17/2016,120
5/18/2016,150
5/19/2016,180
5/20/2016,200
5/23/2016,200
5/24/2016,200
5/25/2016,180
5/26/2016,230
5/27/2016,230
5/30/2016,180
5/31/2016,180
6/1/2016,150
6/4/2016,60
6/5/2016,140
6/6/2016,150
6/7/2016,120
6/9/2016,120
6/10/2016,120
6/12/2016,180
6/13/2016,130
6/14/2016,140
6/15/2016,120
6/16/2016,140
6/17/2016,140
6/20/2016,120
6/21/2016,130
6/22/2016,120
6/23/2016,120
6/24/2016,140
6/27/2016,150
6/28/2016,160
6/29/2016,150
6/30/2016,150
7/1/2016,160
7/4/2016,60
7/6/2016,150
7/7/2016,120
7/9/2016,120
7/10/2016,140
7/11/2016,120
7/12/2016,150
7/15/2016,130
7/18/2016,120
7/20/2016,150
7/21/2016,130
7/22/2016,120
7/25/2016,120
7/26/2016,140
7/27/2016,100
7/28/2016,90
8/1/2016,150
8/2/2016,80
8/3/2016,80
8/4/2016,80
8/6/2016,140
8/7/2016,130
8/8/2016,130
8/9/2016,100
8/11/2016,150
8/12/2016,200
8/15/2016,100
8/16/2016,80
8/18/2016,70
8/19/2016,80
8/22/2016,100
8/23/2016,100
8/24/2016,100
8/29/2016,100
8/30/2016,120
8/31/2016,120
9/2/2016,80
9/3/2016,80
9/5/2016,100
9/6/2016,100
9/8/2016,120
9/9/2016,100
9/11/2016,150
9/12/2016,150
9/13/2016,100
9/14/2016,100
9/15/2016,90
9/19/2016,90
9/20/2016,100
9/21/2016,80
9/22/2016,90
9/23/2016,80
9/26/2016,100
9/27/2016,130
9/28/2016,100
9/29/2016,100
9/30/2016,100
10/2/2016,70
10/3/2016,70
10/5/2016,120
10/6/2016,100
10/8/2016,90
10/10/2016,140
10/11/2016,180
10/13/2016,130
10/14/2016,130
10/17/2016,120
10/18/2016,120
10/19/2016,120
10/20/2016,130
10/21/2016,130
10/24/2016,160
