Date,Bean_Kandy_price
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,95.0
2020-01-08,126.66666666666667
2020-01-09,158.33333333333334
2020-01-10,190.0
2020-01-11,207.5
2020-01-12,225.0
2020-01-13,255.0
2020-01-14,255.0
2020-01-15,245.0
2020-01-16,235.0
2020-01-17,310.0
2020-01-18,286.6666666666667
2020-01-19,263.3333333333333
2020-01-20,240.0
2020-01-21,245.0
2020-01-22,210.0
2020-01-23,190.0
2020-01-24,210.0
2020-01-25,226.66666666666666
2020-01-26,243.33333333333334
2020-01-27,260.0
2020-01-28,290.0
2020-01-29,290.0
2020-01-30,290.0
2020-01-31,310.0
2020-02-01,340.0
2020-02-02,247.5
2020-02-03,155.0
2020-02-04,140.0
2020-02-05,125.0
2020-02-06,110.0
2020-02-07,95.0
2020-02-08,140.0
2020-02-09,185.0
2020-02-10,190.0
2020-02-11,95.0
2020-02-12,210.0
2020-02-13,185.0
2020-02-14,160.0
2020-02-15,158.33333333333334
2020-02-16,156.66666666666666
2020-02-17,155.0
2020-02-18,155.0
2020-02-19,155.0
2020-02-20,155.0
2020-02-21,152.5
2020-02-22,150.0
2020-02-23,147.5
2020-02-24,145.0
2020-02-25,125.0
2020-02-26,145.0
2020-02-27,155.0
2020-02-28,175.0
2020-02-29,257.5
2020-03-01,340.0
2020-03-02,270.0
2020-03-03,145.0
2020-03-04,132.5
2020-03-05,120.0
2020-03-06,107.5
2020-03-07,95.0
2020-03-08,145.0
2020-03-09,195.0
2020-03-10,145.0
2020-03-11,95.0
2020-03-12,175.0
2020-03-13,75.0
2020-03-14,77.38095238095238
2020-03-15,79.76190476190476
2020-03-16,82.14285714285714
2020-03-17,84.52380952380952
2020-03-18,86.9047619047619
2020-03-19,89.28571428571428
2020-03-20,91.66666666666667
2020-03-21,94.04761904761905
2020-03-22,96.42857142857143
2020-03-23,98.80952380952381
2020-03-24,101.19047619047619
2020-03-25,103.57142857142857
2020-03-26,105.95238095238095
2020-03-27,108.33333333333334
2020-03-28,110.71428571428572
2020-03-29,113.0952380952381
2020-03-30,115.47619047619048
2020-03-31,117.85714285714286
