Bean_Kandy_price,Kandy,Dambulla,Exchange Rate
95.0,296.43,305.0,181.5
95.0,267.86,272.5,181.03
95.0,239.29,240.0,181.37
95.0,210.71,207.5,181.35
95.0,182.14,175.0,181.34
95.0,153.57,142.5,181.32
95.0,125.0,110.0,181.45
126.6666667,128.33,118.33,181.31
158.3333333,131.67,126.67,181.42
190.0,135.0,135.0,181.42
207.5,145.0,152.5,181.41
225.0,155.0,170.0,181.41
255.0,425.0,395.0,181.41
255.0,365.0,355.0,181.3
245.0,372.5,370.0,181.41
235.0,380.0,385.0,181.53
310.0,390.0,400.0,181.38
286.6666667,390.0,386.67,181.36
263.3333333,390.0,373.33,181.33
240.0,390.0,360.0,181.31
245.0,370.0,330.0,181.34
210.0,370.0,335.0,181.33
190.0,360.0,380.0,181.47
210.0,325.0,365.0,181.42
226.6666667,336.67,345.0,181.42
243.3333333,348.33,325.0,181.43
260.0,360.0,305.0,181.44
290.0,390.0,350.0,181.53
290.0,440.0,410.0,181.53
290.0,465.0,410.0,181.5
310.0,465.0,420.0,181.59
340.0,340.0,305.0,181.52
247.5,232.5,217.5,181.46
155.0,125.0,130.0,181.4
140.0,125.0,123.75,181.44
125.0,125.0,117.5,181.48
110.0,125.0,111.25,181.4
95.0,125.0,105.0,181.34
140.0,120.0,105.0,181.35
185.0,115.0,105.0,181.36
190.0,135.0,135.0,181.37
95.0,115.0,85.0,181.42
210.0,175.0,180.0,181.42
185.0,217.5,227.5,181.45
160.0,260.0,275.0,181.46
158.3333333,231.67,233.33,181.46
156.6666667,203.33,191.67,181.47
155.0,175.0,150.0,181.48
155.0,155.0,115.0,181.53
155.0,155.0,175.0,181.62
155.0,160.0,145.0,181.9
152.5,163.75,158.75,181.88
150.0,167.5,172.5,181.87
147.5,171.25,186.25,181.86
145.0,175.0,200.0,181.84
125.0,190.0,170.0,181.78
145.0,190.0,165.0,181.75
155.0,170.0,135.0,181.69
175.0,145.0,125.0,181.81
257.5,260.0,250.0,181.85
340.0,375.0,375.0,181.89
270.0,410.0,390.0,181.93
145.0,125.0,125.0,182.08
132.5,127.5,121.25,182.11
120.0,130.0,117.5,182.03
107.5,132.5,113.75,181.92
95.0,135.0,110.0,181.9
145.0,125.0,107.5,181.88
195.0,115.0,105.0,181.85
145.0,120.0,135.0,181.83
95.0,125.0,165.0,182.45
175.0,155.0,165.0,182.43
75.0,155.0,150.0,182.82
77.38095238,154.05,148.81,183.04
79.76190476,153.1,147.62,183.26
82.14285714,152.14,146.43,183.48
84.52380952,151.19,145.24,183.7
86.9047619,150.24,144.05,185.09
89.28571429,149.29,142.86,184.93
91.66666667,148.33,141.67,186.94
94.04761905,147.38,140.48,186.96
96.42857143,146.43,139.29,186.98
98.80952381,145.48,138.1,187.0
101.1904762,144.52,136.9,187.0
103.5714286,143.57,135.71,189.25
105.952381,142.62,134.52,189.25
108.3333333,141.67,133.33,189.25
110.7142857,140.71,132.14,189.67
113.0952381,139.76,130.95,190.08
115.4761905,138.81,129.76,190.5
117.8571429,137.86,128.57,188.62
120.2380952,136.9,127.38,190.16
122.6190476,135.95,126.19,190.0
125.0,135.0,125.0,191.0
139.0,125.0,118.0,192.27
153.0,115.0,111.0,193.53
167.0,105.0,104.0,194.8
181.0,95.0,97.0,196.61
195.0,85.0,90.0,198.42
175.0,115.0,120.0,199.75
135.0,125.0,142.5,198.62
95.0,135.0,165.0,197.48
175.0,165.0,185.0,196.35
178.5,174.75,193.25,195.21
182.0,184.5,201.5,194.07
185.5,194.25,209.75,192.94
189.0,204.0,218.0,191.69
192.5,213.75,226.25,192.68
196.0,223.5,234.5,192.36
199.5,233.25,242.75,192.04
203.0,243.0,251.0,191.72
206.5,252.75,259.25,194.85
210.0,262.5,267.5,192.69
213.5,272.25,275.75,192.72
217.0,282.0,284.0,192.0
220.5,291.75,292.25,192.0
224.0,301.5,300.5,192.0
227.5,311.25,308.75,192.0
231.0,321.0,317.0,192.5
234.5,330.75,325.25,192.77
238.0,340.5,333.5,192.85
241.5,350.25,341.75,192.63
245.0,360.0,350.0,192.41
110.0,185.0,155.0,192.19
121.4285714,177.86,151.43,191.97
132.8571429,170.71,147.86,190.13
144.2857143,163.57,144.29,188.95
155.7142857,156.43,140.71,188.83
167.1428571,149.29,137.14,188.71
178.5714286,142.14,133.57,188.59
190.0,135.0,130.0,188.47
115.0,135.0,140.0,188.35
122.3809524,145.48,148.81,188.11
