Bean_Kandy_price,Kandy,Dambulla,Exchange Rate
,296.43,305.0,181.5
95.0,125.0,110.0,181.45
190.0,135.0,135.0,181.42
225.0,155.0,170.0,181.41
255.0,425.0,395.0,181.41
255.0,365.0,355.0,181.3
235.0,380.0,385.0,181.53
310.0,390.0,400.0,181.38
240.0,390.0,360.0,181.31
245.0,370.0,330.0,181.34
210.0,370.0,335.0,181.33
190.0,360.0,380.0,181.47
210.0,325.0,365.0,181.42
260.0,360.0,305.0,181.44
290.0,390.0,350.0,181.53
290.0,440.0,410.0,181.53
290.0,465.0,410.0,181.5
310.0,465.0,420.0,181.59
340.0,340.0,305.0,181.52
155.0,125.0,130.0,181.4
95.0,125.0,105.0,181.34
185.0,115.0,105.0,181.36
190.0,135.0,135.0,181.37
95.0,115.0,85.0,181.42
210.0,175.0,180.0,181.42
160.0,260.0,275.0,181.46
155.0,175.0,150.0,181.48
155.0,155.0,115.0,181.53
155.0,155.0,175.0,181.62
155.0,160.0,145.0,181.9
145.0,175.0,200.0,181.84
125.0,190.0,170.0,181.78
145.0,190.0,165.0,181.75
155.0,170.0,135.0,181.69
175.0,145.0,125.0,181.81
340.0,375.0,375.0,181.89
270.0,410.0,390.0,181.93
145.0,125.0,125.0,182.08
95.0,135.0,110.0,181.9
195.0,115.0,105.0,181.85
95.0,125.0,165.0,182.45
175.0,155.0,165.0,182.43
75.0,155.0,150.0,182.82
125.0,135.0,125.0,191.0
195.0,85.0,90.0,198.42
175.0,115.0,120.0,199.75
95.0,135.0,165.0,197.48
175.0,165.0,185.0,196.35
245.0,360.0,350.0,192.41
110.0,185.0,155.0,192.19
190.0,135.0,130.0,188.47
115.0,135.0,140.0,188.35
270.0,355.0,325.0,186.15
95.0,175.0,160.0,185.86
75.0,115.0,105.0,185.56
,121.67,120.0,185.48
190.0,135.0,125.0,185.09
115.0,125.0,115.0,185.11
135.0,145.0,115.0,185.18
125.0,135.0,110.0,185.66
115.0,125.0,115.0,185.95
95.0,125.0,105.0,186.61
95.0,115.0,85.0,186.56
85.0,125.0,100.0,186.6
75.0,125.0,130.0,186.6
75.0,145.0,130.0,186.67
85.0,155.0,135.0,186.59
95.0,145.0,115.0,186.44
95.0,135.0,120.0,186.12
95.0,135.0,110.0,186.23
310.0,340.0,315.0,186.21
75.0,105.0,105.0,185.87
255.0,125.0,125.0,185.85
175.0,115.0,110.0,185.83
190.0,125.0,145.0,185.71
145.0,155.0,130.0,185.82
110.0,115.0,100.0,185.87
125.0,125.0,95.0,185.91
125.0,105.0,92.5,185.84
115.0,95.0,90.0,185.81
115.0,105.0,92.5,185.8
125.0,105.0,85.0,185.78
135.0,105.0,75.0,185.75
135.0,85.0,77.5,185.78
135.0,95.0,85.0,185.79
135.0,85.0,80.0,185.75
175.0,95.0,85.0,185.77
155.0,95.0,82.5,185.75
155.0,75.0,85.0,185.76
185.0,95.0,80.0,185.72
190.0,105.0,87.5,185.68
250.0,290.0,260.0,185.66
85.0,105.0,100.0,185.44
195.0,125.0,110.0,185.37
175.0,135.0,125.0,185.33
165.0,155.0,95.0,184.28
255.0,85.0,85.0,183.46
225.0,85.0,77.5,182.64
225.0,75.0,80.0,182.82
225.0,85.0,80.0,183.31
190.0,95.0,67.5,184.08
210.0,95.0,77.5,185.27
190.0,85.0,85.0,186.06
190.0,125.0,110.0,184.12
190.0,135.0,110.0,184.72
155.0,125.0,102.5,186.12
155.0,125.0,115.0,186.33
175.0,125.0,95.0,186.25
245.0,305.0,300.0,186.13
95.0,95.0,95.0,185.21
165.0,115.0,115.0,184.4
170.0,125.0,115.0,184.35
125.0,125.0,125.0,184.74
,125.0,125.0,184.67
210.0,125.0,135.0,184.55
210.0,135.0,135.0,184.21
175.0,135.0,120.0,184.41
175.0,145.0,130.0,184.89
200.0,145.0,115.0,184.96
210.0,155.0,150.0,185.39
215.0,155.0,145.0,185.53
205.0,145.0,135.0,185.38
155.0,145.0,135.0,185.1
160.0,145.0,145.0,185.02
195.0,135.0,135.0,185.2
195.0,135.0,135.0,185.28
190.0,145.0,135.0,185.52
75.0,155.0,145.0,184.82
95.0,115.0,105.0,184.71
155.0,85.0,62.5,184.47
190.0,115.0,115.0,184.19
125.0,135.0,150.0,184.19
145.0,115.0,105.0,184.19
115.0,115.0,105.0,184.27
110.0,115.0,105.0,184.6
110.0,115.0,125.0,184.69
155.0,115.0,112.5,184.32
155.0,110.0,115.0,184.31
175.0,125.0,107.5,184.42
145.0,135.0,115.0,184.35
115.0,125.0,110.0,184.3
125.0,135.0,120.0,184.54
115.0,115.0,115.0,184.33
125.0,115.0,105.0,184.3
145.0,135.0,130.0,184.28
65.0,145.0,140.0,184.43
175.0,95.0,75.0,184.46
195.0,115.0,125.0,184.47
125.0,135.0,125.0,184.52
190.0,155.0,135.0,184.6
145.0,145.0,130.0,184.6
190.0,165.0,190.0,184.61
210.0,165.0,165.0,185.01
185.0,155.0,137.5,184.9
165.0,145.0,135.0,184.93
165.0,145.0,115.0,184.64
195.0,155.0,125.0,185.12
210.0,155.0,125.0,185.48
210.0,145.0,130.0,185.4
190.0,145.0,132.5,185.51
205.0,155.0,133.12,185.22
230.0,155.0,135.0,184.96
75.0,145.0,140.0,186.88
225.0,95.0,95.0,186.23
155.0,135.0,105.0,185.92
135.0,145.0,150.0,185.91
155.0,145.0,155.0,186.02
175.0,145.0,160.0,186.73
155.0,135.0,160.0,187.89
145.0,135.0,125.0,188.07
135.0,135.0,150.0,187.88
145.0,125.0,120.0,187.86
155.0,125.0,120.0,187.7
145.0,110.0,120.0,189.28
135.0,135.0,100.0,190.22
185.0,105.0,115.0,190.28
155.0,115.0,100.0,187.97
175.0,135.0,100.0,186.41
155.0,125.0,150.0,185.39
125.0,155.0,220.0,185.35
115.0,165.0,180.0,185.31
145.0,125.0,105.0,185.28
135.0,125.0,135.0,185.0
190.0,90.0,72.5,186.18
170.0,115.0,82.5,186.85
170.0,160.0,175.0,187.53
115.0,125.0,100.0,186.99
125.0,125.0,105.0,191.04
165.0,135.0,100.0,192.74
195.0,135.0,115.0,193.65
215.0,160.0,150.0,194.8
225.0,135.0,135.0,194.8
215.0,145.0,105.0,196.42
