Date,Kandy,Dambulla,Exchange Rate
2020-01-01,310.0,315.0,181.5
2020-01-02,274.1666666666667,279.1666666666667,181.03
2020-01-03,238.33333333333331,243.33333333333331,181.37
2020-01-04,202.5,207.5,181.35
2020-01-05,166.66666666666666,171.66666666666666,181.34
2020-01-06,130.83333333333331,135.83333333333331,181.32
2020-01-07,95.0,100.0,181.45
2020-01-08,126.66666666666667,121.66666666666667,181.31
2020-01-09,158.33333333333334,143.33333333333334,181.42
2020-01-10,190.0,165.0,181.42
2020-01-11,207.5,170.0,181.41
2020-01-12,225.0,175.0,181.41
2020-01-13,255.0,260.0,181.41
2020-01-14,255.0,260.0,181.3
2020-01-15,245.0,262.5,181.41
2020-01-16,235.0,265.0,181.53
2020-01-17,310.0,255.0,181.38
2020-01-18,286.6666666666667,255.0,181.36
2020-01-19,263.3333333333333,255.0,181.33
2020-01-20,240.0,255.0,181.31
2020-01-21,245.0,190.0,181.34
2020-01-22,210.0,185.0,181.33
2020-01-23,190.0,172.5,181.47
2020-01-24,210.0,210.0,181.42
2020-01-25,226.66666666666666,225.0,181.42
2020-01-26,243.33333333333334,240.0,181.43
2020-01-27,260.0,255.0,181.44
2020-01-28,290.0,300.0,181.53
2020-01-29,290.0,310.0,181.53
2020-01-30,290.0,285.0,181.5
2020-01-31,310.0,275.0,181.59
2020-02-01,340.0,315.0,181.52
2020-02-02,247.5,212.5,181.46
2020-02-03,155.0,110.0,181.4
2020-02-04,140.0,107.5,181.44
2020-02-05,125.0,105.0,181.48
2020-02-06,110.0,102.5,181.4
2020-02-07,95.0,100.0,181.34
2020-02-08,140.0,132.5,181.35
2020-02-09,185.0,165.0,181.36
2020-02-10,190.0,165.0,181.37
2020-02-11,95.0,85.0,181.42
2020-02-12,210.0,235.0,181.42
2020-02-13,185.0,200.0,181.45
2020-02-14,160.0,165.0,181.46
2020-02-15,158.33333333333334,148.33333333333334,181.46
2020-02-16,156.66666666666666,131.66666666666666,181.47
2020-02-17,155.0,115.0,181.48
2020-02-18,155.0,135.0,181.53
2020-02-19,155.0,150.0,181.62
2020-02-20,155.0,155.0,181.9
2020-02-21,152.5,148.75,181.88
2020-02-22,150.0,142.5,181.87
2020-02-23,147.5,136.25,181.86
2020-02-24,145.0,130.0,181.84
2020-02-25,125.0,145.0,181.78
2020-02-26,145.0,110.0,181.75
2020-02-27,155.0,110.0,181.69
2020-02-28,175.0,125.0,181.81
2020-02-29,257.5,217.5,181.85
2020-03-01,340.0,310.0,181.89
2020-03-02,270.0,250.0,181.93
2020-03-03,145.0,120.0,182.08
2020-03-04,132.5,115.0,182.11
2020-03-05,120.0,110.0,182.03
2020-03-06,107.5,105.0,181.92
2020-03-07,95.0,100.0,181.9
2020-03-08,145.0,130.0,181.88
2020-03-09,195.0,160.0,181.85
2020-03-10,145.0,132.5,181.83
2020-03-11,95.0,105.0,182.45
2020-03-12,175.0,150.0,182.43
2020-03-13,75.0,75.0,182.82
2020-03-14,77.38095238095238,76.66666666666667,183.04
2020-03-15,79.76190476190476,78.33333333333333,183.26
2020-03-16,82.14285714285714,80.0,183.48
2020-03-17,84.52380952380952,81.66666666666667,183.7
2020-03-18,86.9047619047619,83.33333333333333,185.09
2020-03-19,89.28571428571428,85.0,184.93
2020-03-20,91.66666666666667,86.66666666666667,186.94
2020-03-21,94.04761904761905,88.33333333333333,186.96
2020-03-22,96.42857142857143,90.0,186.98
2020-03-23,98.80952380952381,91.66666666666667,187.0
2020-03-24,101.19047619047619,93.33333333333334,187.0
2020-03-25,103.57142857142857,95.0,189.25
2020-03-26,105.95238095238095,96.66666666666667,189.25
2020-03-27,108.33333333333334,98.33333333333334,189.25
2020-03-28,110.71428571428572,100.0,189.67
2020-03-29,113.0952380952381,101.66666666666667,190.08
2020-03-30,115.47619047619048,103.33333333333334,190.5
2020-03-31,117.85714285714286,105.0,188.62
2020-04-01,120.23809523809524,106.66666666666667,190.16
2020-04-02,122.61904761904762,108.33333333333334,190.0
2020-04-03,125.0,110.0,191.0
2020-04-04,139.0,124.0,192.27
2020-04-05,153.0,138.0,193.53
2020-04-06,167.0,152.0,194.8
2020-04-07,181.0,166.0,196.61
2020-04-08,195.0,180.0,198.42
2020-04-09,175.0,150.0,199.75
2020-04-10,135.0,140.0,198.62
2020-04-11,95.0,130.0,197.48
2020-04-12,175.0,170.0,196.35
2020-04-13,178.5,171.0,195.21
2020-04-14,182.0,172.0,194.07
2020-04-15,185.5,173.0,192.94
2020-04-16,189.0,174.0,191.69
2020-04-17,192.5,175.0,192.68
2020-04-18,196.0,176.0,192.36
2020-04-19,199.5,177.0,192.04
2020-04-20,203.0,178.0,191.72
2020-04-21,206.5,179.0,194.85
2020-04-22,210.0,180.0,192.69
2020-04-23,213.5,181.0,192.72
2020-04-24,217.0,182.0,192.0
2020-04-25,220.5,183.0,192.0
2020-04-26,224.0,184.0,192.0
2020-04-27,227.5,185.0,192.0
2020-04-28,231.0,186.0,192.5
2020-04-29,234.5,187.0,192.77
2020-04-30,238.0,188.0,192.85
2020-05-01,241.5,189.0,192.63
2020-05-02,245.0,190.0,192.41
2020-05-03,110.0,70.0,192.19
2020-05-04,121.42857142857143,85.0,191.97
2020-05-05,132.85714285714286,100.0,190.13
2020-05-06,144.28571428571428,115.0,188.95
2020-05-07,155.71428571428572,130.0,188.83
2020-05-08,167.14285714285714,145.0,188.71
2020-05-09,178.57142857142856,160.0,188.59
2020-05-10,190.0,175.0,188.47
2020-05-11,115.0,130.0,188.35
2020-05-12,122.38095238095238,135.95238095238096,188.11
2020-05-13,129.76190476190476,141.9047619047619,188.43
2020-05-14,137.14285714285714,147.85714285714286,188.2
2020-05-15,144.52380952380952,153.8095238095238,188.02
2020-05-16,151.9047619047619,159.76190476190476,188.01
2020-05-17,159.28571428571428,165.71428571428572,188.0
2020-05-18,166.66666666666669,171.66666666666669,187.99
2020-05-19,174.04761904761904,177.61904761904762,187.59
2020-05-20,181.42857142857144,183.57142857142856,187.61
2020-05-21,188.8095238095238,189.52380952380952,187.29
2020-05-22,196.1904761904762,195.47619047619048,186.91
2020-05-23,203.57142857142858,201.42857142857144,186.6
2020-05-24,210.95238095238096,207.38095238095238,186.3
