Date,Bean_Kandy_price
1/2/2016,125.0
1/3/2016,125.0
1/4/2016,45.0
1/6/2016,155.0
1/7/2016,125.0
1/8/2016,145.0
1/9/2016,115.0
1/11/2016,145.0
1/12/2016,205.0
1/13/2016,170.0
1/14/2016,185.0
1/18/2016,185.0
1/19/2016,180.0
1/20/2016,175.0
1/21/2016,175.0
1/22/2016,135.0
1/25/2016,110.0
1/26/2016,90.0
1/27/2016,90.0
1/28/2016,85.0
1/29/2016,125.0
2/2/2016,105.0
2/3/2016,105.0
2/5/2016,125.0
2/6/2016,140.0
2/8/2016,155.0
2/9/2016,125.0
2/11/2016,110.0
2/12/2016,215.0
2/15/2016,105.0
2/16/2016,105.0
2/17/2016,85.0
2/18/2016,85.0
2/19/2016,65.0
2/23/2016,105.0
2/24/2016,125.0
2/25/2016,125.0
2/26/2016,125.0
2/29/2016,105.0
3/2/2016,125.0
3/3/2016,115.0
3/5/2016,135.0
3/6/2016,155.0
3/8/2016,185.0
3/10/2016,115.0
3/11/2016,105.0
3/14/2016,95.0
3/15/2016,95.0
3/16/2016,135.0
3/17/2016,75.0
3/18/2016,75.0
3/21/2016,75.0
3/23/2016,95.0
3/24/2016,85.0
3/28/2016,95.0
3/29/2016,75.0
3/30/2016,45.0
3/31/2016,45.0
4/1/2016,215.0
4/3/2016,95.0
4/4/2016,65.0
4/5/2016,125.0
4/7/2016,145.0
4/8/2016,195.0
4/10/2016,115.0
4/11/2016,105.0
4/18/2016,55.0
4/19/2016,75.0
4/20/2016,115.0
4/22/2016,95.0
4/25/2016,125.0
4/26/2016,115.0
4/27/2016,125.0
4/28/2016,115.0
4/29/2016,115.0
5/1/2016,195.0
5/2/2016,115.0
5/4/2016,65.0
5/5/2016,115.0
5/7/2016,145.0
5/8/2016,165.0
5/9/2016,125.0
5/10/2016,125.0
5/12/2016,235.0
5/13/2016,105.0
5/16/2016,145.0
5/17/2016,145.0
5/18/2016,125.0
5/19/2016,115.0
5/20/2016,155.0
5/23/2016,190.0
5/24/2016,195.0
5/25/2016,195.0
5/26/2016,205.0
5/27/2016,210.0
5/30/2016,210.0
5/31/2016,190.0
6/1/2016,190.0
6/4/2016,55.0
6/5/2016,115.0
6/6/2016,135.0
6/7/2016,110.0
6/9/2016,125.0
6/10/2016,115.0
6/12/2016,155.0
6/13/2016,135.0
6/14/2016,125.0
6/15/2016,125.0
6/16/2016,145.0
6/17/2016,135.0
6/20/2016,145.0
6/21/2016,145.0
6/22/2016,125.0
6/23/2016,142.5
6/24/2016,115.0
6/27/2016,165.0
6/28/2016,175.0
6/29/2016,175.0
6/30/2016,145.0
7/1/2016,190.0
7/4/2016,45.0
7/6/2016,145.0
7/7/2016,110.0
7/9/2016,135.0
7/10/2016,125.0
7/11/2016,115.0
7/12/2016,175.0
7/15/2016,105.0
7/18/2016,105.0
7/20/2016,125.0
7/21/2016,125.0
7/22/2016,135.0
7/25/2016,145.0
7/26/2016,125.0
7/27/2016,115.0
7/28/2016,125.0
8/1/2016,190.0
8/2/2016,95.0
8/3/2016,80.0
8/4/2016,85.0
8/6/2016,135.0
8/7/2016,105.0
8/8/2016,145.0
8/9/2016,135.0
8/11/2016,135.0
8/12/2016,145.0
8/15/2016,125.0
8/16/2016,125.0
8/18/2016,125.0
8/19/2016,115.0
8/22/2016,115.0
8/23/2016,95.0
8/24/2016,95.0
8/29/2016,125.0
8/30/2016,135.0
8/31/2016,125.0
9/2/2016,95.0
9/3/2016,85.0
9/5/2016,105.0
9/6/2016,135.0
9/8/2016,145.0
9/9/2016,135.0
9/11/2016,145.0
9/12/2016,155.0
9/13/2016,135.0
9/14/2016,135.0
9/15/2016,110.0
9/19/2016,105.0
9/20/2016,85.0
9/21/2016,95.0
9/22/2016,95.0
9/23/2016,75.0
9/26/2016,105.0
9/27/2016,115.0
9/28/2016,135.0
9/29/2016,105.0
9/30/2016,105.0
10/2/2016,85.0
10/3/2016,55.0
10/5/2016,110.0
10/6/2016,125.0
10/8/2016,125.0
10/10/2016,145.0
10/11/2016,135.0
10/13/2016,135.0
10/14/2016,135.0
10/17/2016,115.0
10/18/2016,95.0
10/19/2016,115.0
10/20/2016,95.0
10/21/2016,115.0
10/24/2016,125.0
10/25/2016,135.0
10/26/2016,135.0
10/27/2016,125.0
10/28/2016,145.0
10/31/2016,155.0
11/1/2016,190.0
11/2/2016,85.0
11/3/2016,75.0
11/4/2016,135.0
11/5/2016,100.0
11/8/2016,135.0
11/10/2016,135.0
11/11/2016,135.0
11/15/2016,155.0
11/16/2016,135.0
11/17/2016,135.0
11/18/2016,145.0
11/21/2016,145.0
11/22/2016,145.0
11/23/2016,165.0
11/24/2016,165.0
11/25/2016,155.0
11/28/2016,215.0
11/29/2016,210.0
11/30/2016,185.0
12/1/2016,185.0
12/2/2016,95.0
12/5/2016,100.0
12/8/2016,125.0
12/10/2016,135.0
12/14/2016,115.0
12/15/2016,110.0
12/16/2016,95.0
12/19/2016,85.0
12/20/2016,55.0
12/21/2016,65.0
12/22/2016,65.0
12/23/2016,45.0
12/26/2016,115.0
12/27/2016,95.0
12/28/2016,75.0
